"name","id","sectionTitle","uuid:ID","text","sectionNumber"
"ROOT","NarrativeContent_1","Root","f3622744-b78b-4445-bfe5-8fcede405e2e","","0"
"SECTION 1","NarrativeContent_2","PROTOCOL SUMMARY","0f7cedad-659f-44e1-b4a2-9c40b4c4bad3","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","1"
"SECTION 1.1","NarrativeContent_3","Protocol Synopsis","02b76d43-7003-4904-b5c5-5862e76d3930","<div></div>","1.1"
"SECTION 1.2","NarrativeContent_4","Trial Schema","6bc7cdd7-9100-4ae6-86d0-907aa28524db","<div></div>","1.2"
"SECTION 1.3","NarrativeContent_5","Schedule of Activities","2833fb36-bab2-486a-8e71-0d1dfc15e5a3","<div></div>","1.3"
"SECTION 2","NarrativeContent_6","INTRODUCTION","99b08a4c-2b19-41d0-8d63-283969b68d7d","<div></div>","2"
"SECTION 2.1","NarrativeContent_7","Purpose of Trial","3791f013-329c-4388-8c02-c3c73dd91929","<div></div>","2.1"
"SECTION 2.2","NarrativeContent_8","Summary of Benefits and Risks","4b93cf13-408b-4f6c-92d4-a2dc5f09db13","<div></div>","2.2"
"SECTION 3","NarrativeContent_9","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","657ce182-cdbd-423e-b90e-3f91df952573","<div></div>","3"
"SECTION 3.1","NarrativeContent_10","Primary Objectives","db738db7-15fe-4de1-b4f6-cba7aad79821","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","3.1"
"SECTION 4","NarrativeContent_11","TRIAL DESIGN","a98629a3-f6d9-461c-a665-4479efe28ed4","<div></div>","4"
"SECTION 4.1","NarrativeContent_12","Description of Trial Design","71b37e12-0257-461d-9ead-0df271cbbe2f","<div></div>","4.1"
"SECTION 4.1.1","NarrativeContent_13","Participant Input into Design","6cf6f034-4f1a-4dd2-a31c-7c9ecc1373e5","<div></div>","4.1.1"
"SECTION 4.2","NarrativeContent_14","Rationale for Trial Design","5d00e6fd-6b0a-4d00-8dfc-053506977ab1","<div></div>","4.2"
"SECTION 4.2.1","NarrativeContent_15","Rationale for Comparator","c7da86b6-a881-438a-b335-5d3a786c4fdc","<div></div>","4.2.1"
"SECTION 4.2.2","NarrativeContent_16","Rationale for Adaptive or Novel Trial Design","6c3e6f54-7d14-4eaf-83ea-78fb64df8c36","<div></div>","4.2.2"
"SECTION 4.2.3","NarrativeContent_17","Other Trial Design Considerations","1be07d65-e5e5-4833-91d3-a8277070139c","<div></div>","4.2.3"
"SECTION 4.3","NarrativeContent_18","Access to Trial Intervention After End of Trial","bdc47b34-512c-4847-aecc-064bca70b70d","<div></div>","4.3"
"SECTION 4.4","NarrativeContent_19","Start of Trial and End of Trial","9bbc55af-ad15-4e6e-9f39-265495271b41","<div></div>","4.4"
"SECTION 5","NarrativeContent_20","TRIAL POPULATION","c8085aed-9bd4-4286-a2f7-b1ffaa6ca2cd","<div></div>","5"
"SECTION 5.1","NarrativeContent_21","Selection of Trial Population","d5931aae-17df-4c19-92a2-96bc311fcb0b","<div></div>","5.1"
"SECTION 5.2","NarrativeContent_22","Rationale for Trial Population","98f975b1-78be-473b-b919-2c382ebee9c7","<div></div>","5.2"
"SECTION 5.3","NarrativeContent_23","Inclusion Criteria","bfe91d99-9a65-423b-b588-cfe1645e7ff4","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","5.3"
"SECTION 5.4","NarrativeContent_24","Exclusion Criteria","3528a55a-27f9-41df-a9bb-8c40547c2799","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","5.4"
"SECTION 5.5","NarrativeContent_25","Lifestyle Considerations","4800c430-e7f2-4401-a3ce-8659f7a91d8e","<div></div>","5.5"
"SECTION 5.5.1","NarrativeContent_26","Meals and Dietary Restrictions","963baa0b-46af-4f06-806b-f06669831402","<div></div>","5.5.1"
"SECTION 5.5.2","NarrativeContent_27","Caffeine, Alcohol, Tobacco, and Other Habits","d732e6d8-6185-43a6-9dfc-9b8d5c908968","<div></div>","5.5.2"
