"description","name","id","uuid:ID","label","text"
"","ENCOUNTER_START_RULE_1","TransitionRule_1","122fe212-2813-4232-bb80-c5f7a5ee2a56","","Subject identified"
"","ENCOUNTER_START_RULE_1","TransitionRule_2","4999f5b7-39b6-4d77-a300-9fb66876eaf2","","IEs passed"
"","ENCOUNTER_START_RULE_3","TransitionRule_3","3b054e27-81b6-4c4f-ab41-dc80dd865ef4","","Radomized"
"","ELEMENT_START_RULE_1","TransitionRule_4","51cfd813-b1aa-4022-99c6-5397ddccd227","","Study Start"
"","ELEMENT_END_RULE_1","TransitionRule_5","200a8392-fca4-4ddf-ac82-55c21a6fab0e","","Screened"
"","ELEMENT_START_RULE_2","TransitionRule_6","6b0af547-d39f-46be-98fb-e9adaacd0f63","","Screened"
"","ELEMENT_END_RULE_2","TransitionRule_7","e846a670-632f-4034-909f-b4ff37fefd86","","Radomized"
"","ELEMENT_START_RULE_3","TransitionRule_8","4a5dee4c-434f-4ce3-9ffa-b8b38f3ae68f","","Radomized"
"","ELEMENT_END_RULE_3","TransitionRule_9","dc1918d4-cd6d-4e05-b72a-0010f9ace5ad","","Completed treatment 1"
"","ELEMENT_START_RULE_5","TransitionRule_12","7a3ccd93-3c06-441d-b09b-4e44e558af26","","Radomized"
"","ELEMENT_END_RULE_5","TransitionRule_13","c628fc11-e760-4d5e-ba2c-4f7ff27c3b16","","Completed treatment 2"
"","ELEMENT_START_RULE_4","TransitionRule_10","5cb1fa98-9036-476c-b31b-34a915b7c283","","Treated"
"","ELEMENT_END_RULE_4","TransitionRule_11","52f4ff63-110f-49ec-981c-b4b4b0f4aeb5","","Leave Study"
