"decode","codeSystemVersion","id","uuid:ID","codeSystem","code"
"Interventional Study","2023-09-29","Code_1","3ca300ea-0294-4515-889d-f9cd5387e532","http://www.cdisc.org","C98388"
"Phase III Trial","2023-09-29","Code_2","48331b6c-0cb4-4790-a767-88dbba1554d6","http://www.cdisc.org","C15602"
"Sponsor Approval Date","2023-09-29","Code_6","b69caeb2-0346-481b-beed-72ea3637695a","http://www.cdisc.org","C132352"
"Global","2023-09-29","Code_7","aeaba64e-be1b-4f02-8810-6e7c38421f8e","http://www.cdisc.org","C68846"
"Vacines Group","12","Code_3","72eb246e-d3a5-4d6a-8ed7-c6cf1003da3a","SPONSOR","VAC"
"Regulatory","12","Code_4","b0687151-0f7b-4429-a2e8-8dca2eb4dfa2","SPONSOR","REG"
"Study Registry","2023-09-29","Code_10","e5c4ad3d-1f43-484c-9c19-4c51148d27ae","http://www.cdisc.org","C93453"
"United Kingdom of Great Britain and Northern Ireland","2020-08","Code_11","b396c8f8-7980-4ff5-8040-41fb9499abf8","ISO 3166 1 alpha3","GBR"
"Clinical Study Sponsor","2023-09-29","Code_12","c141d086-038f-4a67-8581-8a2bd3d65a36","http://www.cdisc.org","C70793"
"France","2020-08","Code_13","152e3a8a-6c94-49bf-86ba-dfc871191877","ISO 3166 1 alpha3","FRA"
"Basic Research","2023-09-29","Code_42","376ae90c-92c6-45b2-9b58-bf676b16c362","http://www.cdisc.org","C15714"
"Device Feasibility Study","2023-09-29","Code_43","e713a917-cf87-4af6-a940-7f7355cdd777","http://www.cdisc.org","C139174"
"Efficacy Study","2023-09-29","Code_44","66e03d65-fdda-4c6d-8354-c9a1e35bbc53","http://www.cdisc.org","C49666"
"Type 2 diabetes","12","Code_39","8b9aff20-ddc7-4dc0-ad2d-5f74ac2fca23","SPONSOR","T2_DIABETES"
"Diabetes mellitus (disorder)","January 31, 2018","Code_40","344cbdae-5084-4ff6-bf67-894fc5309254","SNOMED","73211009"
"Parallel Study","2023-09-29","Code_45","facfa7c3-ad4e-4686-8331-61f791eac5a4","http://www.cdisc.org","C82639"
"Visit","2023-09-29","Code_16","8bdf02bd-8312-45e9-8430-e46af0ea286e","http://www.cdisc.org","C25716"
"Clinic","2023-09-29","Code_17","b230cecd-10a1-4ad3-b4a3-83ea8c9952fb","http://www.cdisc.org","C51282"
"In Person","2023-09-29","Code_18","308b8908-e1c2-4425-9c6e-b85445ff8f49","http://www.cdisc.org","C175574"
"Visit","2023-09-29","Code_19","3dc6f103-8a14-4396-b226-1b9fa1e3c5c8","http://www.cdisc.org","C25716"
"Clinic","2023-09-29","Code_20","b1a5c6f8-969b-4775-80f5-8dace3212a4c","http://www.cdisc.org","C51282"
"In Person","2023-09-29","Code_21","71b8ba35-4b87-437a-bbc8-9d2b467daf8d","http://www.cdisc.org","C175574"
"Visit","2023-09-29","Code_22","f726b4a6-2b3a-4745-a26e-c817673c4d38","http://www.cdisc.org","C25716"
"Clinic","2023-09-29","Code_23","40434630-92dc-4b53-b962-a01724a53b09","http://www.cdisc.org","C51282"
"In Person","2023-09-29","Code_24","8a40f22f-fe97-42c6-b895-89a1cfcc2476","http://www.cdisc.org","C175574"
"Visit","2023-09-29","Code_25","a75fab5d-132e-453c-ae14-389fada71521","http://www.cdisc.org","C25716"
"Clinic","2023-09-29","Code_26","53f407e3-7f33-4cd2-b7e8-2af1c45be50f","http://www.cdisc.org","C51282"
"In Person","2023-09-29","Code_27","f4048066-57c9-4711-9481-962393c06f3b","http://www.cdisc.org","C175574"
"Visit","2023-09-29","Code_28","5ebf6329-7388-4942-9600-a60a145245b6","http://www.cdisc.org","C25716"
"Home","2023-09-29","Code_29","cf4c284c-caf4-431e-827e-2bb1750dd49b","http://www.cdisc.org","C18002"
"Telephone Call","2023-09-29","Code_30","d85e4287-e9e2-4050-a36f-1b4d8b25764c","http://www.cdisc.org","C171537"
"Male","2023-09-29","Code_72","b3e7c20b-a17e-4ebf-86cd-952e7d4533f2","http://www.cdisc.org","C20197"
"Female","2023-09-29","Code_73","98e4275c-1216-4edd-9a81-047dc1b96125","http://www.cdisc.org","C16576"
"Unknown","2023-09-29","Code_74","edcdca71-63e4-4a13-9eb7-556d4d7b98e4","http://www.cdisc.org","C17998"
"Sex","","Code_75","89674ea9-744d-4645-ab4a-4d2b6930de75","NCI Thesaurus","C28421"
"Sex","","Code_71","b1869695-1133-4ff5-94bc-b87c782b7aee","NCI Thesaurus","C28421"
"Unknown","2023-09-29","Code_77","8dc4c46d-4c2c-4fb4-8a51-8103e5d71ad4","http://www.cdisc.org","C17998"
"Race","","Code_78","7b653597-38ad-44a6-9ec5-a9d169d2ece4","NCI Thesaurus","C17049"
"Race","","Code_76","46b577c9-6159-499a-9f74-2816876c429b","NCI Thesaurus","C17049"
"Vital Signs Result","","Code_80","a4c70624-b39f-4680-9144-2168e8ec2675","NCI Thesaurus","C173522"
"Kilogram","2023-09-29","Code_81","6a1a714c-0ee9-4e56-b5c3-e6126f2b01d7","http://www.cdisc.org","C28252"
"Gram","2023-09-29","Code_82","143f9692-8307-4cdb-9913-9caba448a6e4","http://www.cdisc.org","C48155"
"Pound","2023-09-29","Code_83","6c089a13-911d-4e35-9ab4-60bda4fc7258","http://www.cdisc.org","C48531"
"Unit of Weight","","Code_84","0cb82b2b-160b-4537-8acf-16c8e1043651","NCI Thesaurus","C48208"
"Body Weight","","Code_79","9c38892f-a609-47c0-9543-9b50b953f952","NCI Thesaurus","C81328"
"Active Comparator Arm","2023-09-29","Code_31","d958468c-3369-42a1-ac75-a43c213a8898","http://www.cdisc.org","C174267"
"Data Generated Within Study","2023-09-29","Code_32","5552ea8f-53cb-481b-898a-d21a4e886eab","http://www.cdisc.org","C188866"
"Placebo Comparator Arm","2023-09-29","Code_33","6a6bb6c0-4c23-4a75-a5be-52c1e0bcbf8f","http://www.cdisc.org","C174268"
"Data Generated Within Study","2023-09-29","Code_34","347dc437-702e-4a06-9932-271f715aaf9d","http://www.cdisc.org","C188866"
"Open Label Study","2023-09-29","Code_41","02002e8f-3c1f-4775-bd83-f98c4d56ab1a","http://www.cdisc.org","C49659"
"Trial Screening","2023-09-29","Code_35","bc7e287e-c80f-49ae-82d0-83f4778b8da2","http://www.cdisc.org","C48262"
"Baseline Epoch","2023-09-29","Code_36","8542b7ba-0bc0-410c-9f59-3eee4a02ec9a","http://www.cdisc.org","C125938"
"Treatment Epoch","2023-09-29","Code_37","45253c71-2c7e-402c-ac81-dab8bd4486a3","http://www.cdisc.org","C101526"
"Clinical Study Follow-up","2023-09-29","Code_38","6818816c-bb7d-4118-b291-4455637c6f1f","http://www.cdisc.org","C99158"
"Indication1","January 31, 2018","Code_85","2e4db64b-6c1f-4457-af5f-69c774d36673","SNOMED","12345"
"Indication2","January 31, 2018","Code_88","8d2e84af-b4d4-4ebd-bcca-244acdb2941b","SNOMED","345678"
"Y","None set","Code_86","2d0182fb-172b-48d9-a600-95b9087c4437","ICD-10","X"
"B","January 31, 2018","Code_87","54bfa3d9-ba34-40f2-8499-bd29f2f92f84","SNOMED","A"
"CC","None set","Code_89","776e9cb2-d681-41c1-82c3-88863839d279","ICD-10","DD"
"B","January 31, 2018","Code_90","6279118e-6486-4db9-b856-4eb55d6adbf4","SNOMED","A"
"Trial Primary Objective","2023-09-29","Code_95","c293d26b-33db-488f-afd3-0a1ab207ce37","http://www.cdisc.org","C85826"
"Primary Endpoint","2023-09-29","Code_94","7c247690-c465-47dc-8f42-39f3e1556dae","http://www.cdisc.org","C94496"
"Trial Secondary Objective","2023-09-29","Code_97","be022b33-31e4-4642-bd40-730b26aa2fe7","http://www.cdisc.org","C85827"
"Secondary Endpoint","2023-09-29","Code_96","94bcc137-901c-461b-ac1a-d4de101bd0af","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_98","3ea82a39-445d-43c9-a0be-21556aa8b6b9","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_99","259b1e3e-814b-427f-8d97-e02a81969c7d","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_100","aac8004b-8c7d-43b9-837b-de3c37c5542d","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_101","e2a58877-7cc5-43fc-acc2-2edd814fc108","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_102","e3737cf8-cafd-41cc-80de-5674ce8ae0b3","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_103","e635acd6-f2eb-41ab-9f87-a9f74ecf02ab","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_104","10bd67c7-1fe0-4e4f-8fec-1ea0e2514120","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_105","202290d7-1a6c-4342-98e1-f63553a09c68","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_106","5521da98-ff63-4a9e-8131-94e47c25ea9a","http://www.cdisc.org","C139173"
"Secondary Endpoint","2023-09-29","Code_107","9580f95f-5211-4eb0-a709-6566d161a99c","http://www.cdisc.org","C139173"
"Both","2023-09-29","Code_91","984127ed-bbca-497b-9eb7-a845d64fca70","http://www.cdisc.org","C49636"
"Male","2023-09-29","Code_92","219a3a3d-0991-4602-9df5-c272da6a1931","http://www.cdisc.org","C20197"
"Female","2023-09-29","Code_93","cc4859a1-cf26-4212-a600-c11d02e1a452","http://www.cdisc.org","C16576"
"Before","2023-09-29","Code_48","b7a47829-83d1-4f0f-8e2f-db9be7e18bfe","http://www.cdisc.org","C201264"
"Start to Start","2023-09-29","Code_50","473e13d8-4f39-4c2a-9386-5c666893ecbe","http://www.cdisc.org","C201265"
"Before","2023-09-29","Code_53","ab0cf3b1-a0fd-4e4c-89be-8a70a7e0cf40","http://www.cdisc.org","C201264"
"Start to Start","2023-09-29","Code_55","8a96ce45-109c-4194-98d2-ace2693f22dd","http://www.cdisc.org","C201265"
"Fixed Reference","2023-09-29","Code_56","a9fea900-67f9-48ee-90c0-1c581f37e4dd","http://www.cdisc.org","C201264"
"Start to Start","2023-09-29","Code_60","56f7e404-2da2-4e54-97e1-9a47a2f872d0","http://www.cdisc.org","C201265"
"After","2023-09-29","Code_62","29422114-1ca5-4455-b610-180bc24da5f9","http://www.cdisc.org","C201264"
"Start to Start","2023-09-29","Code_65","c85c71f4-561a-4728-ace7-6a40efe3c768","http://www.cdisc.org","C201265"
"After","2023-09-29","Code_67","fcd85250-0984-42d0-b9a5-4e6dcae088b8","http://www.cdisc.org","C201264"
"Start to Start","2023-09-29","Code_70","f7a79a1a-9c07-43d9-bb01-68297b7eee67","http://www.cdisc.org","C201265"
"Draft","2023-09-29","Code_5","7ee25fd7-b176-42b0-97a1-375e402ba438","http://www.cdisc.org","C85255"
"Protocol Effective Date","2023-09-29","Code_8","37c6e7b0-7c38-4099-8ad0-66d1d434298c","http://www.cdisc.org","C99903x1"
"Global","2023-09-29","Code_9","059b5452-f590-47a7-91ac-af18586265d3","http://www.cdisc.org","C68846"
