"name","windowLower","instanceType","uuid:ID","label","windowUpper","description","id","value","window"
"TIM1","","Timing","aaebc4cc-6147-4ead-b56c-6ea0dfd160e2","Screening","","Screening timing","Timing_1","P2W",""
"TIM2","PT4H","Timing","fbcbc713-433b-42ed-ad1d-192dcdfc0dde","Pre dose","PT0H","Pre dose timing","Timing_2","P2D","-4..0 hours"
"TIM3","","Timing","eacbd471-6410-4b35-853c-84a27c008447","Dosing","","Dosing anchor","Timing_3","P1D",""
"TIM4","P3D","Timing","63e69531-428b-4e2e-9221-13c5d03bddee","Week 2","P3D","Week 2 timing","Timing_4","P2W","-3..3 days"
"TIM5","P3D","Timing","69063b2c-ee71-4428-8180-e3c4040727c2","Week 4","P3D","Week 4 timing","Timing_5","P4W","-3..3 days"
"TIM6","P3D","Timing","0103a811-af6c-479e-9f09-8cf28ac69546","Week 6","P3D","Week 6 timing","Timing_6","P6W","-3..3 days"
"TIM7","P3D","Timing","9631b069-6deb-4229-a2ad-259cb195bd46","Week 8","P3D","Week 8 timing","Timing_7","P8W","-3..3 days"
"TIM9","P4D","Timing","bafa5369-4339-4de4-84f1-6dda2c08829f","Week 12","P4D","Week 12 timing","Timing_9","P12W","-4..4 days"
"TIM11","P4D","Timing","b3c16a13-7391-4ecf-aa75-8ed798484c56","Week 16","P4D","Week 16 timing","Timing_11","P16W","-4..4 days"
"TIM13","P4D","Timing","3f12844f-85aa-4654-9b52-a45dd4751819","Week 20","P4D","Week 20 timing","Timing_13","P20W","-4..4 days"
"TIM15","P4D","Timing","698603cf-bf7d-402e-ba92-6e7a4760add9","Week 24","P4D","Week 24 timing","Timing_15","P24W","-4..4 days"
"TIM16","P3D","Timing","42b8e474-33e9-4f7c-baed-9844bdfa7346","Week 26","P3D","Week 26 timing","Timing_16","P26W","-3..3 days"
"TIM8","","Timing","7ec172a3-8b70-4728-ab57-9fdffeba3890","Week 8 Home","","Week 8 at home timing","Timing_8","P2W",""
"TIM10","","Timing","cddf7aad-2ec7-4911-a5a1-e3b002edbdc6","Week 12 Home","","Week 12 at home timing","Timing_10","P2W",""
"TIM12","","Timing","f3e7138e-a00b-405a-ba49-4057d33574a8","Week 16 Home","","Week 16 at home timing","Timing_12","P2W",""
"TIM14","","Timing","f013fa85-efdf-4942-bcbd-09a736a4324a","Week 20 Home","","Week 20 at home timing","Timing_14","P2W",""
"TIM17","","Timing","51a529fa-eae0-4712-9b6e-aeeba52305cc","Adverse Event","","Adverse Event","Timing_17","P1D",""
"TIM18","","Timing","767adb85-83b3-4f65-8c47-8266ddf2b51f","Early Termination","","Early Termination","Timing_18","P1D",""
"TIM19","","Timing","9e32ba52-9baf-4cf6-80d3-0fbd31cb2d9d","Supine","","Supine","Timing_19","PT0M",""
"TIM20","","Timing","fc92cc6c-c04c-4112-b633-2a42878990da","VS while supine","","VS while supine","Timing_20","PT5M",""
"TIM21","","Timing","fad7a244-1b9d-40b1-a8f4-3ab9b7b8e636","Standing","","Standing","Timing_21","PT0M",""
"TIM22","","Timing","5bd53670-33c3-4d48-9d8f-482ae3384333","VS while standing","","VS while standing","Timing_22","PT1M",""
"TIM23","","Timing","a207688e-bfff-4fd7-a286-48390837eb4b","Standing","","Standing","Timing_23","PT0M",""
"TIM24","","Timing","01bb24d7-8cf9-49b9-8670-f807d7a659b3","VS while standing","","VS while standing","Timing_24","PT2M",""
