"name","instanceType","uuid:ID","label","description","id"
"Informed consent","Activity","f538f71d-d399-41cc-9130-5c7e16ecfba3","Informed consent","","Activity_1"
"Inclusion/exclusion criteria","Activity","6c7d3c71-9182-4569-8f21-f32b653345de","Inclusion and exclusion criteria","","Activity_2"
"Patient number assigned","Activity","8b4396cf-e2cf-4414-8d89-90f0c7809409","Patient number assigned","","Activity_3"
"Demographics","Activity","5659515f-ed5d-46cf-b386-ef32950263f5","Demographics","","Activity_4"
"Hachinski","Activity","912e78b3-f13b-4f98-82af-3e104099971b","Hachinski Ischemic Scale","","Activity_5"
"MMSE","Activity","8e489769-3f64-4a13-8213-a5b22151635c","MMSE","","Activity_6"
"Physical examination","Activity","b09f5e8b-cd51-4ba5-bcf6-189196632e89","Physical examination","","Activity_7"
"Medical history","Activity","80427761-0141-43b6-aa69-c29e47459f5f","Medical history","","Activity_8"
"Habits","Activity","ac2ae3ee-594f-451a-acbf-9245a59e5293","Habits","","Activity_9"
"Chest X-ray","Activity","4ba2a7b1-4542-4fa2-a08c-c242408087a1","Chest X-ray","","Activity_10"
"Apo E genotyping","Activity","b009f0f0-e1c9-4f50-960c-8ee429e69677","Apo E genotyping","","Activity_11"
"Patient randomised","Activity","2ba8a3eb-66e6-497e-bb1b-336cd9cff5ec","Patient randomised","","Activity_12"
"Vital signs / Temperature","Activity","11cd0d7e-c00a-45f1-9303-a8a1dcebb645","Vital Signs and Temperature","","Activity_13"
"Ambulatory ECG placed","Activity","69e9b2aa-a047-4aaf-a332-66a7850d26e5","Ambulatory ECG placed","","Activity_14"
"Ambulatory ECG removed","Activity","96d5d9d5-18b8-40d0-aaa7-9d796b6d3a73","Ambulatory ECG removed","","Activity_15"
"ECG","Activity","32e3db36-2843-49db-b810-85d2273cc104","ECG","","Activity_16"
"Placebo TTS test","Activity","f48e829b-62e0-46c0-a23a-69558c9b32c6","Placebo TTS test","","Activity_17"
"CT scan","Activity","0f75b052-770d-4d50-ac12-9b1fdcf540aa","CT scan","","Activity_18"
"Concomitant medications","Activity","2c876787-6760-4ca0-855b-cd109687dc8b","Concomitant medications","","Activity_19"
"Hematology","Activity","c159302e-8c26-4ff3-aa7b-0fc6ad6d186d","Hematology","","Activity_20"
"Chemistry","Activity","111fde7d-1cfc-4e58-8dec-f09aa6a35b69","Chemistry","","Activity_21"
"Uninalysis","Activity","a49b49a5-45c7-4660-ae8f-5bac744e7069","Uninalysis","","Activity_22"
"Plasma Specimen (Xanomeline)","Activity","f7ec5e41-4b60-420a-8014-294f1c29e8d8","Plasma Specimen (Xanomeline)","","Activity_23"
"Hemoglobin A1C","Activity","eddc4917-ea43-4299-926e-b073cfea97cf","Hemoglobin A1C","","Activity_24"
"Study drug","Activity","7111ea1e-b65e-4198-bd35-33d6dead39bc","Study drug record , Medications dispensed, Medications returned","","Activity_25"
"TTS Acceptability Survey","Activity","f0520b27-2617-4563-ba5c-88ea2939383e","TTS Acceptability Survey","","Activity_26"
"ADAS-Cog","Activity","508ef2db-ab12-4e7f-b869-d3b7ee590d53","ADAS-Cog","","Activity_27"
"CIBIC+","Activity","be74d67e-537d-462a-91ef-41e5967cf00b","CIBIC+","","Activity_28"
"DAD","Activity","b9edbdd2-7fcd-4100-bb5b-99b9c58bba41","DAD","","Activity_29"
"NPI-X","Activity","cf497ae9-52fc-47e8-aa96-0858a42b29dc","NPI-X","","Activity_30"
"Adverse events","Activity","083e5cbd-220d-47ae-8e4a-ee3081639f05","Adverse events","","Activity_31"
"Check adverse events","Activity","1ce3f4ce-067c-4e02-93c8-1598cd8a2c4c","Check adverse events","","Activity_32"
"Supine","Activity","e1fb671c-70be-43ab-a245-9ccb01345375","Subject supine","","Activity_33"
"Vital Signs Supine","Activity","e487108b-5169-4e76-ac1a-63c1400396af","Vital signs while supine","","Activity_34"
"Stand","Activity","01ae6b37-15d0-492a-b902-c5f964ff1d9f","Subject Standing","","Activity_35"
"Vital Signs Standing","Activity","0b557c8f-1a7d-492b-91c2-31090cde5b23","Vital signs while standing","","Activity_36"
