"name","instanceType","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","TransitionRule","355529fb-bb10-4336-99fc-0a6f54542a9c","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule","1ad6eae6-7c07-412e-9dfe-d04508ae40e5","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule","2f717171-09ff-41d9-a9a4-52e61c5b44a5","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule","4554425b-1208-4a00-808c-58d194e9aabd","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule","74b2e06b-4070-435c-bfaa-4e9a4122214f","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule","72b35804-3acd-41fe-8b0e-f1cba0ae47c5","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule","7182f5a2-d289-4ec7-8534-c4c05a40082d","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule","2decfcd8-5ed4-4294-9707-b30ce89f02d2","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule","a5ec392c-433d-422e-b373-1c3310d8e969","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule","a618b47c-07f8-479a-a3b5-c8d5c134dd1b","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule","7ab8b65b-e93b-49bb-807a-f6aebd05f8e7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule","112c91d0-163d-491b-ab3a-7fd2a1b2a14e","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule","dea6881b-aa03-467b-a99a-4351ce34c195","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","TransitionRule","803ed79b-64ae-4bfa-8e92-ee0732fcf7f2","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule","5fc8abf1-0b1a-4830-87c6-4405a847fe0b","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
