"name","instanceType","isEnabled","uuid:ID","label","datatype","id","isRequired"
"Sex","BiomedicalConceptProperty","True","031ca431-ede8-4bee-8ba2-81976287564c","Sex","string","BiomedicalConceptProperty_89","True"
"Race","BiomedicalConceptProperty","True","c6c30843-bf3b-41f1-b59b-2eacdd02cb6b","Race","string","BiomedicalConceptProperty_90","True"
"Clinical Test Result","BiomedicalConceptProperty","True","8007d91d-756e-4f6d-bd86-ad8d2a1d8b52","Clinical Test Result","decimal","BiomedicalConceptProperty_91","True"
"Unit of Temperature","BiomedicalConceptProperty","True","97c7a89a-253d-48d8-ad6d-e614f2d15f59","Unit of Temperature","string","BiomedicalConceptProperty_92","True"
"Anatomic Site","BiomedicalConceptProperty","True","e3d94ecf-b4dd-437c-a8b4-c57d7091bd8e","Anatomic Site","string","BiomedicalConceptProperty_93","True"
"Clinical Test Result","BiomedicalConceptProperty","True","9f28b43d-b205-4c3a-9abd-13d2ea88e8cc","Clinical Test Result","decimal","BiomedicalConceptProperty_94","True"
"Unit of Weight","BiomedicalConceptProperty","True","a79e463a-bba6-47a7-882f-ea5a3612c24b","Unit of Weight","string","BiomedicalConceptProperty_95","True"
"Clinical Test Result","BiomedicalConceptProperty","True","ddc23a1d-edc8-4f10-9114-c7499e7dc905","Clinical Test Result","decimal","BiomedicalConceptProperty_96","True"
"Unit of Height","BiomedicalConceptProperty","True","64a76bb2-d78e-40df-abb1-b3549d36965c","Unit of Height","string","BiomedicalConceptProperty_97","True"
"Laboratory Test Result","BiomedicalConceptProperty","True","ce117100-405c-4a91-9b83-2c65fadbe439","Laboratory Test Result","decimal","BiomedicalConceptProperty_98","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","True","01ca46fa-7723-452a-927d-3cb6a0d43f34","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_99","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","06b91ea7-b27a-4378-9ac0-be772023bd09","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_100","True"
"Biospecimen Type","BiomedicalConceptProperty","True","5bd20849-9143-4331-9495-02919db15d0b","Biospecimen Type","string","BiomedicalConceptProperty_101","True"
"Laboratory Test Result","BiomedicalConceptProperty","True","d1c72d7d-674d-4c3a-8100-8b4c0e2de062","Laboratory Test Result","string","BiomedicalConceptProperty_102","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","True","a6691fcf-4a85-4efe-ae72-bb4aa1235380","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_103","True"
"Unit of Concentration","BiomedicalConceptProperty","True","64bcbe9e-99a7-4437-9702-44e8620a64ff","Unit of Concentration","string","BiomedicalConceptProperty_104","True"
"Biospecimen Type","BiomedicalConceptProperty","True","2b45f7d9-bbe7-4886-ae58-b56f610e13b6","Biospecimen Type","string","BiomedicalConceptProperty_105","True"
"Laboratory Test Result","BiomedicalConceptProperty","True","956703f3-55c4-492e-baa2-170bb7c1b77c","Laboratory Test Result","decimal","BiomedicalConceptProperty_106","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","True","023fc7d6-4b51-47cf-ac12-dd1bbbf1ec1c","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_107","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","72528c9e-fc67-4fe6-9ab7-985371dc558c","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_108","True"
"Biospecimen Type","BiomedicalConceptProperty","True","0d7c2881-26ac-4336-8ce2-59c26b6a2b30","Biospecimen Type","string","BiomedicalConceptProperty_109","True"
"Laboratory Test Result","BiomedicalConceptProperty","True","c8b2bb77-8d5c-414d-91e9-94e53bad3566","Laboratory Test Result","decimal","BiomedicalConceptProperty_110","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","True","259f011b-a706-47aa-aef6-f14b558fed9a","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_111","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","ce5c36e6-41ea-4b2c-8211-70afb0686a0d","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_112","True"
"Biospecimen Type","BiomedicalConceptProperty","True","43f30e42-a981-46ef-af4d-a46bf1886a9b","Biospecimen Type","string","BiomedicalConceptProperty_113","True"
"Laboratory Test Result","BiomedicalConceptProperty","True","193f830b-7451-4870-972d-04bc7500cbd8","Laboratory Test Result","string","BiomedicalConceptProperty_114","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","True","d363b293-89f1-4286-86da-28d249022d1a","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_115","True"
