"name","instanceType","uuid:ID","label","description","id","text","purpose"
"END1","Endpoint","435afb31-5557-4494-95f3-f1c733008e3e","","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"END2","Endpoint","a8962a70-155b-4e62-9d36-d5fe9fe55321","","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"END3","Endpoint","ad7b258c-2303-42ef-9533-c54a7dd82d75","","","Endpoint_3","Adverse events",""
"END4","Endpoint","72ad0b44-05fb-4e5c-8956-cc9d810ceed5","","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"END5","Endpoint","d0cefda7-0f2f-4fdd-b6df-dcb846bf710a","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Laboratory evaluations (Change from Baseline)",""
"END6","Endpoint","dccd19ab-ec71-49a3-b17a-1adc3d6a5935","","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"END7","Endpoint","97eb2be2-7fe4-4e5c-9c6a-d41aa667509a","","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"END8","Endpoint","a1098a88-6c73-4b11-ac5c-eeda3103606d","","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"END9","Endpoint","bccf35a5-468f-410f-bd91-1252b292d9fb","","","Endpoint_9","*** To be determined from protocol ***",""
"END10","Endpoint","28f4f86d-0c2b-44a3-b0a0-204aa6fd6575","","","Endpoint_10","*** To be determined from protocol ***",""
"END11","Endpoint","9be60080-891b-4d3c-8100-7b10d7988321","","","Endpoint_11","*** To be determined from protocol ***",""
