"name","instanceType","uuid:ID","label","reference","synonyms","id"
"Sex","BiomedicalConcept","31090530-d23a-41dc-909b-e28657856964","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_20"
"Race","BiomedicalConcept","e967d3a6-9026-4cdf-aff5-9afcd177208d","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_21"
"Body Temperature","BiomedicalConcept","f872aade-e021-497b-b9f8-5e3aea7db4f7","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_22"
"Body Weight","BiomedicalConcept","382c3ec9-7dd0-4825-817c-5bc3529e4369","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_23"
"Body Height","BiomedicalConcept","c6dd1480-f948-4e05-a10e-4e7874c69c68","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_24"
"Alanine Aminotransferase Measurement","BiomedicalConcept","624df9d9-f221-457e-9860-e68a3a10c9a3","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_25"
"Albumin Measurement","BiomedicalConcept","dc9647db-05de-4ea8-84a5-5bba232b10d5","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_26"
"Alkaline Phosphatase Measurement","BiomedicalConcept","b6084e78-6fc3-4d62-98ba-8560db0f401b","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_27"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","a468c0d8-62be-4e20-bd08-35e139cdc2cc","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_28"
"Creatinine Measurement","BiomedicalConcept","8e9764c6-dcfa-4aa6-ba44-3489f19548a0","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_29"
