"name","instanceType","uuid:ID","label","description","id"
"E1","Encounter","fade5216-cccf-469a-865e-f6176b59dd34","Screening 1","Screening encounter","Encounter_1"
"E2","Encounter","2e67f998-2627-4bd6-8ad1-3f81233b61a1","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2"
"E3","Encounter","ce6125aa-7160-45b3-8a24-0613e01433c9","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3"
"E4","Encounter","8bb31ba3-1a5f-4966-b9ef-c65604b3a0b6","Week 2","Day 14","Encounter_4"
"E5","Encounter","a4fffe05-53be-47f2-9f4e-83e2042e06a9","Week 4","Day 28","Encounter_5"
"E7","Encounter","76f5118a-e3cc-40d7-af76-33ca8a5e47a1","Week 6","Day 42","Encounter_6"
"E8","Encounter","4d8cde06-0dd3-48aa-86c7-fd7aacd34967","Week 8","Day 56","Encounter_7"
"E9","Encounter","056803f1-180d-473f-86bc-6a97fdcb3e9b","Week 12","Day 84","Encounter_8"
"E10","Encounter","e990b10f-ee5c-4f43-b4c9-f1f545c87fad","Week 16","Day 112","Encounter_9"
"E11","Encounter","14f6633a-3b90-4e3f-be9a-73283b4c0052","Week 20","Day 140","Encounter_10"
"E12","Encounter","6275e2cf-2f16-4457-9f1a-54e6e4ab98b5","Week 24","Day 168","Encounter_11"
"E13","Encounter","39c1f065-df81-4914-8c00-04584a070a89","Week 26","Day 182","Encounter_12"
