"code","instanceType","uuid:ID","codeSystemVersion","id","codeSystem","decode"
"C98388","Code","48fa19f8-a2c9-4cd4-b0d1-7798f65e082a","2023-09-29","Code_1","http://www.cdisc.org","Interventional Study"
"C15601","Code","5f42d462-2894-44c7-bff3-019c861ede58","2023-09-29","Code_2","http://www.cdisc.org","Phase II Trial"
"C132352","Code","1af2857e-44b1-448b-803b-745c7a2d25e0","2023-09-29","Code_9","http://www.cdisc.org","Sponsor Approval Date"
"C68846","Code","b442b300-5a59-4d20-ba9a-0dd8ba5ad93a","2023-09-29","Code_10","http://www.cdisc.org","Global"
"C99904x3","Code","6ed847b0-6018-473d-b02a-b4c2737db12a","2023-09-29","Code_72","http://www.cdisc.org","IRB/IEC Feedback"
"C17649","Code","c00ee95f-cbf6-41e9-bb3e-debc91fd0e25","2023-09-29","Code_73","http://www.cdisc.org","Other"
"C41129","Code","2505b0ab-0696-469c-81c2-12f8e3f9c451","2023-09-29","Code_75","http://www.cdisc.org","Region"
"150","Code","428c952b-8a03-45be-9b9a-84cd815565cf","2020-08","Code_74","ISO 3166 1 alpha3","Europe"
"PHARMA","Code","41e66598-fc35-485d-a283-e22d7fbc7380","12","Code_4","SPONSOR","Eli Lilly"
"C70793","Code","accb835b-e0a9-4e46-ad3c-0356ce34cf7e","2023-09-29","Code_76","http://www.cdisc.org","Clinical Study Sponsor"
"USA","Code","3985a15a-f616-4dae-979d-bd6fc574535e","2020-08","Code_77","ISO 3166 1 alpha3","United States of America"
"C93453","Code","13b77ea3-2c67-43b5-b2b6-de462c9b2013","2023-09-29","Code_78","http://www.cdisc.org","Study Registry"
"USA","Code","0faf0b33-5c9d-4948-91ed-3e07b69d9733","2020-08","Code_79","ISO 3166 1 alpha3","United States of America"
"C49656","Code","8f3c4b4b-21b8-4396-b99b-391c654fbb6d","2023-09-29","Code_137","http://www.cdisc.org","Treatment Study"
"C49666","Code","4631e6cd-40e9-4a4b-8c93-580bce5514cf","2023-09-29","Code_138","http://www.cdisc.org","Efficacy Study"
"C49667","Code","bcbc4f23-eb61-4531-8536-3955d51f953e","2023-09-29","Code_139","http://www.cdisc.org","Safety Study"
"C49663","Code","0a86e020-9248-4917-b32a-ad34223f66ec","2023-09-29","Code_140","http://www.cdisc.org","Pharmacokinetic Study"
"MILD_MOD_ALZ","Code","1406a288-9c1e-4085-be75-9d3b57de1332","12","Code_134","SPONSOR","Mild to Moderate Alzheimer's Disease"
"26929004","Code","0c49f77a-f7f3-4bd0-8d23-2e61b6312319","January 31, 2018","Code_135","SNOMED","Alzheimer's disease"
"C99907x1","Code","fc54177d-2606-44cf-b988-701f1fb0f35f","2023-09-29","Code_143","http://www.cdisc.org","EXTENSION"
"C98704","Code","8f56bd60-a5fc-49f4-92df-fe80c131df30","2023-09-29","Code_144","http://www.cdisc.org","ADAPTIVE"
"C82639","Code","5c2cfcb4-04ca-48d9-8a83-06341ae1f94e","2023-09-29","Code_141","http://www.cdisc.org","Parallel Study"
"C25716","Code","2145801b-cf5f-4af2-aa55-c19f3bcbc999","2023-09-29","Code_83","http://www.cdisc.org","Visit"
"C51282","Code","54847305-3523-489b-9753-10b3260d9d18","2023-09-29","Code_84","http://www.cdisc.org","Clinic"
"C175574","Code","0ed6776f-f4a9-4dd2-b092-0bd5c1f12a3c","2023-09-29","Code_85","http://www.cdisc.org","In Person"
"C25716","Code","4fbbd050-f4c5-44b2-aa82-278dc14a0fe3","2023-09-29","Code_86","http://www.cdisc.org","Visit"
"C51282","Code","377cfbc5-e98f-4fd9-89a3-d8ff847c6366","2023-09-29","Code_87","http://www.cdisc.org","Clinic"
"C175574","Code","cb19a5e3-3060-4e68-9f2e-c38cab7d35cf","2023-09-29","Code_88","http://www.cdisc.org","In Person"
"C25716","Code","0d7701b8-69f5-4a7d-bde5-90cc6d431019","2023-09-29","Code_89","http://www.cdisc.org","Visit"
"C51282","Code","c7cfbc48-bb1b-4d2a-801b-d42174d45439","2023-09-29","Code_90","http://www.cdisc.org","Clinic"
"C175574","Code","efb90af3-f413-4863-a30a-e854f1e07bde","2023-09-29","Code_91","http://www.cdisc.org","In Person"
"C25716","Code","4486820a-e20b-4f5d-9add-d0435164d147","2023-09-29","Code_92","http://www.cdisc.org","Visit"
"C51282","Code","d15e9b3e-e310-41c6-bbd5-4184a3adf310","2023-09-29","Code_93","http://www.cdisc.org","Clinic"
"C175574","Code","1a9474e0-9002-48e9-9175-e078087324bb","2023-09-29","Code_94","http://www.cdisc.org","In Person"
"C25716","Code","6526f414-896d-47e9-a4a3-830ff09fa61a","2023-09-29","Code_95","http://www.cdisc.org","Visit"
"C51282","Code","3c52e3a0-2a8a-4646-b232-851cca4aca99","2023-09-29","Code_96","http://www.cdisc.org","Clinic"
"C175574","Code","ece5f282-d8d2-4c8d-9ade-1bcaedee956f","2023-09-29","Code_97","http://www.cdisc.org","In Person"
"C25716","Code","d58d6f1f-665c-4d16-be30-c13061a26812","2023-09-29","Code_98","http://www.cdisc.org","Visit"
"C51282","Code","d82a07c4-4517-4ead-89bf-79b818502386","2023-09-29","Code_99","http://www.cdisc.org","Clinic"
"C175574","Code","a50399a9-f2fa-466e-9c46-937abebc4283","2023-09-29","Code_100","http://www.cdisc.org","In Person"
"C25716","Code","181603a2-44c5-4005-9f0c-fbf030dcf246","2023-09-29","Code_101","http://www.cdisc.org","Visit"
"C51282","Code","726892a7-f279-46c3-8e88-68bc79e86d9b","2023-09-29","Code_102","http://www.cdisc.org","Clinic"
"C175574","Code","4f1e66ae-8530-4702-baf4-9aeb27f72fc7","2023-09-29","Code_103","http://www.cdisc.org","In Person"
"C171537","Code","3b43bead-a639-46ed-8bde-708668b5746a","2023-09-29","Code_104","http://www.cdisc.org","Telephone Call"
"C25716","Code","c12e103f-fb7a-4bce-a01b-ed23a3477ab3","2023-09-29","Code_105","http://www.cdisc.org","Visit"
"C51282","Code","f2dd649b-3fba-46bf-93d8-7654fc2c21c5","2023-09-29","Code_106","http://www.cdisc.org","Clinic"
"C175574","Code","7ea3b329-505d-4bea-b507-0104f517f6df","2023-09-29","Code_107","http://www.cdisc.org","In Person"
"C171537","Code","010bcca4-2186-4a15-b9e2-c3d794d3c564","2023-09-29","Code_108","http://www.cdisc.org","Telephone Call"
"C25716","Code","287e8ebf-b224-4b20-b160-b7aa6f58d563","2023-09-29","Code_109","http://www.cdisc.org","Visit"
"C51282","Code","a96da868-4eb3-4535-8c77-2482864b402e","2023-09-29","Code_110","http://www.cdisc.org","Clinic"
"C175574","Code","a17cf72f-a0e8-44c0-9d99-87a883729857","2023-09-29","Code_111","http://www.cdisc.org","In Person"
"C171537","Code","135d5484-3116-417a-aff0-fbc10b696389","2023-09-29","Code_112","http://www.cdisc.org","Telephone Call"
"C25716","Code","f9c729a6-cb96-41fd-9a10-7caa13354661","2023-09-29","Code_113","http://www.cdisc.org","Visit"
"C51282","Code","7bf1b19e-03e2-4a18-8ca4-a7b65258ce3d","2023-09-29","Code_114","http://www.cdisc.org","Clinic"
"C175574","Code","f63879ea-9479-456a-a2d9-5d6de58a4657","2023-09-29","Code_115","http://www.cdisc.org","In Person"
"C171537","Code","d832080b-1776-40a9-aead-a3f04896d2ae","2023-09-29","Code_116","http://www.cdisc.org","Telephone Call"
"C25716","Code","9d46a39d-9a26-40c0-a59f-762ff516f7bf","2023-09-29","Code_117","http://www.cdisc.org","Visit"
"C51282","Code","b0af3c01-a38f-41ea-8242-003521c0e44a","2023-09-29","Code_118","http://www.cdisc.org","Clinic"
"C175574","Code","ad15df17-fd8a-401d-be68-b913aa0eb87e","2023-09-29","Code_119","http://www.cdisc.org","In Person"
"C25716","Code","17e047d4-d240-453b-a4ce-0d3f8ed0e7e0","2023-09-29","Code_120","http://www.cdisc.org","Visit"
"C51282","Code","c3b0335c-9610-470d-8435-cd722d0b2075","2023-09-29","Code_121","http://www.cdisc.org","Clinic"
"C175574","Code","e33f61e6-a6bd-43fb-b423-fbfc0935b612","2023-09-29","Code_122","http://www.cdisc.org","In Person"
"383371000119108","Code","3490df2e-483d-496f-b5e5-51dd571be18d","January 31, 2018","Code_80","SNOMED","CT of head without contrast"
"123","Code","b8767cbe-2e08-431e-9afe-adf572c93788","12","Code_81","SPONSOR","Subject Supine"
"124","Code","d3566687-64d0-48cc-8c27-93cad662ea26","12","Code_82","SPONSOR","Subject Standing"
"C20197","Code","b116e74e-a82d-4677-80b9-4aa70b28b801","2023-09-29","Code_269","http://www.cdisc.org","Male"
"C16576","Code","60d87007-bcd8-4930-b8bc-f1e08097e3b1","2023-09-29","Code_270","http://www.cdisc.org","Female"
"C28421","Code","c3ce296f-af4f-4753-aa10-619169c44a64","","Code_271","NCI Thesaurus","Sex"
"C28421","Code","8d9db628-1b2e-4387-88b4-f55a7c9bc483","","Code_268","NCI Thesaurus","Sex"
"C17049","Code","1a674a67-1967-4b1c-a757-dae5b9f25344","","Code_273","NCI Thesaurus","Race"
"C17049","Code","e7a16b29-d6c7-40db-ae14-8ef8835986d0","","Code_272","NCI Thesaurus","Race"
"C77140","Code","563112db-dc78-4334-bb23-db28b32059cc","","Code_275","NCI Thesaurus","Clinical Test Result"
"C42537","Code","e5fac363-4235-40d1-ad71-7b8879441c57","2023-09-29","Code_276","http://www.cdisc.org","Kelvin"
"C44276","Code","3f420a98-6d0e-4239-90bd-826e31410e8b","","Code_277","NCI Thesaurus","Unit of Temperature"
"C13717","Code","2ac5ca4d-cc76-4d0b-bd5b-c789dc2a965b","","Code_278","NCI Thesaurus","Anatomic Site"
"C174446","Code","d16738f8-146e-4f86-bf60-f5ed354d37e3","","Code_274","NCI Thesaurus","Body Temperature"
"C77140","Code","76109dd6-77f9-40da-9ee9-c7c66244f64b","","Code_280","NCI Thesaurus","Clinical Test Result"
"C28252","Code","41abe4fa-8a1a-4da9-b129-0397f205f5e5","2023-09-29","Code_281","http://www.cdisc.org","Kilogram"
"C48155","Code","8229244d-e858-4a5a-b429-25659a710e58","2023-09-29","Code_282","http://www.cdisc.org","Gram"
"C48531","Code","9ea57ae4-ccce-4fc1-bc8c-039e6d60dd5a","2023-09-29","Code_283","http://www.cdisc.org","Pound"
"C48208","Code","42cf5391-b5e5-432e-bf33-b5fa9ecfc90b","","Code_284","NCI Thesaurus","Unit of Weight"
"C81328","Code","88e58d7d-265e-4fbb-9f37-8faff8a2c9d6","","Code_279","NCI Thesaurus","Body Weight"
"C77140","Code","aab25598-1e73-4adb-9851-6bc906341a5d","","Code_286","NCI Thesaurus","Clinical Test Result"
"C49668","Code","7384a958-2c77-4db3-b7aa-ef35c4e8e91a","2023-09-29","Code_287","http://www.cdisc.org","Centimeter"
"C48500","Code","2753664f-c214-4a40-bd6e-3ecaba713af0","2023-09-29","Code_288","http://www.cdisc.org","Inch"
"C28251","Code","2fe77888-95eb-45a0-a46f-43b7f6aa8bc1","2023-09-29","Code_289","http://www.cdisc.org","Millimeter"
"C41139","Code","5b8bc6b0-fd82-43b9-9f0d-3fa72a74691b","2023-09-29","Code_290","http://www.cdisc.org","Meter"
"C168688","Code","7150521d-5b65-4cb7-850f-3e943181ab0b","","Code_291","NCI Thesaurus","Unit of Height"
"C164634","Code","75d7e3a6-4026-4b3a-a26b-3959ff20a7f9","","Code_285","NCI Thesaurus","Body Height"
"C36292","Code","93590ac8-bfe7-4771-a657-c99f980c291b","","Code_293","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","1c5c311d-fdbf-4ec5-bf7e-1e4dc369e430","","Code_294","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","eed4bd5d-4212-4871-b2df-e9f28be6cad5","","Code_295","NCI Thesaurus","Unit of Catalytic Activity Concentration"
"C70713","Code","f09c6806-309b-4d32-935c-dcfec07cde0e","","Code_296","NCI Thesaurus","Biospecimen Type"
"C64433","Code","48191c97-b4d3-45e5-901b-029a922c7068","","Code_292","NCI Thesaurus","Alanine Aminotransferase Measurement"
"C36292","Code","8cba8aa2-c9a2-4219-9709-65e7701ea64e","","Code_298","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","64d7ebae-b696-49b1-9c90-217152192ecb","","Code_299","NCI Thesaurus","Laboratory Test Fasting Status"
"C48207","Code","9e881776-b053-4df8-adb5-8c69a79a71c4","","Code_300","NCI Thesaurus","Unit of Concentration"
"C70713","Code","145ecb91-b602-4166-8459-d7a34a29dc63","","Code_301","NCI Thesaurus","Biospecimen Type"
"C64431","Code","aaecb9cc-9702-4b46-94b0-87e7d6221f31","","Code_297","NCI Thesaurus","Albumin Measurement"
"C36292","Code","48b388de-e246-4cf4-b479-6dff4d6db66e","","Code_303","NCI Thesaurus","Laboratory Test Result"
"C83309","Code","41035c61-d858-4cde-8ec4-01c4cb0099ce","","Code_304","NCI Thesaurus","Laboratory Test Fasting Status"
"C67365","Code","43d11859-4c17-42f7-9a60-4dde70ffcea2","","Code_305","NCI Thesaurus","Unit of Catalytic Activity Concentration"
