"id:ID","label","text","description","name","uuid","id"
"480","","Subject identifier","","ENCOUNTER_START_RULE_1","04f18217-2bc1-4f3c-9f74-aa108eb6d458","TransitionRule_1"
"481","","completion of screening activities","","ENCOUNTER_START_RULE_1","777494f5-8b6b-403e-9212-3158c2180d43","TransitionRule_2"
"482","","subject leaves clinic after connection of ambulatory ECG machine","","ENCOUNTER_START_RULE_2","0f76fbc1-cf42-481f-a878-f0a756a561bb","TransitionRule_3"
"483","","subject has connection of ambulatory ECG machine removed","","ENCOUNTER_START_RULE_3","9f1fe68a-c564-478f-ba9b-2aebc482e353","TransitionRule_4"
"484","","Radomized","","ENCOUNTER_START_RULE_3","deea8c9e-ab60-40c7-aedf-958292390209","TransitionRule_5"
"485","","End of treatment","","ENCOUNTER_START_RULE_12","303c694a-4352-426d-acf7-d7937d2914dc","TransitionRule_6"
"486","","Informed consent","","ELEMENT_START_RULE_1","1dba87cf-ccb5-45aa-9182-0a73ed7201dd","TransitionRule_7"
"487","","Completion of all screening activities and no more than 2 weeks from informed consent","","ELEMENT_END_RULE_1","a7aa6f4f-d197-41b9-9934-f490ef2f60a2","TransitionRule_8"
"488","","Administration of first dose","","ELEMENT_START_RULE_2","3a40d284-ecc1-4a46-8a58-03bae1bc9d7c","TransitionRule_9"
"489","","End of last scheduled visit on study (including early termination)","","ELEMENT_START_RULE_7","99fd100a-8b9f-4b99-8e70-f5f7bf284100","TransitionRule_14"
"490","","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","ELEMENT_END_RULE_7","add44de3-3955-4172-85ab-3e8e7a9089dd","TransitionRule_15"
"491","","Administration of first dose","","ELEMENT_START_RULE_3","93e38b11-db3c-4ddd-abcc-3dce35276063","TransitionRule_10"
"492","","Randomized","","ELEMENT_START_RULE_4","182e1a58-8998-416f-ac41-1b11cadf8704","TransitionRule_11"
"493","","Administration of first dose (from patches supplied at Visit 4)","","ELEMENT_START_RULE_5","0bd4af85-ab01-446d-b774-8cc089aef886","TransitionRule_12"
"494","","Administration of first dose (from patches supplied at Visit 12)","","ELEMENT_START_RULE_6","6acbc6fd-9b80-40c2-a6dd-31f4a39bf2ca","TransitionRule_13"
