"id:ID","responseCodeEnabled","id","uuid"
"666","True","ResponseCode_17","3b4d02ae-735d-4dc9-b244-b4b762fbc59d"
"667","True","ResponseCode_18","6dfcfb6f-37d4-4cd9-a20a-810fad1a27e9"
"668","True","ResponseCode_19","2dab66ba-bc94-4174-985a-7b3ee08c135c"
"669","True","ResponseCode_20","ccb74e90-f447-4172-a98e-1b6b55d53ace"
"670","True","ResponseCode_21","8e4f1a19-135f-4c2e-ba93-0117147b708d"
"671","True","ResponseCode_22","9a4f1f6d-32d8-4dfe-b8a3-278d1b5e139e"
"672","True","ResponseCode_23","3903e1d4-6006-495a-87ad-6b0ccd361338"
"673","True","ResponseCode_24","e5db685a-9aa2-4147-82ae-fc08e6815651"
"674","True","ResponseCode_1","986b0596-d534-46fd-9c48-8c6da50feb5b"
"675","True","ResponseCode_2","f7575943-dd12-4d2b-9f6a-488dde86b398"
"676","True","ResponseCode_3","7b8cb2da-3891-433c-8e59-d6fa0d9761ea"
"677","True","ResponseCode_4","1b831af2-09f7-4366-b136-585bc4b2af9b"
"678","True","ResponseCode_5","958431f6-d74a-429d-b5d6-e2f83725a7bf"
"679","True","ResponseCode_6","da14b6a1-a73b-422a-80ad-6a36563671aa"
"680","True","ResponseCode_7","47fc85cb-6394-47dc-97b1-b35b7ae45ad1"
"681","True","ResponseCode_8","1bb1d33a-89a1-44e2-bbaf-1295e7064fb9"
"682","True","ResponseCode_9","9a43bbd4-9b4e-4f96-97c6-741113bf324f"
"683","True","ResponseCode_10","cbca8324-da4a-4ad4-b414-9c420818d6ab"
"684","True","ResponseCode_11","f7808feb-b92f-44c3-9068-0d7154e7a5d6"
"685","True","ResponseCode_12","9eb127d3-e470-4d68-ab51-5f05f558f0e3"
"686","True","ResponseCode_13","f3a57e88-738e-499a-a10c-517b28b06623"
"687","True","ResponseCode_14","bf797fab-1943-4e92-a549-4da250f37466"
"688","True","ResponseCode_15","23d6fab6-f127-4d03-8538-61d29b1b4c78"
"689","True","ResponseCode_16","913a4601-04b3-41e1-a1a1-cb321d8bb1f4"
