"id:ID","sectionTitle","text","sectionNumber","name","uuid","id"
"822","Root","","0","ROOT","e4e51fd2-d33c-49b2-8e0f-d38c74f38ab2","NarrativeContent_1"
"823","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0","SECTION 0","2ca9ff4e-df3e-42d7-891e-99aa9281bdef","NarrativeContent_2"
"824","PROTOCOL SUMMARY","<div></div>","1","SECTION 1","8b4a6e8b-4c60-4ef6-bcf0-dc36ee55e4e2","NarrativeContent_3"
"825","Protocol Synopsis","<div></div>","1.1","SECTION 1.1","0abc7ad5-d333-43fe-aaed-a2d86447d39e","NarrativeContent_4"
"826","Trial Schema","<div></div>","1.2","SECTION 1.2","28bdc2a7-925a-4dea-ba6e-c13e704bce43","NarrativeContent_5"
"827","Schedule of Activities","<div></div>","1.3","SECTION 1.3","bf90db05-1c64-4afe-9345-691674e23e90","NarrativeContent_6"
"828","INTRODUCTION","<div></div>","2","SECTION 2","de9bbbb6-adca-41c0-a729-41e251fe5b8c","NarrativeContent_7"
"829","Purpose of Trial","<div></div>","2.1","SECTION 2.1","1248d065-0971-4f9d-ba15-4fb73a232132","NarrativeContent_8"
"830","Summary of Benefits and Risks","<div></div>","2.2","SECTION 2.2","57da2d4d-f63e-41fb-815d-94ff3e22199e","NarrativeContent_9"
"831","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3","SECTION 3","4487ae94-cad2-47a1-846f-85f977ed839e","NarrativeContent_10"
"832","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","SECTION 3.1","082efdef-8f1b-4440-b521-f7bb8e8c2edf","NarrativeContent_11"
"833","TRIAL DESIGN","<div></div>","4","SECTION 4","d76ce06a-6341-47d3-ac68-e41bdd554098","NarrativeContent_12"
"834","Description of Trial Design","<div></div>","4.1","SECTION 4.1","aa138548-49cf-4a2a-b031-b582e5736c26","NarrativeContent_13"
"835","Participant Input into Design","<div></div>","4.1.1","SECTION 4.1.1","033e120f-d27f-42b7-8b9c-5bcf35bfb813","NarrativeContent_14"
"836","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","SECTION 4.2","9920e720-ff8d-431d-be7e-7bda0777310e","NarrativeContent_15"
"837","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","SECTION 4.2.1","c6c9080e-be8c-4685-b406-3414ade999b7","NarrativeContent_16"
"838","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2","SECTION 4.2.2","95292ed7-351c-4251-8518-0cf5db9140a1","NarrativeContent_17"
"839","Other Trial Design Considerations","<div></div>","4.2.3","SECTION 4.2.3","3ea38d67-d17e-48c5-b12e-27815bcec59a","NarrativeContent_18"
"840","Access to Trial Intervention After End of Trial","<div></div>","4.3","SECTION 4.3","a031931b-f071-48a0-9952-be971c34bfb6","NarrativeContent_19"
"841","Start of Trial and End of Trial","<div></div>","4.4","SECTION 4.4","fa8505db-5be9-4338-b23d-778a67932d75","NarrativeContent_20"
"842","TRIAL POPULATION","<div></div>","5","SECTION 5","decca962-4683-4e60-8be1-da63165f9e3e","NarrativeContent_21"
"843","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","SECTION 5.1","567d83ea-93a2-4bf5-a5f3-7329ba8886f1","NarrativeContent_22"
"844","Rationale for Trial Population","<div></div>","5.2","SECTION 5.2","1463dc0c-f430-4267-b171-cd93020957ae","NarrativeContent_23"
"845","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3","SECTION 5.3","e396d5e5-9394-4c27-89cd-0bfaeb44363e","NarrativeContent_24"
"846","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","5.4","SECTION 5.4","75f505c4-585b-4c5e-a975-8908237f0e95","NarrativeContent_25"
"847","Lifestyle Considerations","<div></div>","5.5","SECTION 5.5","ef3bc1c1-29c8-4b90-8757-67df476d25d5","NarrativeContent_26"
"848","Meals and Dietary Restrictions","<div></div>","5.5.1","SECTION 5.5.1","28fd6590-70e5-4ce7-82eb-dd87636683b0","NarrativeContent_27"
"849","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","5.5.2","SECTION 5.5.2","bdf93d1b-71b0-4fc3-a018-bd5fe46fd4f0","NarrativeContent_28"
"850","Physical Activity","<div></div>","5.5.3","SECTION 5.5.3","f3d4184b-d200-41eb-ab80-81fd8d0a0862","NarrativeContent_29"
"851","Other Activity","<div></div>","5.5.4","SECTION 5.5.4","405a3620-09a9-4e9f-9963-974dfcefbed5","NarrativeContent_30"
"852","Screen Failures","<div></div>","5.6","SECTION 5.6","6b5fb71b-4c58-4347-a3c9-21ea00666787","NarrativeContent_31"
"853","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","6","SECTION 6","f727143b-1bde-4384-9ce0-c94f8f849f80","NarrativeContent_32"
"854","Description of Trial Intervention","<div></div>","6.1","SECTION 6.1","7ef1004e-2179-458b-a748-d75463fff8e6","NarrativeContent_33"
"855","Rationale for Trial Intervention","<div></div>","6.2","SECTION 6.2","a73c3187-f8bb-4beb-929b-84d7b64a32e0","NarrativeContent_34"
"856","Dosing and Administration","<div></div>","6.3","SECTION 6.3","86b548db-1707-4676-bfa1-e3e3f87b7444","NarrativeContent_35"
"857","Trial Intervention Dose Modification","<div></div>","6.3.1","SECTION 6.3.1","2cebe36c-b848-4ca8-baeb-54d299246d5e","NarrativeContent_36"
"858","Treatment of Overdose","<div></div>","6.4","SECTION 6.4","28f3e789-2b3e-42e4-9d5e-e37409f1e277","NarrativeContent_37"
"859","Preparation, Handling, Storage and Accountability","<div></div>","6.5","SECTION 6.5","60749e33-4670-4089-8d60-a3b9b748699c","NarrativeContent_38"
"860","Preparation of Trial Intervention","<div></div>","6.5.1","SECTION 6.5.1","c2fc99e4-ef9f-4b7a-954f-4a272fa4b055","NarrativeContent_39"
"861","Handling and Storage of Trial Intervention","<div></div>","6.5.2","SECTION 6.5.2","8b479d6b-9bf5-44fa-9c80-af4fcd16551d","NarrativeContent_40"
"862","Accountability of Trial Intervention","<div></div>","6.5.3","SECTION 6.5.3","23a78980-c547-4586-ac34-b94cbe8f890d","NarrativeContent_41"
"863","Participant Assignment, Randomisation and Blinding","<div></div>","6.6","SECTION 6.6","8de9008a-d352-4990-93c6-36948325ccdd","NarrativeContent_42"
"864","Participant Assignment","<div></div>","6.6.1","SECTION 6.6.1","9a6be33b-d833-4d1f-ad89-5aa429072a7d","NarrativeContent_43"
"865","Randomisation","<div></div>","6.6.2","SECTION 6.6.2","5d66eb7c-1f70-4cd5-94f1-d238871a83c4","NarrativeContent_44"
"866","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","SECTION 6.6.3","3aa98093-bddf-437e-999d-9534bb6a764d","NarrativeContent_45"
"867","Trial Intervention Compliance","<div></div>","6.7","SECTION 6.7","9bb0e0a0-3c4e-4a74-96e1-10f6387e0de5","NarrativeContent_46"
"868","Concomitant Therapy","<div></div>","6.8","SECTION 6.8","69f9d0d4-c442-4fca-8a07-3d1ea8093762","NarrativeContent_47"
"869","Prohibited Concomitant Therapy","<div></div>","6.8.1","SECTION 6.8.1","afd02a88-77d8-460a-8bbb-b5597764a200","NarrativeContent_48"
"870","Permitted Concomitant Therapy","<div></div>","6.8.2","SECTION 6.8.2","8dc9b05c-bb1a-4c80-a483-6733255fd00c","NarrativeContent_49"
"871","Rescue Therapy","<div></div>","6.8.3","SECTION 6.8.3","690e968a-805c-4d3f-a415-0f2a10523369","NarrativeContent_50"
"872","Other Therapy","<div></div>","6.8.4","SECTION 6.8.4","61c114f9-6f65-445f-98af-e2a576de28c8","NarrativeContent_51"
"873","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","7","SECTION 7","20e231e6-612e-4d54-a808-50dca9df37c4","NarrativeContent_52"
"874","Discontinuation of Trial Intervention","<div></div>","7.1","SECTION 7.1","d9c28a4b-7732-4d68-8130-4905cc4302d2","NarrativeContent_53"
"875","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","7.1.1","SECTION 7.1.1","d2f911c2-86cf-4c1c-836b-05176c3bb335","NarrativeContent_54"
"876","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","7.1.2","SECTION 7.1.2","39c6cbff-2ec8-40cd-9ec0-3429dac5cdc2","NarrativeContent_55"
"877","Rechallenge","<div></div>","7.1.3","SECTION 7.1.3","1275af39-a617-4ad5-b391-cbab5ec97224","NarrativeContent_56"
"878","Participant Withdrawal from the Trial","<div></div>","7.2","SECTION 7.2","86f74d84-0e62-49d9-b387-b095f1e8e387","NarrativeContent_57"
"879","Lost to Follow-Up","<div></div>","7.3","SECTION 7.3","10832d96-e7d7-44e2-a28b-b216ce981ecc","NarrativeContent_58"
"880","Trial Stopping Rules","<div></div>","7.4","SECTION 7.4","88088a7b-0f80-4dc5-8a57-bbcbae29567c","NarrativeContent_59"
"881","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","8","SECTION 8","abd0108c-494b-4baa-ab00-8da4304dbd30","NarrativeContent_60"
"882","Screening/Baseline Assessments and Procedures","<div></div>","8.1","SECTION 8.1","752b87b2-1276-4a58-841b-221569aa180d","NarrativeContent_61"
"883","Efficacy Assessments and Procedures","<div></div>","8.2","SECTION 8.2","96add6a7-71e5-48ac-b013-56b33ad416fd","NarrativeContent_62"
"884","Safety Assessments and Procedures","<div></div>","8.3","SECTION 8.3","d1a24e46-d1e8-4104-af25-66bed9c34890","NarrativeContent_63"
"885","Physical Examination","<div></div>","8.3.1","SECTION 8.3.1","05edbf80-ca3c-4a9b-a387-5aa1b09c672a","NarrativeContent_64"
"886","Vital Signs","<div></div>","8.3.2","SECTION 8.3.2","35ecd5bb-ed9d-4ba7-839d-6218c5814649","NarrativeContent_65"
"887","Electrocardiograms","<div></div>","8.3.3","SECTION 8.3.3","3636e670-1888-42e5-a76c-c0c953904101","NarrativeContent_66"
"888","Clinical Laboratory Assessments","<div></div>","8.3.4","SECTION 8.3.4","0447ddc2-405d-4ffd-9e03-007a0196b188","NarrativeContent_67"
"889","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","8.3.5","SECTION 8.3.5","3274d2b0-56a9-4450-8d83-846a022e5177","NarrativeContent_68"
"890","Adverse Events and Serious Adverse Events","<div></div>","8.4","SECTION 8.4","e6fbe90c-fa84-40fa-81a7-ada6dc87c801","NarrativeContent_69"
"891","Definitions of AE and SAE","<div></div>","8.4.1","SECTION 8.4.1","b79dc254-2c4d-4b0f-a237-6fdf2607d8de","NarrativeContent_70"
"892","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","8.4.2","SECTION 8.4.2","8cf9cacb-761b-472b-9c74-b3e5d9949d4b","NarrativeContent_71"
"893","Identifying AEs and SAEs","<div></div>","8.4.3","SECTION 8.4.3","fc978ce5-0ea8-4b15-8513-2989359ddc2a","NarrativeContent_72"
"894","Recording of AEs and SAEs","<div></div>","8.4.4","SECTION 8.4.4","04fb3eb9-d905-41df-bd9b-ba65aaf9e547","NarrativeContent_73"
"895","Follow-up of AEs and SAEs","<div></div>","8.4.5","SECTION 8.4.5","bf9705d1-bfc1-4d04-8d61-e475875bcb32","NarrativeContent_74"
"896","Reporting of SAEs","<div></div>","8.4.6","SECTION 8.4.6","45d96366-137f-4466-9f10-560626e9a726","NarrativeContent_75"
"897","Regulatory Reporting Requirements for SAEs","<div></div>","8.4.7","SECTION 8.4.7","71695450-3360-4e96-a70a-90cfa78a6bd4","NarrativeContent_76"
"898","Serious and Unexpected Adverse Reaction Reporting","<div></div>","8.4.8","SECTION 8.4.8","627e0d4b-13e6-4abb-9dea-166cf7a65321","NarrativeContent_77"
"899","Adverse Events of Special Interest","<div></div>","8.4.9","SECTION 8.4.9","65a35d52-19c8-41f1-82fc-9d75af42f623","NarrativeContent_78"
"900","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","8.4.10","SECTION 8.4.10","4594cb90-0630-4633-a383-aac6f52841ad","NarrativeContent_79"
"901","Pregnancy and Postpartum Information","<div></div>","8.5","SECTION 8.5","c75ef0a5-6243-443a-8864-5ab2bd3c5022","NarrativeContent_80"
"902","Participants Who Become Pregnant During the Trial","<div></div>","8.5.1","SECTION 8.5.1","826ac7b8-b2c8-4d92-b10a-4e45e5b000d8","NarrativeContent_81"
"903","Participants Whose Partners Become Pregnant","<div></div>","8.5.2","SECTION 8.5.2","b035dad9-cfb7-4e52-b61f-aa608be6a4dc","NarrativeContent_82"
"904","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","8.6","SECTION 8.6","2db347e7-872f-47e9-9073-55e4f675256a","NarrativeContent_83"
"905","Definition of Medical Device Product Complaints","<div></div>","8.6.1","SECTION 8.6.1","bfb2c5fc-ce20-499c-9972-a7afced2f5ec","NarrativeContent_84"
"906","Recording of Medical Device Product Complaints","<div></div>","8.6.2","SECTION 8.6.2","b16a858e-5b58-4880-9a71-79c5c4fdea32","NarrativeContent_85"
"907","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","8.6.3","SECTION 8.6.3","68fc15dc-9cbf-491a-b94b-a4f2c519998a","NarrativeContent_86"
"908","Follow-Up of Medical Device Product Complaints","<div></div>","8.6.4","SECTION 8.6.4","83469795-b74a-4c82-be62-6f1296a86281","NarrativeContent_87"
"909","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","8.6.5","SECTION 8.6.5","50fc3bd8-8a11-47e3-b205-8299ae61e047","NarrativeContent_88"
"910","Pharmacokinetics","<div></div>","8.7","SECTION 8.7","4a881fd1-3f69-4717-b4aa-f55722275ee5","NarrativeContent_89"
"911","Genetics","<div></div>","8.8","SECTION 8.8","90dc5c5b-24df-45f2-aa06-12bac310a54b","NarrativeContent_90"
"912","Biomarkers","<div></div>","8.9","SECTION 8.9","4c56ef81-e713-4b47-b7b6-09c2162d4011","NarrativeContent_91"
"913","Immunogenicity Assessments","<div></div>","8.1","SECTION 8.1","e127f5ae-224e-45b1-8473-85a2e73c480a","NarrativeContent_92"
"914","Medical Resource Utilisation and Health Economics","<div></div>","8.1.1","SECTION 8.1.1","cc801eda-3bc7-40fa-8b07-d3127c64ff92","NarrativeContent_93"
"915","STATISTICAL CONSIDERATIONS","<div></div>","9","SECTION 9","bcd05c88-85ab-45e5-8454-7eebc310e65b","NarrativeContent_94"
"916","Analysis Sets","<div></div>","9.1","SECTION 9.1","891604a8-451d-4b54-b392-71c84d51bffb","NarrativeContent_95"
"917","Analyses Supporting Primary Objective(s)","<div></div>","9.2","SECTION 9.2","d71ed545-6c97-4920-9f67-79613cbd3d52","NarrativeContent_96"
"918","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","9.2.1","SECTION 9.2.1","e115f7c6-af1e-45f8-a82e-728f65b4d7d9","NarrativeContent_97"
"919","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","9.2.2","SECTION 9.2.2","d856ca62-720d-4000-950a-e41879facf2b","NarrativeContent_98"
"920","Handling of Missing Data","<div></div>","9.2.3","SECTION 9.2.3","41f8e8a5-a57f-4aa4-999c-5bde0bcec680","NarrativeContent_99"
"921","Sensitivity Analysis","<div></div>","9.2.4","SECTION 9.2.4","b29aef19-1270-4240-a01a-7d9af3c428fd","NarrativeContent_100"
"922","Supplementary Analysis","<div></div>","9.2.5","SECTION 9.2.5","adcce431-5deb-4fa0-8f51-80715c34f58c","NarrativeContent_101"
"923","Analysis Supporting Secondary Objective(s)","<div></div>","9.3","SECTION 9.3","40090b8b-2b9d-46fb-8c2e-4cef7829f280","NarrativeContent_102"
"924","Analysis of Exploratory Objective(s)","<div></div>","9.4","SECTION 9.4","dab4e525-58aa-459d-b199-6365d932326b","NarrativeContent_103"
"925","Safety Analyses","<div></div>","9.5","SECTION 9.5","f5feb889-cbd7-4144-b94f-cd14883153cd","NarrativeContent_104"
"926","Other Analyses","<div></div>","9.6","SECTION 9.6","86076f02-0aff-4837-981c-1bcb9e99e767","NarrativeContent_105"
"927","Interim Analyses","<div></div>","9.7","SECTION 9.7","fe4089d6-4bd2-451e-9027-d522cf11e2bd","NarrativeContent_106"
"928","Sample Size Determination","<div></div>","9.8","SECTION 9.8","4c8fa679-b2d1-4d51-8b34-003cf629c60b","NarrativeContent_107"
"929","Protocol Deviations","<div></div>","9.9","SECTION 9.9","50cc026d-aeca-41b8-bc4a-2637d8cbee29","NarrativeContent_108"
"930","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","10","SECTION 10","5b8353b6-cc09-4c5e-970d-425a441bb413","NarrativeContent_109"
"931","Regulatory and Ethical Considerations","<div></div>","10.1","SECTION 10.1","c0dc49ae-44f5-48c9-aeb4-e7053e81bdb0","NarrativeContent_110"
"932","Committees","<div></div>","10.2","SECTION 10.2","189162bf-3428-47c3-ad08-7e723db32790","NarrativeContent_111"
"933","Informed Consent Process","<div></div>","10.3","SECTION 10.3","2daa4bd4-e1a6-4bf0-862a-d539a6693827","NarrativeContent_112"
"934","Data Protection","<div></div>","10.4","SECTION 10.4","b1ab2270-51d2-403d-8503-a768bb0ac55f","NarrativeContent_113"
