"id:ID","timingWindowUpper","label","timingWindowLower","timingValue","description","name","uuid","timingWindow","id"
"766","","Screening","","P2W","Screening timing","TIM1","0b0b12e4-7c89-46bb-a6bf-175945d3cd11","","Timing_1"
"767","PT0H","Pre dose","PT4H","P2D","Pre dose timing","TIM2","dfbe20b0-49e3-4231-b93c-25134ab591a2","-4..0 hours","Timing_2"
"768","","Dosing","","P1D","Dosing anchor","TIM3","1d4c7bd1-ed52-4915-a217-6191c899057f","","Timing_3"
"769","P3D","Week 2","P3D","P2W","Week 2 timing","TIM4","565d4271-8aed-44ea-94b2-4334f974aeb0","-3..3 days","Timing_4"
"770","P3D","Week 4","P3D","P4W","Week 4 timing","TIM5","613d1e37-e5a4-4bd2-b169-50b4f584faa9","-3..3 days","Timing_5"
"771","P3D","Week 6","P3D","P6W","Week 6 timing","TIM6","60ac27e6-9f1e-4b6e-8101-ee94872653c2","-3..3 days","Timing_6"
"772","P3D","Week 8","P3D","P8W","Week 8 timing","TIM7","5244ca30-e965-43a6-be26-74735316bfb6","-3..3 days","Timing_7"
"773","","Week 8 Home","","P2W","Week 8 at home timing","TIM8","a02bf771-2919-4e56-a634-af0608c4edd8","","Timing_8"
"774","P4D","Week 12","P4D","P12W","Week 12 timing","TIM9","2533980f-cbb1-4721-aa46-6a35b387bab4","-4..4 days","Timing_9"
"775","","Week 12 Home","","P2W","Week 12 at home timing","TIM10","fcf45fa9-c901-4da1-803e-88820a1188c2","","Timing_10"
"776","P4D","Week 16","P4D","P16W","Week 16 timing","TIM11","11e4bac6-e903-4b6a-8628-75158f393ea9","-4..4 days","Timing_11"
"777","","Week 16 Home","","P2W","Week 16 at home timing","TIM12","20ac8465-8f91-43a4-8a42-6c453f5777c0","","Timing_12"
"778","P4D","Week 20","P4D","P20W","Week 20 timing","TIM13","b0fb2ede-c624-4cd1-b2a1-49a1ef840b32","-4..4 days","Timing_13"
"779","","Week 20 Home","","P2W","Week 20 at home timing","TIM14","41d78d19-d02a-4456-93f0-5356895bfe68","","Timing_14"
"780","P4D","Week 24","P4D","P24W","Week 24 timing","TIM15","744f1c32-1cfd-4315-9d8a-f339ba9c92e2","-4..4 days","Timing_15"
"781","P3D","Week 26","P3D","P26W","Week 26 timing","TIM16","32876566-9e88-4eb3-bed5-ed6401ee1c58","-3..3 days","Timing_16"
"782","","Adverse Event","","P1D","Adverse Event","TIM17","7a5ba707-e915-446a-b40e-687077a8dce6","","Timing_17"
"783","","Early Termination","","P1D","Early Termination","TIM18","0a7725ec-b520-4a16-bafa-ab6be8ba9af6","","Timing_18"
"784","","BP Anchor","","PT0M","BP Anchor","TIM19","9d64a785-a19d-443b-ad8d-30f2f4807d4e","","Timing_19"
"785","","BP while Supine","","PT5M","BP while Supine","TIM20","acc1e6be-afd3-485e-9747-76eae0dd0fa7","","Timing_20"
"786","PT0M","BP Stand Up","PT2M","PT3M","BP Stand Up","TIM21","91f4130c-6a09-4b29-af1f-061ea3a41abb","-2..0 mins","Timing_21"
"787","","BP while standing","","PT0M","BP while standing","TIM22","8f150832-c938-47e0-9a64-384ca40470bd","","Timing_22"
