"code","codeSystem","uuid:ID","decode","codeSystemVersion","id"
"C98388","http://www.cdisc.org","58792647-2efd-468b-869c-0c82c68621a5","Interventional Study","2023-09-29","Code_1"
"C15601","http://www.cdisc.org","c9ae8122-6210-4b42-a7ec-e63ba31a22c2","Phase II Trial","2023-09-29","Code_2"
"C132352","http://www.cdisc.org","22236a84-ac68-467c-8cee-ff3028e9daf4","Sponsor Approval Date","2023-09-29","Code_5"
"C68846","http://www.cdisc.org","036048fb-2f38-45ac-acd9-5017176eee44","Global","2023-09-29","Code_6"
"C99904x3","http://www.cdisc.org","0eba282d-648a-4728-9895-2d3bbad0d241","IRB/IEC Feedback","2023-09-29","Code_65"
"C17649","http://www.cdisc.org","7e691e8d-5a2d-4fdc-8a88-f5925a605a6b","Other","2023-09-29","Code_66"
"C41129","http://www.cdisc.org","95b93eaa-6c29-49b8-a56f-a0ee08f4d9f7","Region","2023-09-29","Code_68"
"150","ISO 3166 1 alpha3","1351f10c-23ee-4f2c-a197-724095768227","Europe","2020-08","Code_67"
"PHARMA","SPONSOR","d84279c3-3f90-4641-8486-8e24cf6af72f","Eli Lilly","12","Code_3"
"C70793","http://www.cdisc.org","f3b151a6-94c1-47ac-8822-38aa96aba22a","Clinical Study Sponsor","2023-09-29","Code_69"
"USA","ISO 3166 1 alpha3","81970f3e-36a1-4ab5-99f2-43ab0d28e0e9","United States of America","2020-08","Code_70"
"C93453","http://www.cdisc.org","82822df0-d9a3-48e8-bc61-6f401d81a6cf","Study Registry","2023-09-29","Code_71"
"C49656","http://www.cdisc.org","eada5883-f188-42f7-8992-0acf84ed5715","Treatment Study","2023-09-29","Code_129"
"C49666","http://www.cdisc.org","51747e68-3289-4ee3-807a-9bf4f93cba6a","Efficacy Study","2023-09-29","Code_130"
"C49667","http://www.cdisc.org","903630ba-4f72-4a78-ba4b-764403ef7cf8","Safety Study","2023-09-29","Code_131"
"C49663","http://www.cdisc.org","dfd2a757-6467-4154-b723-48a000b3ccbb","Pharmacokinetic Study","2023-09-29","Code_132"
"MILD_MOD_ALZ","SPONSOR","cdf899e9-7e1e-44e0-9b5e-e761879907dc","Mild to Moderate Alzheimer\'s Disease","12","Code_126"
"26929004","SNOMED","fc6543ea-5c2f-4fe4-9c7a-01c9145f2699","Alzheimer\'s disease","January 31, 2018","Code_127"
"C82639","http://www.cdisc.org","5b5248c7-0a03-40b3-8641-cb1ff8c65962","Parallel Study","2023-09-29","Code_133"
"C25716","http://www.cdisc.org","96fab935-1f3a-4166-9b60-fdeaaa9df629","Visit","2023-09-29","Code_75"
"C51282","http://www.cdisc.org","a72fb783-2cb9-4f67-bbd4-713c48aab48d","Clinic","2023-09-29","Code_76"
"C175574","http://www.cdisc.org","d3ffaff6-5a7c-41a7-b9b0-9b265dbb00d6","In Person","2023-09-29","Code_77"
"C25716","http://www.cdisc.org","c9d519c7-9373-4427-9050-6910cdf3511a","Visit","2023-09-29","Code_78"
"C51282","http://www.cdisc.org","eed9e80a-d3f9-41c8-a11d-ebddc488160d","Clinic","2023-09-29","Code_79"
"C175574","http://www.cdisc.org","9bd97162-2079-4381-bdd4-d8349b2a28de","In Person","2023-09-29","Code_80"
"C25716","http://www.cdisc.org","f672dc25-ab0d-4553-92bd-04f3c2b160f8","Visit","2023-09-29","Code_81"
"C51282","http://www.cdisc.org","aa334bb6-65d1-4c86-b29a-8982e5a84ed4","Clinic","2023-09-29","Code_82"
"C175574","http://www.cdisc.org","a3e6075c-54bf-4af4-9cbe-e52e5cc7627d","In Person","2023-09-29","Code_83"
"C25716","http://www.cdisc.org","83d3109d-e808-4611-b291-fa8f62e1eb9e","Visit","2023-09-29","Code_84"
"C51282","http://www.cdisc.org","19e3a490-eceb-4dc8-9b4c-1f4f68e2b2d8","Clinic","2023-09-29","Code_85"
"C175574","http://www.cdisc.org","642fb6d2-2490-48db-ae65-92702af4c9d6","In Person","2023-09-29","Code_86"
"C25716","http://www.cdisc.org","c972b7be-94da-45fa-bebf-92feacf1d1de","Visit","2023-09-29","Code_87"
"C51282","http://www.cdisc.org","808146c5-ccdb-4b2f-868e-3b14447a57ce","Clinic","2023-09-29","Code_88"
"C175574","http://www.cdisc.org","41b219b1-f377-4105-b971-7a6dcb83d0b4","In Person","2023-09-29","Code_89"
"C25716","http://www.cdisc.org","df18124a-3bd9-4cdf-a9c7-fd142c3a7066","Visit","2023-09-29","Code_90"
"C51282","http://www.cdisc.org","ffa4f3e5-9806-4ddb-ad2a-9e8633a4688e","Clinic","2023-09-29","Code_91"
"C175574","http://www.cdisc.org","577e42f3-1e56-4bbd-8722-b0424390721d","In Person","2023-09-29","Code_92"
"C25716","http://www.cdisc.org","dee348a4-d0cf-4654-8c1b-00e6f33bb664","Visit","2023-09-29","Code_93"
"C51282","http://www.cdisc.org","edf6ba71-190b-430a-9a20-20ba6e5d089d","Clinic","2023-09-29","Code_94"
