"window","uuid:ID","windowUpper","description","label","windowLower","name","id","value"
"","d4e1ba3c-b6b6-47a8-ac0b-920528c05158","","Screening timing","Screening","","TIM1","Timing_1","P2W"
"-4..0 hours","5aeb05e9-b4be-4a8c-a0be-94afa72f8553","PT0H","Pre dose timing","Pre dose","PT4H","TIM2","Timing_2","P2D"
"","a537ccf0-1635-4dd8-a928-c08fb7128e25","","Dosing anchor","Dosing","","TIM3","Timing_3","P1D"
"-3..3 days","7b1dcab5-f0b0-4ddd-8258-f97b4e48bde1","P3D","Week 2 timing","Week 2","P3D","TIM4","Timing_4","P2W"
"-3..3 days","f00c95f2-16fb-4748-8344-51d0f1ec4ac0","P3D","Week 4 timing","Week 4","P3D","TIM5","Timing_5","P4W"
"-3..3 days","04f9cb4b-7d08-45be-8fb6-2414249e9a64","P3D","Week 6 timing","Week 6","P3D","TIM6","Timing_6","P6W"
"-3..3 days","26e57fcc-6de5-4ad0-a7d7-ff846dd9877a","P3D","Week 8 timing","Week 8","P3D","TIM7","Timing_7","P8W"
"","bbdb76d7-6c4b-429e-8149-8c5272d0ff15","","Week 8 at home timing","Week 8 Home","","TIM8","Timing_8","P2W"
"-4..4 days","9dddd32b-cb18-4d1c-947a-12a4dd7ecbaa","P4D","Week 12 timing","Week 12","P4D","TIM9","Timing_9","P12W"
"","13df0e22-1c1d-4185-b888-1fb02bfc33c3","","Week 12 at home timing","Week 12 Home","","TIM10","Timing_10","P2W"
"-4..4 days","8b0eb20a-9430-44ac-ac2c-4f17cadb9664","P4D","Week 16 timing","Week 16","P4D","TIM11","Timing_11","P16W"
"","0882c7d5-56d5-49b3-b7ee-034759df4082","","Week 16 at home timing","Week 16 Home","","TIM12","Timing_12","P2W"
"-4..4 days","951c7570-9cd0-46b3-b621-da5b74c2ab36","P4D","Week 20 timing","Week 20","P4D","TIM13","Timing_13","P20W"
"","195c2c79-4a11-4bb2-a190-48cc2a9873c3","","Week 20 at home timing","Week 20 Home","","TIM14","Timing_14","P2W"
"-4..4 days","cd33136d-9bea-42ff-ac27-1732d033723c","P4D","Week 24 timing","Week 24","P4D","TIM15","Timing_15","P24W"
"-3..3 days","3620577d-29be-4144-8518-679c8250bbbe","P3D","Week 26 timing","Week 26","P3D","TIM16","Timing_16","P26W"
"","628cf3b8-9104-424f-b219-e3a0581be409","","Adverse Event","Adverse Event","","TIM17","Timing_17","P1D"
"","d1abb8c9-df0c-437b-9e2d-94f25d8a8621","","Early Termination","Early Termination","","TIM18","Timing_18","P1D"
"","5e43458e-36a4-4fb6-86c7-50da1c7fec5f","","BP Anchor","BP Anchor","","TIM19","Timing_19","PT0M"
"","5b3960e2-d413-4d56-b617-c1cdf81d9b0d","","BP while Supine","BP while Supine","","TIM20","Timing_20","PT5M"
"-2..0 min","2d2c3e51-7c01-42fc-ae69-a6e543141c99","PT0M","BP Stand Up","BP Stand Up","PT2M","TIM21","Timing_21","PT3M"
"","1695bcb8-9c49-4063-8053-c2e097cb69a3","","BP while standing","BP while standing","","TIM22","Timing_22","PT0M"
