"sectionTitle","uuid:ID","text","name","id","sectionNumber"
"Root","4cb20a7e-12cc-40e6-97d4-6dc2a6e81d27","","ROOT","NarrativeContent_1","0"
"TITLE PAGE","4eb97637-c460-4dea-91bf-6c437a8061b1","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent_2","0"
"PROTOCOL SUMMARY","ac46023a-6a4d-4ef9-873d-52dbee61e30a","<div></div>","SECTION 1","NarrativeContent_3","1"
"Protocol Synopsis","1f8c75e2-fd3c-49cf-a1ad-e60b46b3fd83","<div></div>","SECTION 1.1","NarrativeContent_4","1.1"
"Trial Schema","983bfc25-230e-497d-9aaa-335e70e83175","<div></div>","SECTION 1.2","NarrativeContent_5","1.2"
"Schedule of Activities","7a77474b-8ad8-4e30-b395-476e751ac8fa","<div></div>","SECTION 1.3","NarrativeContent_6","1.3"
"INTRODUCTION","9bee9f57-8330-428d-b215-f6b0fc6435f4","<div></div>","SECTION 2","NarrativeContent_7","2"
"Purpose of Trial","90088885-3860-488e-863b-4599a70fe5e1","<div></div>","SECTION 2.1","NarrativeContent_8","2.1"
"Summary of Benefits and Risks","1e39e9aa-a8db-4adc-9801-a7840a146328","<div></div>","SECTION 2.2","NarrativeContent_9","2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","6d3393b7-ccf3-4c1a-8642-91e4ca6a1ec6","<div></div>","SECTION 3","NarrativeContent_10","3"
"Primary Objectives","545c3ea0-c2bc-4654-8f3d-e58af9a199b6","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent_11","3.1"
"TRIAL DESIGN","bd341ef8-d74b-4af0-99f9-b549a7c7aadb","<div></div>","SECTION 4","NarrativeContent_12","4"
"Description of Trial Design","e2c3b178-a192-4fc5-9082-b52a979a3e4d","<div></div>","SECTION 4.1","NarrativeContent_13","4.1"
"Participant Input into Design","89b50ccd-11d2-4a96-ac99-54b275ac2e57","<div></div>","SECTION 4.1.1","NarrativeContent_14","4.1.1"
"Rationale for Trial Design","eec08475-9d94-438f-8a9d-bb9a28a844d3","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","NarrativeContent_15","4.2"
