"synonyms","uuid:ID","label","reference","name","id"
"['Temperature']","4de589a6-35f2-489f-bbdc-8a9d92d8b8a6","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_18"
"['Weight']","4989150d-f947-4360-81ef-b1abfe49a1fe","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_19"
"['Height']","71f514d2-71a2-4381-a169-9e35d02969fa","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_20"
"['ALT', 'SGPT']","a0ba58c9-23b1-4bb8-984c-7f67cf4d20bb","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_21"
"['Albumin']","a9c33eb9-e58c-450e-8728-8605562e6043","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_22"
"['Alkaline Phosphatase']","2ecd6df5-9232-41b2-bd32-13f6618fffa8","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_23"
"['AST', 'SGOT']","da9610d8-729f-4aa0-a605-9009506afde4","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_24"
"['Creatinine']","bb1641bc-6b29-418c-a499-0d4be26fa373","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_25"
"['Potassium', 'K']","753572a8-849a-47c4-a3d7-fb7671a41d2c","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_26"
"['Sodium', 'NA']","547d7775-0d23-4608-9303-598375850531","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_27"
"['Adverse Event Reported Term', 'AETERM']","14966723-b0bf-42b8-a31f-8cbf1ff9c5e0","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept_1"
"['SYSBP']","dfff1ab1-e564-4b3f-9ab2-ed1599fc3f3b","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_2"
"['DIABP']","8e768242-4f35-4d43-9024-5f1c00a05c02","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_3"
"['Temperature']","356a16be-c845-47ba-a5a8-35e33d6ab15f","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_4"
"['Weight']","4598d76e-c4dd-41bb-be58-61f6eefac418","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_5"
"['Height']","3c5ec980-b6f2-40e2-ade2-32361ef1a0bd","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_6"
"['ALT', 'SGPT']","1ba1d387-b526-45af-bdd5-36154419bab8","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_7"
"['Albumin']","a935e8d6-e4e9-4853-a870-566eb0f4ac4c","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_8"
"['Alkaline Phosphatase']","19b6b265-1ce4-4cfb-8827-396b1fe1aaac","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_9"
"['AST', 'SGOT']","a973ddb2-71ff-4c1d-a187-d309ad05189e","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_10"
"['Creatinine']","7c30b4ec-a525-4023-910c-0311b888c5a9","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_11"
