"id","text","name","uuid:ID"
"TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1","2a0535d3-a00b-4efe-8253-de87512b12da"
"TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1","2a9608be-ff35-4263-a7af-deb77032a3c2"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","991055f8-a2c0-45bb-9684-ae8db19255d3"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","70a5c8e9-399e-4997-be62-5933df99ad44"
"TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3","1c31df36-f3ad-4671-a088-3925db19bbf8"
"TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12","cd6d41dd-74c3-4e4d-8d4a-37fa30650b02"
"TransitionRule_7","Informed consent","ELEMENT_START_RULE_1","564d31a0-e07b-4a27-8622-294e21227b00"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","de671086-aa83-45b5-937a-6d704b564049"
"TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2","e1a841ed-ea35-494b-bd0a-0edaf8fe615c"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","cd7d7193-bf71-469a-873e-d4f44f4de37a"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","69a1eea1-49f0-4aee-b49d-6f64dcd0ca6c"
"TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3","70ff2664-0af9-4231-aef8-817141446614"
"TransitionRule_11","Randomized","ELEMENT_START_RULE_4","a5514bbb-c78b-42a0-97cb-4a676f819233"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","62c55bc1-5559-4f05-883e-265c8752de1b"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","ebbaa204-39fd-4b6e-9691-2622b3347a5d"
