"datatype","uuid:ID","label","isEnabled","isRequired","name","id"
"decimal","6f9de9c4-b769-406c-a81c-c55811ca3063","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_86"
"string","cbd17535-f9bc-4a78-a629-22eff6e3b3af","Unit of Temperature","True","True","Unit of Temperature","BiomedicalConceptProperty_87"
"string","57901711-f4ec-4140-a57e-a050bff5b72a","Vital Signs Location","True","True","Vital Signs Location","BiomedicalConceptProperty_88"
"decimal","15afa929-0236-42e7-b3a8-ca84a9435144","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_89"
"string","78098d13-8c01-4404-bd0c-f55b51c7a300","Unit of Weight","True","True","Unit of Weight","BiomedicalConceptProperty_90"
"decimal","e48a0253-e419-4360-b3a3-6dbc1efa13e9","Vital Signs Result","True","True","Vital Signs Result","BiomedicalConceptProperty_91"
"string","5bd45942-1ce4-49d9-8a46-b7651d9c8a03","Unit of Height","True","True","Unit of Height","BiomedicalConceptProperty_92"
"decimal","cce3026d-4227-4c3c-a0e2-1eeebebd62bd","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_93"
"boolean","39e82b4f-9d84-4e0e-b22c-2e2414419331","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_94"
"string","f56c2c5e-d124-4a13-b34e-0a5afe1a6ca9","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95"
"string","3e601959-5b07-49fc-bc30-8ae4a68c9a08","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_96"
"string","b473d63d-5ffa-4b35-9b26-eff4e2491c16","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_97"
"boolean","663cf6f6-0dd7-4bf3-b8d8-9591e187517f","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_98"
"string","8e4c2386-b927-4e4e-9b39-fefc20cddf35","Unit of Concentration","True","True","Unit of Concentration","BiomedicalConceptProperty_99"
"string","63b55fac-0929-490f-a1cb-2e1d3b29a339","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_100"
"decimal","13a561e3-62e3-484e-8643-6f6a4fa09589","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_101"
"boolean","7ac11966-44bb-4b93-a70b-a8cef5300743","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_102"
"string","ea822ace-c522-4a69-8b43-45255dc17c3c","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103"
"string","07409bc9-1c98-41f1-a515-4d885574314f","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_104"
"decimal","9671006d-3dd0-430f-808b-3c2d9530d3a6","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_105"
"boolean","4a9e3bcf-bdfb-4808-96a7-60984e6fb1f0","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106"
"string","69fcdf2b-c929-44b0-8459-103af4061999","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107"
"string","b2158aeb-0577-48c1-95ab-766051ae1dcc","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_108"
"string","520244f4-993e-4cee-93ce-852bf167f891","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_109"
"boolean","501ff199-c04b-4444-b687-802f14e03742","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110"
"string","9fbec7fc-a1ad-452c-96f3-9304e59cea43","Unit of Concentration","True","True","Unit of Concentration","BiomedicalConceptProperty_111"
"string","88257174-e958-44e3-aebe-1f058c368f79","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_112"
"decimal","735a57b4-157a-4f8b-a986-ac63e5ffaa75","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_113"
"boolean","2d7b2aeb-bfba-45d4-8036-da2b785d9b81","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114"
"string","9b383ede-0b6c-49e1-aba5-3f312b9651cc","Molarity Unit","True","True","Molarity Unit","BiomedicalConceptProperty_115"
"string","93c7fed6-67d6-4f72-8cce-bacb07850c2c","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_116"
"decimal","eca92ad0-28d5-4ae7-83cc-1d7f88a12f7c","Laboratory Test Result","True","True","Laboratory Test Result","BiomedicalConceptProperty_117"
"boolean","73225dd6-f023-438b-949e-278764319d33","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118"
"string","0c92da74-375d-4351-88c3-1171fcfc8747","Molarity Unit","True","True","Molarity Unit","BiomedicalConceptProperty_119"
"string","78715814-4e17-44b2-a470-8057c4f32024","Biospecimen Type","True","True","Biospecimen Type","BiomedicalConceptProperty_120"
"string","bd76f3cc-7888-4f0d-9204-49ffaf19fba7","Adverse Event Verbatim Description","True","True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1"
"string","7252b893-2de6-42b4-a85a-fed100767077","Adverse Event Dictionary Derived Term","True","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2"
"string","c6a69b66-2c49-40ae-a638-3ae17a0c3f5e","Adverse Event Category","True","True","Adverse Event Category","BiomedicalConceptProperty_3"
"string","3adfd4cc-6c23-48f9-a0a0-c4e5b5d68f38","Adverse Event Subcategory","True","True","Adverse Event Subcategory","BiomedicalConceptProperty_4"
