"isConditional","uuid:ID","description","label","isConditionalReason","name","id"
"False","35fac5f8-0858-41d3-a6e4-07a076f40d8d","","","","Informed consent","Activity_1"
"False","79cb002d-e314-4afc-bf53-89d6e6cdd057","","","","Inclusion/exclusion criteria","Activity_2"
"False","d8fa4b65-55ea-4381-8ae2-b163fa643ea5","","","","Patient number assigned","Activity_3"
"False","53195c3a-ab48-4439-88e5-ac7a59b1d023","","Demographics","","Demographics","Activity_4"
"False","f6dbb40b-fcd3-4ca6-9d77-b5a5b4d2b348","","Hachinski","","Hachinski","Activity_5"
"False","2996d7e6-39a8-465b-9f40-2b6d1dca9bfd","","MMSE","","MMSE","Activity_6"
"False","e261f48c-e22d-40ba-9019-42468fc90dd8","","","","Physical examination","Activity_7"
"False","8c827dda-a5b9-4b6e-bb7d-40f8299ee3d0","","","","Medical history","Activity_8"
"False","162e3189-0d4c-48a1-b5ef-7211bc3b3548","","","","Habits","Activity_9"
"False","3491d0fd-86e0-448d-976d-64979620debf","","","","Chest X-ray","Activity_10"
"False","c70d76b2-138e-4fbf-8b0a-fef04bd04d60","","","","Apo E genotyping","Activity_11"
"False","538f5b5b-5471-4bce-8b47-30b109a8c04b","","","","Patient randomised","Activity_12"
"False","23e43709-3987-4f5d-b4c7-880e7ea86b2a","","Vital Signs and Temperature","","Vital signs / Temperature","Activity_13"
"False","01eea8d3-2d75-4809-a01b-dd64f4e9d69c","","","","Ambulatory ECG placed","Activity_14"
"False","14b51a6f-42a2-4095-98a1-1f2bac5b138c","","","","Ambulatory ECG removed","Activity_15"
"False","2625dbd4-8183-41b0-8953-d8af2f8a554a","","","","ECG","Activity_16"
"False","01a36c6b-78ea-4d22-94d6-84e5d4c88f84","","","","Placebo TTS test","Activity_17"
"False","85ce24c2-1ded-4737-8bc7-5ada75c511da","","","","CT scan","Activity_18"
"False","96ee2945-b24e-4284-83cc-cdd39c3aa9c4","","","","Concomitant medications","Activity_19"
"False","1ad7460e-efbd-4506-a856-6aba72d5ac32","","","","Hematology","Activity_20"
"False","41a9967a-adc7-405b-92a3-67b45bb017ab","","","","Chemistry","Activity_21"
"False","e63e9dbe-9f99-4cbf-9dd5-234142c1c0ab","","","","Uninalysis","Activity_22"
"False","98e782d7-1f43-4c85-8a8b-d589d5800569","","","","Plasma Specimen (Xanomeline)","Activity_23"
"False","0fa2859e-b484-4577-92fe-7e5d53a482de","","","","Hemoglobin A1C","Activity_24"
"False","6f69b32f-6c09-4948-919e-d1c6b8eaa038","","Study drug record , Medications dispensed, Medications returned","","Study drug","Activity_25"
"False","8d8b2514-a3ff-4fdd-898f-a2af8d13a556","","","","TTS Acceptability Survey","Activity_26"
"False","2b122cc8-ddba-4647-87c5-5daa0784a078","","","","ADAS-Cog","Activity_27"
"False","be21d129-8e60-4156-b0b3-33b19f070078","","","","CIBIC+","Activity_28"
"False","7b74df49-78f4-4e57-9070-4891790d0267","","","","DAD","Activity_29"
"False","b2d19332-d87c-4659-8c0d-fc89319235df","","","","NPI-X","Activity_30"
"False","8e172f91-13f8-4325-845e-15cdb2a5750c","","","","Adverse events","Activity_31"
"False","5927fd3c-039d-45cf-a465-9ef35417c5b7","","","","Check adverse events","Activity_32"
"False","389d7643-5c22-412d-8c82-3fdd33d3c1e2","","Supine for 5 minutes","","Supine 5min","Activity_33"
"False","1534db9b-ed1e-4bab-9537-4b1839b8ff2d","","Blood pressure supine","","Blood Pressure Supine","Activity_34"
"False","3fea4638-11da-47e9-b13d-8a9b2273eb78","","Stand for 3 minutes","","Stand 3min","Activity_35"
"False","7122b9b5-28bd-4efc-bef2-b4154a91c5e3","","Blood pressure standing","","Bood Pressure Standing","Activity_36"
