"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Interventional Study","bbf6db33-fe1d-41aa-a8bc-97b422c5f56e","http://www.cdisc.org","Code","2023-12-15","C98388","Code_1"
"Phase II Trial","12e24040-4764-4978-965e-c9349a5cd0ad","http://www.cdisc.org","Code","2023-12-15","C15601","Code_2"
"Sponsor Approval Date","7446f5f2-b8ea-4117-802c-430fd59d36c2","http://www.cdisc.org","Code","2023-12-15","C132352","Code_9"
"Global","0edd15c1-f1c9-4e77-b5f6-06588bb3ea9e","http://www.cdisc.org","Code","2023-12-15","C68846","Code_10"
"IRB/IEC Feedback","eaff5065-d942-430a-b909-6d0195671609","http://www.cdisc.org","Code","2023-12-15","C99904x3","Code_72"
"Other","539f5fa5-050d-4640-ae2d-0d6ac52f1713","http://www.cdisc.org","Code","2023-12-15","C17649","Code_73"
"Region","0a3044e2-01cb-4314-becb-8ed4117163ba","http://www.cdisc.org","Code","2023-12-15","C41129","Code_75"
"Europe","096cb11d-9dbd-4086-86dc-a024693be7c1","ISO 3166 1 alpha3","Code","2020-08","150","Code_74"
"Eli Lilly","3e3b2bd9-f11a-4581-834e-d1c822b60e40","SPONSOR","Code","12","PHARMA","Code_4"
"Clinical Study Sponsor","a1fe9caa-35de-4df5-814c-dc5cdb4f802b","http://www.cdisc.org","Code","2023-12-15","C70793","Code_76"
"United States of America","447659c3-eb06-4910-b43e-0c2f9d8e6c09","ISO 3166 1 alpha3","Code","2020-08","USA","Code_77"
"Study Registry","e0777e61-2b1b-4be0-bf25-0458d28a78b2","http://www.cdisc.org","Code","2023-12-15","C93453","Code_78"
"United States of America","884275c4-383d-4b2a-952c-7eed73d5ee43","ISO 3166 1 alpha3","Code","2020-08","USA","Code_79"
"Treatment Study","58533980-5a7b-4163-a2d0-2f7b2459da98","http://www.cdisc.org","Code","2023-12-15","C49656","Code_137"
"Efficacy Study","15a8517b-8411-466f-8ef2-4d0fe0c3ff88","http://www.cdisc.org","Code","2023-12-15","C49666","Code_138"
"Safety Study","c25a22d2-62c3-480b-9c08-92ea38d34b66","http://www.cdisc.org","Code","2023-12-15","C49667","Code_139"
"Pharmacokinetic Study","f85df168-3296-4fc0-bec6-dcfe263f29df","http://www.cdisc.org","Code","2023-12-15","C49663","Code_140"
"Mild to Moderate Alzheimer's Disease","1b993953-27d8-420c-be09-b48411e264dc","SPONSOR","Code","12","MILD_MOD_ALZ","Code_134"
"Alzheimer's disease","e104316f-55fc-408b-a0a5-a7a4a20debf7","SNOMED","Code","January 31, 2018","26929004","Code_135"
"EXTENSION","28b3eced-a519-4924-b624-985e59a2e7b3","http://www.cdisc.org","Code","2023-12-15","C99907x1","Code_143"
"ADAPTIVE","1c6f99b4-2230-4c49-8ecc-48ed901cfe9c","http://www.cdisc.org","Code","2023-12-15","C98704","Code_144"
"Parallel Study","97e32dc1-d0c2-4de5-bc0f-d0e1a54243e2","http://www.cdisc.org","Code","2023-12-15","C82639","Code_141"
"Visit","b3d944d6-454e-4806-856b-95a5f9f13280","http://www.cdisc.org","Code","2023-12-15","C25716","Code_83"
"Clinic","f3749db1-1cef-4ff2-8753-27e16adb7bdb","http://www.cdisc.org","Code","2023-12-15","C51282","Code_84"
"In Person","1982ee87-9b86-4e7b-8901-3bad81d238f9","http://www.cdisc.org","Code","2023-12-15","C175574","Code_85"
"Visit","926eecef-653c-408f-853b-6a91220112db","http://www.cdisc.org","Code","2023-12-15","C25716","Code_86"
"Clinic","0c66e1cd-bab9-43c5-8190-b171f3d847de","http://www.cdisc.org","Code","2023-12-15","C51282","Code_87"
"In Person","94d74789-35ec-43b5-b067-48a11b58b13e","http://www.cdisc.org","Code","2023-12-15","C175574","Code_88"
"Visit","eca0f9ff-aa92-481f-be38-1715bb6ff398","http://www.cdisc.org","Code","2023-12-15","C25716","Code_89"
"Clinic","3959de85-3563-403f-84e7-628d79f63f04","http://www.cdisc.org","Code","2023-12-15","C51282","Code_90"
"In Person","54f803d3-c8c4-4c58-93f9-b66659e1ec1a","http://www.cdisc.org","Code","2023-12-15","C175574","Code_91"
"Visit","1e4c7fb9-21bc-467f-9dbc-d009023d9f03","http://www.cdisc.org","Code","2023-12-15","C25716","Code_92"
"Clinic","1cc7877d-5661-4f84-adc9-97c21477b162","http://www.cdisc.org","Code","2023-12-15","C51282","Code_93"
"In Person","f36a7b8c-8876-441f-9457-e5c1fb773f26","http://www.cdisc.org","Code","2023-12-15","C175574","Code_94"
