"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","8f4ed105-b4a8-4c0d-9bf8-e3b9192966e5","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","0d2a1ff3-ba79-4607-83ae-3fddb751cbac","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","0abdc239-1956-4fa7-a3ec-a1089428761e","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","3e343c7e-3da0-4308-9a8d-48bcb1d667d6","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","17fdeb7e-739d-4b34-a0d5-cb71d6036fe5","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","337cd8b1-c4f7-4214-a2e6-98f555c93e0f","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","5049cb7e-3665-40fd-831c-2d3b71528977","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","952ddec2-48d6-429f-b84d-6bf60dbcf8bd","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","04df8fa9-bab9-4b87-9fe0-eb7862f31314","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","26a2ca5e-5536-4426-94e4-0edd308f4d30","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","0bfa3bfa-0be4-4ea6-adcf-e76f22fb1edc","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","eaea58bf-37d0-4f5d-8fc1-1cdc759e679d","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","5d188153-f9f6-40c7-b579-8fdc3923b691","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","c6e263be-36a7-4738-89f8-495e43063f64","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","c02619a3-df0b-4357-bb78-fdd0d643bfd8","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","bef081bb-69a0-4cdb-936a-f10f81459615","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","61299807-564f-478a-bc11-9c64dcc58980","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","1603cafd-dd3b-4240-8b08-0c3a76b0d17c","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","a8b90c82-9ccd-4cc5-bd83-fc9c7ee735a3","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","776250e0-56a1-4dc7-ae20-fa5f37635ec3","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","9ca1b495-ec96-48d3-85e6-1dfaa202d454","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","70d4846f-be7b-4e99-b858-0568c1b4bf1b","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","f6d57605-15dd-4aeb-94d9-73e557dac7cd","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","c3fc3c1e-c92f-4e82-be95-3558e21b8fbb","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
