"name","uuid:ID","instanceType","description","label","id"
"SCREEN1","a3144302-1ec6-4edf-808d-ecd4345270d1","ScheduledActivityInstance","-","Screen One","ScheduledActivityInstance_9"
"SCREEN2","ce720790-ea6a-49a1-98b8-d36fa876825e","ScheduledActivityInstance","-","Screen Two","ScheduledActivityInstance_10"
"DOSE","76f04c77-455e-47c9-a284-9dbfcddbd134","ScheduledActivityInstance","-","Dose","ScheduledActivityInstance_11"
"WK2","f6a68167-829a-46e9-9416-5751ac6e673a","ScheduledActivityInstance","-","Week 2","ScheduledActivityInstance_12"
"WK4","75dbcabc-a433-4789-9546-7ad5edabbb0b","ScheduledActivityInstance","-","Week 4","ScheduledActivityInstance_13"
"WK6","601726c0-f886-41dd-9a2e-70e543354845","ScheduledActivityInstance","-","Week 6","ScheduledActivityInstance_14"
"WK8","3c5bcbd9-05e2-42bb-b20c-13813b85ec12","ScheduledActivityInstance","-","Week 8","ScheduledActivityInstance_15"
"WK8N","d6519098-0fdf-4fe6-99f4-440d692a5c7a","ScheduledActivityInstance","-","Week NPI","ScheduledActivityInstance_16"
"WK12","81f15717-5c0f-4541-851c-b0d7f883258a","ScheduledActivityInstance","-","Week 12","ScheduledActivityInstance_17"
"WK12N","95c55535-2ba7-42e4-bd66-936d429c8ab8","ScheduledActivityInstance","-","Week 12 NPI","ScheduledActivityInstance_18"
"WK16","138c28bb-47a1-42ae-9ad0-0bcf478c6bff","ScheduledActivityInstance","-","Week 16","ScheduledActivityInstance_19"
"WK16N","b00c67d7-325c-4590-9ba5-959282057ee5","ScheduledActivityInstance","-","Week 16 NPI","ScheduledActivityInstance_20"
"WK20","097e468e-e254-4a25-85af-7bd3abc439d4","ScheduledActivityInstance","-","Week 20","ScheduledActivityInstance_21"
"WK20N","be16448d-2320-4b60-8bcf-23fce1f0d533","ScheduledActivityInstance","-","Week 20 NPI","ScheduledActivityInstance_22"
"WK24","97930ad5-af56-4468-bc6c-bf044c4886aa","ScheduledActivityInstance","-","Week 24","ScheduledActivityInstance_23"
"WK26","2626a0f7-898c-4f7a-a8c3-eb648388d5da","ScheduledActivityInstance","-","Week 26","ScheduledActivityInstance_24"
"AE","3ba4c69c-17fb-4cf5-95e7-f189d377940d","ScheduledActivityInstance","-","Adevers Event","ScheduledActivityInstance_1"
"ET","e60bf3a8-3bc4-44b2-9a69-ff09db18ee7d","ScheduledActivityInstance","-","Early Termination","ScheduledActivityInstance_2"
"VS_5MIN","dfe4e8d0-180a-4b80-9ebe-272825c1f695","ScheduledActivityInstance","","5 minute supine","ScheduledActivityInstance_3"
"VS_SUPINE","41604c23-189f-4cb6-94bc-69e09b8622ba","ScheduledActivityInstance","","Vital signs supine","ScheduledActivityInstance_4"
"VS_1MIN","05cdafcd-4bc2-4482-93db-94e8fd8cd0ca","ScheduledActivityInstance","","1 minute standing","ScheduledActivityInstance_5"
"VS_STAND1","3e0555ef-868e-4de4-8be9-a83dad8e818b","ScheduledActivityInstance","","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"VS_2MIN","f84a75f6-9de2-48c6-afb2-7da2853bf28f","ScheduledActivityInstance","","2 minute standing","ScheduledActivityInstance_7"
"VS_STAND3","e53249f3-2537-457f-a338-23da0bee9185","ScheduledActivityInstance","","Vital signs after 3 min standing","ScheduledActivityInstance_8"
