"name","uuid:ID","instanceType","description","label","id"
"Informed consent","e6e67a80-5487-47f8-8f8f-645c152f968e","Activity","","Informed consent","Activity_1"
"Inclusion/exclusion criteria","22f2fcea-6678-4d73-b0b7-9afe2fc49861","Activity","","Inclusion and exclusion criteria","Activity_2"
"Patient number assigned","849a46c2-41bc-4ab4-ac0b-fe15510df44e","Activity","","Patient number assigned","Activity_3"
"Demographics","e5a89dbe-43ca-4edb-a2a0-a06e0432c390","Activity","","Demographics","Activity_4"
"Hachinski","fd3da055-c7f1-4c1f-b8db-35f848dc55c2","Activity","","Hachinski Ischemic Scale","Activity_5"
"MMSE","71a0ce56-faab-405f-a943-30d9aa90687c","Activity","","MMSE","Activity_6"
"Physical examination","dd460896-0dcc-413c-a5b1-7911aba9079f","Activity","","Physical examination","Activity_7"
"Medical history","84b13e99-71a7-41fe-8f8b-0c67f71d91a1","Activity","","Medical history","Activity_8"
"Habits","74c1da78-dc2d-4920-a85b-63c772df9433","Activity","","Habits","Activity_9"
"Chest X-ray","de20c5b4-ef8e-4389-b1f8-871dc1c30dcb","Activity","","Chest X-ray","Activity_10"
"Apo E genotyping","a5ec7b45-2d61-4c10-bbe3-fe8a449410d9","Activity","","Apo E genotyping","Activity_11"
"Patient randomised","0ca417af-29c4-459d-a430-7bb6a2e00437","Activity","","Patient randomised","Activity_12"
"Vital signs / Temperature","85e4a1c6-a337-4d5f-a67b-cd102016035d","Activity","","Vital Signs and Temperature","Activity_13"
"Ambulatory ECG placed","85e1dbe7-d1bf-4983-884f-644db010542d","Activity","","Ambulatory ECG placed","Activity_14"
"Ambulatory ECG removed","77fc7f5f-2b36-41e4-ac1a-37e528d59257","Activity","","Ambulatory ECG removed","Activity_15"
"ECG","eab097f3-2362-4415-9072-7c5b7e8f18f2","Activity","","ECG","Activity_16"
"Placebo TTS test","dbdfa2a5-beea-4319-aaf3-6447ec21146b","Activity","","Placebo TTS test","Activity_17"
"CT scan","0d35f3b9-55bc-4454-af59-1e236eef2ffb","Activity","","CT scan","Activity_18"
"Concomitant medications","b5ad251b-d4c2-4d0b-a645-87c090f18558","Activity","","Concomitant medications","Activity_19"
"Hematology","8c422d43-3880-4c6d-8fab-06598cc3d6ae","Activity","","Hematology","Activity_20"
"Chemistry","93538668-f6f3-4f8c-8bd0-9cf5a1f1f29f","Activity","","Chemistry","Activity_21"
"Uninalysis","250c986e-b93f-42fe-8d0a-23dd70d5fa46","Activity","","Uninalysis","Activity_22"
"Plasma Specimen (Xanomeline)","144bf5e0-0c35-4b56-bed0-bd36de50344b","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"Hemoglobin A1C","826f2932-92b2-4ec9-b99b-504c4b7020f1","Activity","","Hemoglobin A1C","Activity_24"
"Study drug","f0065a6c-3fb7-4ffd-b2dd-c7a82965f15f","Activity","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"TTS Acceptability Survey","edc7499e-1dc9-4e1a-a241-b4da76d68713","Activity","","TTS Acceptability Survey","Activity_26"
"ADAS-Cog","7fab1d4e-bab3-496c-a04b-4de3609a1042","Activity","","ADAS-Cog","Activity_27"
"CIBIC+","8579b937-89b5-4412-8422-ebfd0f429b12","Activity","","CIBIC+","Activity_28"
"DAD","c1749e99-4fec-45fa-acc1-e1ed2ac7a2b6","Activity","","DAD","Activity_29"
"NPI-X","09bdb1bd-cb8f-46d5-a731-fdda52cef315","Activity","","NPI-X","Activity_30"
"Adverse events","6d75c949-c9bc-4e8a-8a65-94509573fc4b","Activity","","Adverse events","Activity_31"
"Check adverse events","98e3fbda-9db9-4cf3-b31a-85e87f41d349","Activity","","Check adverse events","Activity_32"
"Supine","dd6d89c8-cdd5-404d-b752-ae6913e3e779","Activity","","Subject supine","Activity_33"
"Vital Signs Supine","878973bd-1d2d-439f-ab0f-deea1111ff2c","Activity","","Vital signs while supine","Activity_34"
"Stand","30e7001a-6686-4450-8744-c9d89caf56f8","Activity","","Subject Standing","Activity_35"
"Vital Signs Standing","d2ad7b91-7321-46ec-83d3-1c8e9074f42f","Activity","","Vital signs while standing","Activity_36"
