"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","97ee6ff0-b0b1-431d-9cab-98d953345348","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","3aae3077-7bac-4c34-a27e-531cbccbb27c","Endpoint","","","Endpoint_2"
"","END3","Adverse events","4670e4d8-03dc-4417-bd00-2d6d537a26e9","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","830b59c1-2665-4750-b4f3-60522662a4b2","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","ad3becfa-6d51-4b5e-beb0-a1fa2f02fe56","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","c58572b7-6b9b-43e8-9941-d6260348f27f","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","fdb2f549-4c61-4178-ac21-b063e08ea51c","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","19d65cce-67b7-4e14-8b40-600e1278addf","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","652f25cf-19b7-4bec-9c85-c5b29da1c141","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","b4a15894-dfe3-4c29-bc8b-a7eb37660080","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","29c3166d-7b23-4f8d-84fa-75693103fb94","Endpoint","","","Endpoint_11"
