"instanceType","name","uuid:ID","sectionNumber","sectionTitle","text","id"
"NarrativeContent","ROOT","7e05c601-0434-470b-b2ba-a1ef50ddd847","0","Root","","NarrativeContent_1"
"NarrativeContent","SECTION 0","6d8392b4-5f8e-47ed-9b46-ae896b6b77ae","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2"
"NarrativeContent","SECTION 1","c309bbc3-0a8b-45c6-84a7-a7110890dcc3","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3"
"NarrativeContent","SECTION 1.1","bf17e4bd-46ae-433e-975c-7efcf1a2ad96","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4"
"NarrativeContent","SECTION 1.2","6578ea2e-94e3-44c7-9d86-276864a55797","1.2","Trial Schema","<div></div>","NarrativeContent_5"
"NarrativeContent","SECTION 1.3","812ecd0e-f775-44ee-a59c-be180c4bcd63","1.3","Schedule of Activities","<div></div>","NarrativeContent_6"
"NarrativeContent","SECTION 2","b9f53a0e-de8c-4a7f-93ca-082366b9d57e","2","INTRODUCTION","<div></div>","NarrativeContent_7"
"NarrativeContent","SECTION 2.1","1a75a278-d224-4005-a5c5-ab39f8e448cd","2.1","Purpose of Trial","<div></div>","NarrativeContent_8"
"NarrativeContent","SECTION 2.2","61d8b720-f8a7-41c0-baf8-a6e6988552d7","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9"
"NarrativeContent","SECTION 3","9cbec81a-b76b-461c-a593-a3ef6d447bfe","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10"
"NarrativeContent","SECTION 3.1","27ed3046-81fc-453f-9d29-4dd385e9d470","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11"
"NarrativeContent","SECTION 4","b98053b9-6cfe-42a4-8b77-7e1188569dd1","4","TRIAL DESIGN","<div></div>","NarrativeContent_12"
"NarrativeContent","SECTION 4.1","884ef084-fbaa-4f1a-9136-aa6de3c3c737","4.1","Description of Trial Design","<div></div>","NarrativeContent_13"
"NarrativeContent","SECTION 4.1.1","bd8916ed-e4d1-4cf9-b96a-81cb263b51dc","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14"
