"instanceType","name","reference","uuid:ID","synonyms","id","label"
"BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","efeb47ec-fe04-4c8d-8994-df7a0be4a433","['Temperature']","BiomedicalConcept_20","Body Temperature"
"BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","2ef9d04e-e415-4105-ab08-47d41199b3f5","['Weight']","BiomedicalConcept_21","Body Weight"
"BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","6494875a-7923-447e-829e-980eecf69da7","['Height']","BiomedicalConcept_22","Body Height"
"BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","3656c66e-2f2f-4983-8a4e-4b43ddcb47dc","['ALT', 'SGPT']","BiomedicalConcept_23","Alanine Aminotransferase Measurement"
"BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","03eacf7e-d5bc-4208-abee-9b28720dea98","['Albumin']","BiomedicalConcept_24","Albumin Measurement"
"BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","eb543737-a62d-4497-b1f4-f2ba9210479f","['Alkaline Phosphatase']","BiomedicalConcept_25","Alkaline Phosphatase Measurement"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","08ca82a8-040d-404b-967b-db0eb2d67432","['AST', 'SGOT']","BiomedicalConcept_26","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","a526b95a-6d4f-414b-a628-88424f955f70","['Creatinine']","BiomedicalConcept_27","Creatinine Measurement"
"BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","4e7d8c58-62a7-46c3-a415-13fa74bc75c0","['Potassium', 'K']","BiomedicalConcept_28","Potassium Measurement"
"BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","79d6422c-fd33-4f0d-a086-4fa3e0feb7e7","['Sodium', 'NA']","BiomedicalConcept_29","Sodium Measurement"
"BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","3f9c9cf1-08d8-4ecd-b41c-9617628408df","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","Adverse Event"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","33ced544-bb7d-46e9-bddc-ecb17e928d46","['SYSBP']","BiomedicalConcept_2","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","b2dc2e92-49f9-4dc8-b7c5-662c6ddb6d69","['DIABP']","BiomedicalConcept_3","Diastolic Blood Pressure"
"BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","d3011eae-6f76-42f2-a1d8-d5bd191b4c5c","['Temperature']","BiomedicalConcept_4","Body Temperature"
"BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","777c87a7-92bc-47be-93df-0511c3f64a90","['Weight']","BiomedicalConcept_5","Body Weight"
"BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","2700b6ee-19bd-4857-b67c-cc56e6111056","['Height']","BiomedicalConcept_6","Body Height"
"BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","86cec7d8-21f4-4dac-9337-def4d27dfb70","['ALT', 'SGPT']","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
