"datatype","name","instanceType","uuid:ID","isRequired","isEnabled","id","label"
"decimal","Vital Signs Result","BiomedicalConceptProperty","caf25544-92e1-4013-b057-03a38df7476a","True","True","BiomedicalConceptProperty_98","Vital Signs Result"
"string","Unit of Temperature","BiomedicalConceptProperty","914824e3-ee75-42b3-b75d-2428c0409d3d","True","True","BiomedicalConceptProperty_99","Unit of Temperature"
"string","Vital Signs Location","BiomedicalConceptProperty","db24316c-2360-49fb-b157-febbb8395e9f","True","True","BiomedicalConceptProperty_100","Vital Signs Location"
"decimal","Vital Signs Result","BiomedicalConceptProperty","a1ae871d-5a38-4ffc-827d-b8d6472b15d0","True","True","BiomedicalConceptProperty_101","Vital Signs Result"
"string","Unit of Weight","BiomedicalConceptProperty","4a4298a0-2c63-4695-8278-8d2752898b44","True","True","BiomedicalConceptProperty_102","Unit of Weight"
"decimal","Vital Signs Result","BiomedicalConceptProperty","5161e699-415a-4bc0-a396-b702f3ecf71f","True","True","BiomedicalConceptProperty_103","Vital Signs Result"
"string","Unit of Height","BiomedicalConceptProperty","869ece9e-fd32-416a-bfdb-d3850c8231fb","True","True","BiomedicalConceptProperty_104","Unit of Height"
"decimal","Laboratory Test Result","BiomedicalConceptProperty","e2d4dc3e-89fe-4799-98b3-dfdbe126441f","True","True","BiomedicalConceptProperty_105","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","4ea2529f-a241-41ec-938d-fb5cc44742b7","True","True","BiomedicalConceptProperty_106","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","cd0d5225-b63d-404a-8896-7fcbf052826a","True","True","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","cd90139a-c942-43df-98ab-459b671fe623","True","True","BiomedicalConceptProperty_108","Biospecimen Type"
"string","Laboratory Test Result","BiomedicalConceptProperty","ac0912ef-b833-4642-aec9-6ec3f3e09ac8","True","True","BiomedicalConceptProperty_109","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty","a648a21e-43e9-43bd-bf4f-298620e3d117","True","True","BiomedicalConceptProperty_110","Laboratory Test Fasting Status"
"string","Unit of Concentration","BiomedicalConceptProperty","93a68d52-c389-422c-b60d-91eb440bc06c","True","True","BiomedicalConceptProperty_111","Unit of Concentration"
"string","Biospecimen Type","BiomedicalConceptProperty","e4bd497f-c2b1-4639-8045-9e3daf50654e","True","True","BiomedicalConceptProperty_112","Biospecimen Type"
