"instanceType","name","uuid:ID","id","description","label"
"Encounter","E1","b58e17dc-f7a5-4353-a42e-2c5dbc47b3c7","Encounter_1","Screening encounter","Screening 1"
"Encounter","E2","b9769284-949a-4532-874d-a5a10e53ede5","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"Encounter","E3","30bd080e-e4e4-4eba-b225-f80f9dcc3c43","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"Encounter","E4","79abd9b8-05f6-4787-bc1c-33d3dad1f0d5","Encounter_4","Day 14","Week 2"
"Encounter","E5","faad22f6-66a4-4812-81aa-4533266a2c06","Encounter_5","Day 28","Week 4"
"Encounter","E7","2bea0b31-3b57-4505-b934-b2f8b89a1447","Encounter_6","Day 42","Week 6"
"Encounter","E8","1f86a2b5-1c26-4c8b-90a0-e930db917943","Encounter_7","Day 56","Week 8"
"Encounter","E9","802f929d-0277-4e7d-91ab-d72f3599fa7f","Encounter_8","Day 84","Week 12"
"Encounter","E10","2bad8e7d-4003-4263-b9c8-1e7c81f07115","Encounter_9","Day 112","Week 16"
"Encounter","E11","bd3d0e55-534d-492f-9b2a-1928bb0cb1cb","Encounter_10","Day 140","Week 20"
"Encounter","E12","381a9d7f-91c8-4739-974e-466e212c91c8","Encounter_11","Day 168","Week 24"
"Encounter","E13","2e7b3324-9045-4c72-b6cc-639a49c41e10","Encounter_12","Day 182","Week 26"
