"instanceType","uuid:ID","codeSystemVersion","code","codeSystem","decode","id"
"Code","183330ef-d683-426f-ba8c-358b3f18cefd","2023-09-29","C98388","http://www.cdisc.org","Interventional Study","Code_1"
"Code","cedbe520-f732-4a14-a30c-383a5c626386","2023-09-29","C15601","http://www.cdisc.org","Phase II Trial","Code_2"
"Code","e1453ccf-e93e-4cc9-8b92-8dc925977fcf","2023-09-29","C132352","http://www.cdisc.org","Sponsor Approval Date","Code_9"
"Code","736c2e96-b077-4fc2-a8ab-f74dfbc5afb7","2023-09-29","C68846","http://www.cdisc.org","Global","Code_10"
"Code","cd36c1d9-a0ab-4c85-93e8-128af00e8894","2023-09-29","C99904x3","http://www.cdisc.org","IRB/IEC Feedback","Code_72"
"Code","e32b6316-b900-4a6a-b0cc-110d9c05f5e3","2023-09-29","C17649","http://www.cdisc.org","Other","Code_73"
"Code","537ea59f-7211-4d11-be7f-83ec6ed745bd","2023-09-29","C41129","http://www.cdisc.org","Region","Code_75"
"Code","5eafd63f-2cc7-4aad-8a65-9275baed1e45","2020-08","150","ISO 3166 1 alpha3","Europe","Code_74"
"Code","d3dcfefe-23e3-4929-8a5f-fbac8c02d43e","12","PHARMA","SPONSOR","Eli Lilly","Code_4"
"Code","1bf1c091-9fa3-422e-8cad-fa8e5d1ab61a","2023-09-29","C70793","http://www.cdisc.org","Clinical Study Sponsor","Code_76"
"Code","cc21115d-e2b4-4c6d-bf54-963d220b1329","2020-08","DNK","ISO 3166 1 alpha3","Denmark","Code_77"
"Code","4ba70b56-09e0-428d-b7d2-3616ead74c2c","2023-09-29","C93453","http://www.cdisc.org","Study Registry","Code_78"
"Code","1c662a1b-a621-46bc-a263-40afe24e04ed","2023-09-29","C49656","http://www.cdisc.org","Treatment Study","Code_136"
"Code","f5a1d419-53e4-4ef6-80a8-090d544ebcd2","2023-09-29","C49666","http://www.cdisc.org","Efficacy Study","Code_137"
"Code","a490fa09-37cb-438d-9bd8-9cd391667d86","2023-09-29","C49667","http://www.cdisc.org","Safety Study","Code_138"
"Code","40ae7ff9-2f20-4bd3-aa8f-f474c26b7950","2023-09-29","C49663","http://www.cdisc.org","Pharmacokinetic Study","Code_139"
"Code","22333687-9415-4017-848d-f2d5a70a49af","12","MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer's Disease","Code_133"
"Code","41b69f38-6693-43ba-b193-b2991f0629fa","January 31, 2018","26929004","SNOMED","Alzheimer's disease","Code_134"
"Code","4b316979-1c85-48a9-8b5d-c9867c948938","2023-09-29","C99907x1","http://www.cdisc.org","EXTENSION","Code_142"
"Code","4f6b8022-f7a6-45b8-88b1-82a8b676f5a9","2023-09-29","C98704","http://www.cdisc.org","ADAPTIVE","Code_143"
"Code","20c107d4-41a1-4514-aaaf-491f4e332e1d","2023-09-29","C82639","http://www.cdisc.org","Parallel Study","Code_140"
"Code","fbc7fd5c-399c-4e6e-b79e-d1df76dd80c3","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_82"
"Code","22a5a8f7-af60-4714-a416-a4090238a53b","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_83"
"Code","4c01962b-0737-4afc-b689-6a5733bcd73d","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_84"
"Code","50c5962d-a26b-4557-b627-1b75f8c2b7d6","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_85"
"Code","41b41d25-88c5-4e3e-8c8c-7ad93834b888","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_86"
"Code","7a548fc5-4f6f-4033-a23f-0f54701ebef9","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_87"
"Code","f3f502e0-c7bf-4668-b07b-6f3419eb6853","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_88"
"Code","0057f9f6-62f6-4aeb-a225-7aede0c090df","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_89"
"Code","7594febb-3518-4058-83f9-260643a7f106","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_90"
"Code","679aeb02-f544-4d53-9edf-5d593bb3baf7","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_91"
"Code","37654526-3c2b-4a5b-b878-f593d1501b91","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_92"
"Code","d75664e7-1c3e-4140-8007-c55718d114fd","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_93"
"Code","c24b362c-ce7f-4725-85bb-def2d02740de","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_94"
"Code","a1397445-dcc2-469e-bf8c-ad24249665ae","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_95"
"Code","2f66a049-f8f1-48aa-a980-0edcb84ef3fa","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_96"
"Code","7fc63460-a2cd-46cd-924f-aefa714f8efd","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_97"
"Code","6645a34f-3446-4d93-bdfa-ab92b1462a0f","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_98"
"Code","512d1b94-8859-4714-aeeb-2324d3dbc6c8","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_99"
"Code","560ee7b5-abb8-4209-909c-c5311687dc37","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_100"
"Code","1951fa9c-56b8-4e12-ab5f-9de6bb7d2b91","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_101"
"Code","fbf3ca2c-b82d-4efa-8db1-7ee28a80be6e","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_102"
"Code","b60fab62-66e4-4da4-90f1-424def9c8ba1","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_103"
"Code","7613debc-261a-4590-a8ee-2693a44640ed","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_104"
"Code","2c192322-0e9a-4473-aefe-e24597d2ba7d","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_105"
"Code","f3383696-715b-4d5c-b93e-985aa08cad25","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_106"
"Code","b9203ee6-eca1-416a-8de9-23a3400965e1","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_107"
"Code","ecef3119-5fc0-43fa-811d-ecb470fe13c4","2023-09-29","C25716","http://www.cdisc.org","Visit","Code_108"
"Code","056d59e0-1d9c-4957-b95b-06fcced1d33b","2023-09-29","C51282","http://www.cdisc.org","Clinic","Code_109"
"Code","2a5c4ab1-62c7-42dd-88b0-95ab1b8bafd0","2023-09-29","C175574","http://www.cdisc.org","In Person","Code_110"
"Code","3daa0768-311c-4b12-acc0-933cb4f0f03b","2023-09-29","C171537","http://www.cdisc.org","Telephone Call","Code_111"
