"instanceType","name","uuid:ID","text","id"
"TransitionRule","ENCOUNTER_START_RULE_1","049fa3e0-495c-4cf2-90d9-7db79f11bbde","Subject identifier","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","6ba22d60-b758-450f-8501-1e4127c64073","completion of screening activities","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","adcde18c-5f18-45a0-80bc-09651f081bbe","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","dd60d3cf-e159-4635-b891-b48e1d2a1cf3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","bf40c57d-f1d7-4eb9-91be-b326e21df7ba","Radomized","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","ea04cf13-51f0-4b40-a641-8c563627bbaf","End of treatment","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","a780407e-962d-4cdd-a128-6fd0d423c925","Informed consent","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","5040e13f-7e23-40bf-9d38-f8a863cfab85","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","7a80796d-8180-4330-b9bb-0990826e4299","Administration of first dose","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","7f1c3067-13b0-4ed5-9ae8-d85cb226aeac","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","08b53b15-b4f1-477d-8b25-e2fb4d9bbc79","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","138c2cc2-384f-4803-a205-2a83899585f8","Administration of first dose","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","5c6ba276-0d6e-49a1-b91c-14c5c33cb17c","Randomized","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","b28d90da-8624-4b29-b6c9-026127f83639","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","090ffdf6-836c-43aa-b7b5-043dc833c743","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
