"instanceType","name","window","uuid:ID","windowLower","id","description","label","value","windowUpper"
"Timing","TIM1","","326a35a4-3c6f-4fc0-a849-dc00045e56b4","","Timing_1","Screening timing","Screening","P2W",""
"Timing","TIM2","-4..0 hours","83f366a0-103a-4e69-bb15-66efd6319eee","PT4H","Timing_2","Pre dose timing","Pre dose","P2D","PT0H"
"Timing","TIM3","","4a73ae44-14d8-46a2-9f2a-b53dd2148b42","","Timing_3","Dosing anchor","Dosing","P1D",""
"Timing","TIM4","-3..3 days","4c514c7c-5812-424f-8656-7130d0ca7a84","P3D","Timing_4","Week 2 timing","Week 2","P2W","P3D"
"Timing","TIM5","-3..3 days","5e39aee0-dce4-4f36-8ca6-8b021900ed4e","P3D","Timing_5","Week 4 timing","Week 4","P4W","P3D"
"Timing","TIM6","-3..3 days","a77e67ca-a205-4fe0-9902-3a9e90aa17a2","P3D","Timing_6","Week 6 timing","Week 6","P6W","P3D"
"Timing","TIM7","-3..3 days","e3c24a84-1e34-45b2-94f5-a5384250fed8","P3D","Timing_7","Week 8 timing","Week 8","P8W","P3D"
"Timing","TIM9","-4..4 days","8fecebd8-9db6-4e40-bd47-e3338cd466d6","P4D","Timing_9","Week 12 timing","Week 12","P12W","P4D"
"Timing","TIM11","-4..4 days","a504976a-c1ae-40d9-b1aa-c39ab1306947","P4D","Timing_11","Week 16 timing","Week 16","P16W","P4D"
"Timing","TIM13","-4..4 days","6e50263f-9253-4939-bb0e-90f95f826129","P4D","Timing_13","Week 20 timing","Week 20","P20W","P4D"
"Timing","TIM15","-4..4 days","32519321-2909-409e-9310-e7f5415c58ce","P4D","Timing_15","Week 24 timing","Week 24","P24W","P4D"
"Timing","TIM16","-3..3 days","ecc94c56-85b5-4404-b0e1-33ff39609772","P3D","Timing_16","Week 26 timing","Week 26","P26W","P3D"
"Timing","TIM8","","133ba9b6-47d7-4dc0-93ae-cb13ed234a5b","","Timing_8","Week 8 at home timing","Week 8 Home","P2W",""
"Timing","TIM10","","109b818b-74f2-4e0c-a774-f1d5a58151d8","","Timing_10","Week 12 at home timing","Week 12 Home","P2W",""
"Timing","TIM12","","cfe13bc1-b7cb-4da4-997c-4b69f7c7036f","","Timing_12","Week 16 at home timing","Week 16 Home","P2W",""
"Timing","TIM14","","61f0531f-dc3e-446f-8fff-71a861e684b1","","Timing_14","Week 20 at home timing","Week 20 Home","P2W",""
"Timing","TIM17","","0e6772b6-ce16-4b77-bed6-6b2b465767a9","","Timing_17","Adverse Event","Adverse Event","P1D",""
"Timing","TIM18","","f2b0bece-6e28-4526-abc2-ee9084fd8a2b","","Timing_18","Early Termination","Early Termination","P1D",""
"Timing","TIM19","","97cfc12c-f9b2-4725-9d42-429b5664f1a0","","Timing_19","Supine","Supine","PT0M",""
"Timing","TIM20","","9c9064fe-6062-43f0-b47d-450df00005d5","","Timing_20","VS while supine","VS while supine","PT5M",""
"Timing","TIM21","","2309cc47-b20c-41b1-a08c-754134b93d15","","Timing_21","Standing","Standing","PT0M",""
"Timing","TIM22","","5bd9a4d0-bd7c-4f50-912a-3233172dbdca","","Timing_22","VS while standing","VS while standing","PT1M",""
"Timing","TIM23","","f62208b7-f39f-4387-abe6-8bd3a02ab2f2","","Timing_23","Standing","Standing","PT0M",""
"Timing","TIM24","","55da3aac-a638-448a-8854-a732ef1a7d38","","Timing_24","VS while standing","VS while standing","PT2M",""
