"instanceType","codeSystem","code","decode","uuid:ID","codeSystemVersion","id"
"Code","http://www.cdisc.org","C98388","Interventional Study","4025614b-66f5-4343-b965-7c099ef5085d","2023-12-15","Code_1"
"Code","http://www.cdisc.org","C15601","Phase II Trial","7a674ff3-97a3-42e8-bb82-e8726d3a6270","2023-12-15","Code_2"
"Code","http://www.cdisc.org","C132352","Sponsor Approval Date","bc7683ef-3040-4668-8fac-3516b48f51f4","2023-12-15","Code_9"
"Code","http://www.cdisc.org","C68846","Global","d4708099-572c-4f9b-a397-1f35629db92e","2023-12-15","Code_10"
"Code","http://www.cdisc.org","C99904x3","IRB/IEC Feedback","569e6291-1974-492e-8b7d-2379c0e71753","2023-12-15","Code_72"
"Code","http://www.cdisc.org","C17649","Other","538498a7-5f39-4b96-a542-cc34383f8342","2023-12-15","Code_73"
"Code","http://www.cdisc.org","C41129","Region","64bdb1cd-d40a-4306-b130-3d415d3ccaff","2023-12-15","Code_75"
"Code","ISO 3166 1 alpha3","150","Europe","e8cd1801-cc58-4b2d-bd1b-9ddb6c9ae94b","2020-08","Code_74"
"Code","SPONSOR","PHARMA","Eli Lilly","79c6b9c8-e535-4820-8301-e34b82f60c44","12","Code_4"
"Code","http://www.cdisc.org","C70793","Clinical Study Sponsor","08aa8182-6100-4ac6-b480-0fc41d18efec","2023-12-15","Code_76"
"Code","ISO 3166 1 alpha3","USA","United States of America","94d576c9-5824-44ca-91e6-2118879cc5c2","2020-08","Code_77"
"Code","http://www.cdisc.org","C93453","Study Registry","2fdc3fa4-ca32-41fe-9e47-ac58f843ab39","2023-12-15","Code_78"
"Code","ISO 3166 1 alpha3","USA","United States of America","a737698e-305b-449a-8d1c-cdca9574b86b","2020-08","Code_79"
"Code","http://www.cdisc.org","C49656","Treatment Study","da6e5755-4caf-42bc-93cc-7ed7a05baf8b","2023-12-15","Code_137"
"Code","http://www.cdisc.org","C49666","Efficacy Study","24dbacd6-2ac6-4a54-b703-ee3c321c6d0d","2023-12-15","Code_138"
"Code","http://www.cdisc.org","C49667","Safety Study","f1454ca3-c307-4963-8f23-16289c6fbfa3","2023-12-15","Code_139"
"Code","http://www.cdisc.org","C49663","Pharmacokinetic Study","89a6f0af-9c63-46ec-9489-67572a24c1f1","2023-12-15","Code_140"
"Code","SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","69e7555c-942a-47b4-b610-3eb3bb3d5dd4","12","Code_134"
"Code","SNOMED","26929004","Alzheimer's disease","0f69b2c5-5687-4b37-b210-2607b4f33793","January 31, 2018","Code_135"
"Code","http://www.cdisc.org","C99907x1","EXTENSION","2de10f41-8b58-4935-95e0-e716a01311e4","2023-12-15","Code_143"
"Code","http://www.cdisc.org","C98704","ADAPTIVE","5e1c2302-bc25-4e81-ae39-173a48d1c35d","2023-12-15","Code_144"
"Code","http://www.cdisc.org","C82639","Parallel Study","77ea7eb8-24b5-401d-a6c2-41ffdd9baabc","2023-12-15","Code_141"
"Code","http://www.cdisc.org","C25716","Visit","c87eb31d-42f1-4ac3-8b03-89175e081262","2023-12-15","Code_83"
"Code","http://www.cdisc.org","C51282","Clinic","02bc120b-4c3e-49dc-ab53-ea0214ca9a61","2023-12-15","Code_84"
"Code","http://www.cdisc.org","C175574","In Person","740dede9-bc58-47fd-ad5b-cd158136ca8c","2023-12-15","Code_85"
"Code","http://www.cdisc.org","C25716","Visit","c6b60856-7a7b-44c3-971b-4239cea58177","2023-12-15","Code_86"
"Code","http://www.cdisc.org","C51282","Clinic","e1099764-8f3e-4103-8ca2-fbbb75dfd4a1","2023-12-15","Code_87"
"Code","http://www.cdisc.org","C175574","In Person","e4414329-cda1-4b51-8303-b99fe2d9c7ed","2023-12-15","Code_88"
"Code","http://www.cdisc.org","C25716","Visit","b4b74673-387b-4dca-af73-fd426a863ae8","2023-12-15","Code_89"
"Code","http://www.cdisc.org","C51282","Clinic","5f93d573-7910-4e03-ab0a-72140dc295cd","2023-12-15","Code_90"
"Code","http://www.cdisc.org","C175574","In Person","180bb244-4bb1-4e56-bd69-b31b5a22e843","2023-12-15","Code_91"
"Code","http://www.cdisc.org","C25716","Visit","a96d9106-fdfd-42f7-999a-d076d69dbaa2","2023-12-15","Code_92"
"Code","http://www.cdisc.org","C51282","Clinic","376f59bf-6609-4b3f-b828-19767a93098b","2023-12-15","Code_93"
"Code","http://www.cdisc.org","C175574","In Person","ef92cf50-6c43-4036-add9-862f4c37ceea","2023-12-15","Code_94"
"Code","http://www.cdisc.org","C25716","Visit","4e7139f4-f7bc-4076-bfc1-a65ee9939f6b","2023-12-15","Code_95"
"Code","http://www.cdisc.org","C51282","Clinic","f4889f70-fed5-486e-9faa-bb4c6945ede4","2023-12-15","Code_96"
"Code","http://www.cdisc.org","C175574","In Person","ae1576ce-56e0-4777-a21c-0dd8abe2fe42","2023-12-15","Code_97"
"Code","http://www.cdisc.org","C25716","Visit","304a0946-6f4b-4c6f-a61a-6e30665ce715","2023-12-15","Code_98"
"Code","http://www.cdisc.org","C51282","Clinic","945e53ce-2d53-40bc-b453-46eac520b241","2023-12-15","Code_99"
"Code","http://www.cdisc.org","C175574","In Person","f193a73b-d468-45c0-ae59-8bce3249826e","2023-12-15","Code_100"
"Code","http://www.cdisc.org","C25716","Visit","ebf864ac-209b-4848-a577-10321c04402c","2023-12-15","Code_101"
"Code","http://www.cdisc.org","C51282","Clinic","f68cb8f4-19c4-4e4b-84b2-c599610b876b","2023-12-15","Code_102"
"Code","http://www.cdisc.org","C175574","In Person","cbcfb707-c6f9-4384-bbb9-4e1e466f93c6","2023-12-15","Code_103"
"Code","http://www.cdisc.org","C171537","Telephone Call","43aca0e8-14a1-4052-83f6-02cd31cef693","2023-12-15","Code_104"
"Code","http://www.cdisc.org","C25716","Visit","ed45a604-0ecf-4d13-a342-2c84ed85194f","2023-12-15","Code_105"
"Code","http://www.cdisc.org","C51282","Clinic","e0f6e3bf-481c-4a16-ad75-0719cde35790","2023-12-15","Code_106"
"Code","http://www.cdisc.org","C175574","In Person","7a6fd771-026f-4314-a391-68945daa245d","2023-12-15","Code_107"
"Code","http://www.cdisc.org","C171537","Telephone Call","fd5e38f9-4711-4962-b3c4-fef7e4a52d4d","2023-12-15","Code_108"
"Code","http://www.cdisc.org","C25716","Visit","c5e8952b-8e90-44aa-91ed-913a5efce427","2023-12-15","Code_109"
"Code","http://www.cdisc.org","C51282","Clinic","3a2d1517-933a-408c-a169-e3f97601d02f","2023-12-15","Code_110"
"Code","http://www.cdisc.org","C175574","In Person","e1ef5f84-ad77-4f3d-9264-b4ecb63b06cc","2023-12-15","Code_111"
"Code","http://www.cdisc.org","C171537","Telephone Call","47246cfc-3f87-41e1-8ad2-58debf7d23ca","2023-12-15","Code_112"
"Code","http://www.cdisc.org","C25716","Visit","1ceee691-27f3-45a9-b638-144ee3650d16","2023-12-15","Code_113"
"Code","http://www.cdisc.org","C51282","Clinic","8626ea72-2a6e-43b9-9aba-b0d7cc5d4d60","2023-12-15","Code_114"
