"instanceType","label","name","uuid:ID","description","id"
"Encounter","Screening 1","E1","4fa8fee6-e522-4210-b4f4-d1a3aece21a7","Screening encounter","Encounter_1"
"Encounter","Screening 2","E2","b385bbe3-e55d-4221-8602-db7a8efd77d5","Screening encounter - Ambulatory ECG Placement","Encounter_2"
"Encounter","Baseline","E3","ed0ba686-9fdc-4b07-8739-59720aa1296e","Baseline encounter - Ambulatory ECG Removal","Encounter_3"
"Encounter","Week 2","E4","e7422131-5e45-4096-9e38-903ab32446d1","Day 14","Encounter_4"
"Encounter","Week 4","E5","ef76aecb-400b-40fc-8da2-ec9ad533f9ac","Day 28","Encounter_5"
"Encounter","Week 6","E7","b0a632a5-4e89-4d86-83c2-fdbcc7242a0c","Day 42","Encounter_6"
"Encounter","Week 8","E8","a2edc1f5-96a6-4f56-92d7-d11a60a945ff","Day 56","Encounter_7"
"Encounter","Week 12","E9","87fc371a-73dc-428c-a470-c236320f1882","Day 84","Encounter_8"
"Encounter","Week 16","E10","141516e0-f193-4c34-a5f2-6c12eb4ddf40","Day 112","Encounter_9"
"Encounter","Week 20","E11","d76fb710-08be-454a-bc1d-bce369255814","Day 140","Encounter_10"
"Encounter","Week 24","E12","557bc703-d8e7-4b73-a355-04a539e3f463","Day 168","Encounter_11"
"Encounter","Week 26","E13","faae3fab-653b-4aa9-8903-d9e82ca62572","Day 182","Encounter_12"
