"instanceType","label","reference","name","uuid:ID","id","synonyms"
"BiomedicalConcept","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","64004bbe-8aa6-4bff-b55e-6f03891c2921","BiomedicalConcept_20",""
"BiomedicalConcept","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","4f1263be-646b-42f2-986a-a0f4e29185a9","BiomedicalConcept_21","['Racial Group']"
"BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","774de4a1-9e5c-4e78-9b4d-b26503c527cc","BiomedicalConcept_22","['Temperature', 'Body Temperature']"
"BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","c7f58bf3-9cec-4a61-805b-7a76b8a04d0f","BiomedicalConcept_23","['Weight', 'Body Weight']"
"BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","35ff2e6b-95ba-4523-9888-6013dae9f1a5","BiomedicalConcept_24","['Height', 'Body Height']"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","78b6022d-5fc0-4f1f-9120-68353d9877c6","BiomedicalConcept_25","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","2b0d844f-ac53-4fda-a36e-0c5bfc2377b5","BiomedicalConcept_26","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","660aae24-517a-4132-99e8-550573f9ced8","BiomedicalConcept_27","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","3c4d3a7e-ee57-4026-92e9-9821451765bf","BiomedicalConcept_28","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","f2230982-ed92-4e9d-b822-23939f2b1b3a","BiomedicalConcept_29","['Creatinine', 'Creatinine Measurement']"
