"instanceType","name","text","uuid:ID","id"
"TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","8c1a8fcd-2cdf-4038-aba0-fa790b7b9d30","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","682fa8a8-fddd-497c-8ac8-1744b98614dc","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","6799d8a2-6bc3-438e-9e1b-c4a31ce1175b","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","0b769454-b1c7-4c94-9258-65155bfc556d","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","Radomized","c3f9a937-0d55-4865-a3e9-2a0f47c7e68c","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","5bfcbbae-376b-4731-8d6a-683a6d672d02","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","Informed consent","12b7d83e-8fbc-4c49-9a1c-538dcb378039","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","26ae280d-7807-4f66-bd60-22e0ddad8a24","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","b6b2b995-0200-429b-a48a-8c7140c02b7c","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","1a17375e-4681-4080-b3b6-7311ee97b64f","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","6470237f-afa3-4d10-9755-53d8f1cfc203","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","8c55064a-7621-4635-9402-1e5c7013bb77","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","Randomized","02a03edb-57c1-49b6-902c-56df96a8a694","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","24a4f504-1e0d-49c1-b102-6cdb732373a9","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","3d31d199-8054-49b4-b528-67a4bab3004f","TransitionRule_13"
