"instanceType","label","name","uuid:ID","description","id"
"Activity","Informed consent","Informed consent","27e7774d-3f3f-440c-b964-c341c98c59a2","","Activity_1"
"Activity","Inclusion and exclusion criteria","Inclusion/exclusion criteria","3863d8c6-af56-42d5-9cd0-9bdf0e304fba","","Activity_2"
"Activity","Patient number assigned","Patient number assigned","e362c73c-f4b4-4d11-8983-5899a2f2ceb2","","Activity_3"
"Activity","Demographics","Demographics","ca76008b-23f1-4059-a1ae-b9714457f199","","Activity_4"
"Activity","Hachinski Ischemic Scale","Hachinski","a25c613a-9a26-43af-9770-2dc6ba40b58d","","Activity_5"
"Activity","MMSE","MMSE","0c9125ab-fac8-461a-aa70-820889afe378","","Activity_6"
"Activity","Physical examination","Physical examination","427efe2a-5d78-4900-a38c-a89bb00ae564","","Activity_7"
"Activity","Medical history","Medical history","22a7febb-32c3-4c1d-b21a-50f70763a57a","","Activity_8"
"Activity","Habits","Habits","cfe41448-35c9-48af-938a-a8e720a4e636","","Activity_9"
"Activity","Chest X-ray","Chest X-ray","fe7a5386-a1ab-4f75-8937-494a0dd7a670","","Activity_10"
"Activity","Apo E genotyping","Apo E genotyping","bb9fc67e-9c71-4c4c-ab29-e0a48d76e0a8","","Activity_11"
"Activity","Patient randomised","Patient randomised","00d7f994-1c3e-411f-976e-edd962035343","","Activity_12"
"Activity","Vital Signs and Temperature","Vital signs / Temperature","3e51a27b-289b-4b18-816d-d6602248c714","","Activity_13"
"Activity","Ambulatory ECG placed","Ambulatory ECG placed","88c9ddb2-5d04-48f9-8443-0e119818a755","","Activity_14"
"Activity","Ambulatory ECG removed","Ambulatory ECG removed","712860d2-651f-4220-8bde-648565799b42","","Activity_15"
"Activity","ECG","ECG","aea2f4a4-d459-48e4-b865-93d132a5375f","","Activity_16"
"Activity","Placebo TTS test","Placebo TTS test","ae5cde77-3776-48d1-989f-eebfe9d2ec0b","","Activity_17"
"Activity","CT scan","CT scan","6ecb5cf5-7034-4844-927b-d0d01063329e","","Activity_18"
"Activity","Concomitant medications","Concomitant medications","ec30674c-264f-4c25-91f1-eb726517fb56","","Activity_19"
"Activity","Hematology","Hematology","88fc140d-3641-4696-b654-dadb6ad9a1fe","","Activity_20"
"Activity","Chemistry","Chemistry","d1e7b4f7-fbe5-4469-b1c4-bb55a3651c51","","Activity_21"
"Activity","Uninalysis","Uninalysis","6cb6e6e2-b988-4bb8-a644-a16b735e157b","","Activity_22"
"Activity","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","a82da829-cfa2-4367-b52d-20f7a34ddd21","","Activity_23"
"Activity","Hemoglobin A1C","Hemoglobin A1C","149d1e81-bbca-4c47-b5b4-3f7f14226aa2","","Activity_24"
"Activity","Study drug record , Medications dispensed, Medications returned","Study drug","88aca955-402f-41e2-9e80-1a3ba45c84b7","","Activity_25"
"Activity","TTS Acceptability Survey","TTS Acceptability Survey","d58834ed-f0d8-4491-8d5d-6461633b3a39","","Activity_26"
"Activity","ADAS-Cog","ADAS-Cog","c9936c57-dff6-470f-9648-ce17853dca0f","","Activity_27"
"Activity","CIBIC+","CIBIC+","2402b35e-8fea-4b0d-88db-7a442c7aeaaf","","Activity_28"
"Activity","DAD","DAD","7f2f5621-2813-4f36-baa9-b53129fef78a","","Activity_29"
"Activity","NPI-X","NPI-X","dd41e4fe-8a72-4751-b5ef-83458e7b50ae","","Activity_30"
"Activity","Adverse events","Adverse events","724eb045-d8b1-4e40-9ecc-3e91bf4434b1","","Activity_31"
"Activity","Check adverse events","Check adverse events","4608e749-b516-4f18-a1b0-452dd84c7613","","Activity_32"
"Activity","Subject supine","Supine","d7fa06cf-a863-409b-b708-d9580bd2dfdb","","Activity_33"
"Activity","Vital signs while supine","Vital Signs Supine","b59d3941-c6b8-4a1d-9d83-9ac4e473455b","","Activity_34"
"Activity","Subject Standing","Stand","fcf12806-4ab7-4839-b98d-b573bdf0f6e2","","Activity_35"
"Activity","Vital signs while standing","Vital Signs Standing","d428d0b2-0bf1-4b6a-bb54-de6a26a06f09","","Activity_36"
