"instanceType","label","purpose","name","text","uuid:ID","description","id"
"Endpoint","","","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","a9928bab-487d-44b1-bb3c-fe688f59a005","","Endpoint_1"
"Endpoint","","","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","7ca8346b-2ce9-41af-9f1f-25dc9ded30fc","","Endpoint_2"
"Endpoint","","","END3","Adverse events","c43243e6-8265-4d28-be67-cd6784de269e","","Endpoint_3"
"Endpoint","","","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","346bb9e8-60c8-4ec8-a737-e4a6ae337439","","Endpoint_4"
"Endpoint","","","END5","Laboratory evaluations (Change from Baseline)","cc10d7f2-e6d0-4f05-ac6e-92964cba4452","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5"
"Endpoint","","","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","a339153b-28ca-47fb-9379-baec1edf36ef","","Endpoint_6"
"Endpoint","","","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","f7253e6c-3aaf-4cfd-9f9d-eafe45fde7d6","","Endpoint_7"
"Endpoint","","","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","de3e1892-3a64-467d-ab5d-68ecaca12930","","Endpoint_8"
"Endpoint","","","END9","*** To be determined from protocol ***","e5c0bfac-4444-4eb0-8f2d-77dc903f198e","","Endpoint_9"
"Endpoint","","","END10","*** To be determined from protocol ***","48eeff39-9781-4710-885b-03fa86a79d8e","","Endpoint_10"
"Endpoint","","","END11","*** To be determined from protocol ***","8dd7f8ff-4b6e-4ff6-9e90-5d4ee95cac1b","","Endpoint_11"
