"instanceType","label","name","uuid:ID","description","id"
"ScheduledActivityInstance","Screen One","SCREEN1","47f89a8f-0b0e-481c-937a-27c76cbd22a6","-","ScheduledActivityInstance_9"
"ScheduledActivityInstance","Screen Two","SCREEN2","c6dcb36b-3c0b-453c-891e-80b82729c981","-","ScheduledActivityInstance_10"
"ScheduledActivityInstance","Dose","DOSE","dcd648f0-ddc9-4a3d-9f83-f2a28c3d0c02","-","ScheduledActivityInstance_11"
"ScheduledActivityInstance","Week 2","WK2","a36e7f08-3297-4435-96aa-62444e7dda3c","-","ScheduledActivityInstance_12"
"ScheduledActivityInstance","Week 4","WK4","6373de8d-8ba1-44e6-b1c9-a40cef85cf04","-","ScheduledActivityInstance_13"
"ScheduledActivityInstance","Week 6","WK6","ee093506-a59c-4ae5-98e9-0255b4bfc051","-","ScheduledActivityInstance_14"
"ScheduledActivityInstance","Week 8","WK8","bdcb130a-c7f7-4626-8e95-6fc242eed4c0","-","ScheduledActivityInstance_15"
"ScheduledActivityInstance","Week NPI","WK8N","12bc3e87-3cab-43fc-bb18-b69853d753f7","-","ScheduledActivityInstance_16"
"ScheduledActivityInstance","Week 12","WK12","093d6846-cd22-41b2-868f-7c48e4776498","-","ScheduledActivityInstance_17"
"ScheduledActivityInstance","Week 12 NPI","WK12N","9ea2bd46-3268-47ce-93eb-6dcf6dcfcaa5","-","ScheduledActivityInstance_18"
"ScheduledActivityInstance","Week 16","WK16","396ec0ec-41ae-48f0-b29b-ee9421913ade","-","ScheduledActivityInstance_19"
"ScheduledActivityInstance","Week 16 NPI","WK16N","9c46906b-8f4f-464a-8b59-a5091a9840dc","-","ScheduledActivityInstance_20"
"ScheduledActivityInstance","Week 20","WK20","481589de-6eef-40a3-b441-6285d4791e87","-","ScheduledActivityInstance_21"
"ScheduledActivityInstance","Week 20 NPI","WK20N","6bcde22f-5a82-4845-b904-b6b525b05190","-","ScheduledActivityInstance_22"
"ScheduledActivityInstance","Week 24","WK24","fb644d23-4fed-412b-8f38-987de4dce9a4","-","ScheduledActivityInstance_23"
"ScheduledActivityInstance","Week 26","WK26","a98f2d8a-10d0-4c11-a23b-e66f98b4086a","-","ScheduledActivityInstance_24"
"ScheduledActivityInstance","Adevers Event","AE","fb5c2ff0-c6d5-45c1-8854-61fe579d9878","-","ScheduledActivityInstance_1"
"ScheduledActivityInstance","Early Termination","ET","f0dbf897-1e30-40d6-b7cf-f872b9c4619d","-","ScheduledActivityInstance_2"
"ScheduledActivityInstance","5 minute supine","VS_5MIN","7a362e26-6adc-4ab0-b501-f3174c0e403f","","ScheduledActivityInstance_3"
"ScheduledActivityInstance","Vital signs supine","VS_SUPINE","5c67aec1-bacf-4499-a1cb-61625715a167","","ScheduledActivityInstance_4"
"ScheduledActivityInstance","1 minute standing","VS_1MIN","659b7115-8849-445c-af0c-3b271348cb3e","","ScheduledActivityInstance_5"
"ScheduledActivityInstance","Vital signs after 1 min standing","VS_STAND1","1f4617b9-590c-45c8-a916-8f58711dfa8e","","ScheduledActivityInstance_6"
"ScheduledActivityInstance","2 minute standing","VS_2MIN","bd4275e3-c921-4eeb-b4cc-a2e32a6b9db5","","ScheduledActivityInstance_7"
"ScheduledActivityInstance","Vital signs after 3 min standing","VS_STAND3","b5cdf834-3e4f-49f6-8547-81db4ae61821","","ScheduledActivityInstance_8"
