"instanceType","label","name","windowLabel","windowLower","uuid:ID","description","id","windowUpper","value","valueLabel"
"Timing","Screening","TIM1","","","7acf4fb4-9750-435c-aaf6-671869867a15","Screening timing","Timing_1","","P2W","2 weeks"
"Timing","Pre dose","TIM2","-4..0 hours","PT4H","38cc143d-8599-4ca3-9a5f-df47065eeb47","Pre dose timing","Timing_2","PT0H","P2D","2 days"
"Timing","Dosing","TIM3","","","37a45709-ff6e-4da6-9f1f-efc4a20bd2b7","Dosing anchor","Timing_3","","P1D","1 Day"
"Timing","Week 2","TIM4","-3..3 days","P3D","fa3ab4dc-3af3-4e89-89b3-68c6f6f3fcae","Week 2 timing","Timing_4","P3D","P2W","2 Weeks"
"Timing","Week 4","TIM5","-3..3 days","P3D","629c4462-8ba9-4d10-b597-f98b479590e2","Week 4 timing","Timing_5","P3D","P4W","4 Weeks"
"Timing","Week 6","TIM6","-3..3 days","P3D","5fa67547-9ca7-45ee-8626-f6661fc7578e","Week 6 timing","Timing_6","P3D","P6W","6 Weeks"
"Timing","Week 8","TIM7","-3..3 days","P3D","44e8fa40-c908-4151-97c9-057906592295","Week 8 timing","Timing_7","P3D","P8W","8 Weeks"
"Timing","Week 12","TIM9","-4..4 days","P4D","d774f57e-85ed-4dca-8d38-1455513c3b49","Week 12 timing","Timing_9","P4D","P12W","12 Weeks"
"Timing","Week 16","TIM11","-4..4 days","P4D","dd02fd99-37c8-42ae-8be5-330f16355809","Week 16 timing","Timing_11","P4D","P16W","16 Weeks"
"Timing","Week 20","TIM13","-4..4 days","P4D","5b49877b-2920-4f49-87c0-ea8be608abcd","Week 20 timing","Timing_13","P4D","P20W","20 Weeks"
"Timing","Week 24","TIM15","-4..4 days","P4D","96485bf9-b8d1-473b-8946-b8f287f81b31","Week 24 timing","Timing_15","P4D","P24W","24 Weeks"
"Timing","Week 26","TIM16","-3..3 days","P3D","341dc08f-c8f5-4b9e-bd87-0a086742f5db","Week 26 timing","Timing_16","P3D","P26W","26 Weeks"
"Timing","Week 8 Home","TIM8","","","795e0cae-6f0b-4199-b0d4-ff2c18518915","Week 8 at home timing","Timing_8","","P2W","2 Weeks"
"Timing","Week 12 Home","TIM10","","","a10cfadf-ea3f-49dd-a9b0-1874a891eb1f","Week 12 at home timing","Timing_10","","P2W","2 Weeks"
"Timing","Week 16 Home","TIM12","","","020a0ad0-74ad-4da2-8645-d56950b81a3a","Week 16 at home timing","Timing_12","","P2W","2 Weeks"
"Timing","Week 20 Home","TIM14","","","e9f7f469-d7aa-4bfd-8647-849107f2c2d5","Week 20 at home timing","Timing_14","","P2W","2 Weeks"
"Timing","Adverse Event","TIM17","","","7e4fbae3-ac9a-4d82-97af-307174faed58","Adverse Event","Timing_17","","P1D","1 Day"
"Timing","Early Termination","TIM18","","","2c6981bb-e2fe-4a9e-94be-cbe04626e035","Early Termination","Timing_18","","P1D","1 Day"
"Timing","Supine","TIM19","","","ecf67305-36dc-45a4-b5cd-1db977a5edc4","Supine","Timing_19","","PT0M","0 mins"
"Timing","VS while supine","TIM20","","","c12c8fba-a2c5-4688-8423-4770ff65616e","VS while supine","Timing_20","","PT5M","5 mins"
"Timing","Standing","TIM21","","","03d7aa85-2a8f-4b12-9752-4dc4a002e7e8","Standing","Timing_21","","PT0M","0 min"
"Timing","VS while standing","TIM22","","","0d92953f-ad14-403c-bb0d-08e7fa11f963","VS while standing","Timing_22","","PT1M","1 min"
"Timing","Standing","TIM23","","","c41c68e2-4ee9-47e4-b9b1-45aca20a3048","Standing","Timing_23","","PT0M","0 min"
"Timing","VS while standing","TIM24","","","6ab96f43-4492-4e29-8d25-768c68c119ff","VS while standing","Timing_24","","PT2M","2 min"
