"uuid:ID","name","sectionNumber","sectionTitle","text","id","instanceType"
"a4b43771-bb63-4201-9cbe-d3f6fc5ce7fa","ROOT","0","Root","","NarrativeContent_1","NarrativeContent"
"b53bd7b5-9692-4e01-83d9-c2a72aa60103","SECTION 0","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","NarrativeContent"
"31f1a6ea-4927-4595-ae65-eb2589f5bf66","SECTION 1","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","NarrativeContent"
"cf88e144-b6f1-42f0-9763-1bb311fa070e","SECTION 1.1","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4","NarrativeContent"
"b3a80f6a-e95d-4d36-8478-872e7ded7bf6","SECTION 1.2","1.2","Trial Schema","<div></div>","NarrativeContent_5","NarrativeContent"
"6c4afcf7-066b-485f-ac0e-94c9cc910d4a","SECTION 1.3","1.3","Schedule of Activities","<div></div>","NarrativeContent_6","NarrativeContent"
"951b8b0c-a132-4ab0-b3ce-5b356666520d","SECTION 2","2","INTRODUCTION","<div></div>","NarrativeContent_7","NarrativeContent"
"9c3b294d-d5b3-4ef4-8b16-ff60baa9ef9f","SECTION 2.1","2.1","Purpose of Trial","<div></div>","NarrativeContent_8","NarrativeContent"
"9d4a957d-be87-4cfd-b7ce-db6e91657988","SECTION 2.2","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","NarrativeContent"
"1c8420ad-fbed-48a8-89e7-a47423aeb0b6","SECTION 3","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","NarrativeContent"
"ff6c3265-e061-47c2-a009-a94c80bfe700","SECTION 3.1","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","NarrativeContent"
"01caf1b2-827e-40a6-aef9-cd84cb256e43","SECTION 4","4","TRIAL DESIGN","<div></div>","NarrativeContent_12","NarrativeContent"
"4f99e3d7-1d93-403f-8c6d-0b311af727b1","SECTION 4.1","4.1","Description of Trial Design","<div></div>","NarrativeContent_13","NarrativeContent"
"605f3671-87e1-4227-9d12-37065f22431d","SECTION 4.1.1","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14","NarrativeContent"
"5ea16c0b-a2aa-4d29-9027-b2ca773f68c9","SECTION 4.2","4.2","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","NarrativeContent"
"a0986470-69ed-433a-9a56-1d7cf54959c8","SECTION 4.2.1","4.2.1","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","NarrativeContent"
"a72c13ca-22fd-47d0-8ca4-4c28b977a62f","SECTION 4.2.2","4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17","NarrativeContent"
"44f7151d-fcbe-4dbd-ae41-6255ddc5792c","SECTION 4.2.3","4.2.3","Other Trial Design Considerations","<div></div>","NarrativeContent_18","NarrativeContent"
"5c61b495-5544-4868-ba89-ec5805633e82","SECTION 4.3","4.3","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19","NarrativeContent"
"c6917da3-cce3-4451-b906-d6feb80c03b2","SECTION 4.4","4.4","Start of Trial and End of Trial","<div></div>","NarrativeContent_20","NarrativeContent"
"835f0ed2-ca83-4fef-bb52-3abcbb5adf2b","SECTION 5","5","TRIAL POPULATION","<div></div>","NarrativeContent_21","NarrativeContent"
"6aab1fda-8bcd-4f8e-8e17-89079ce48a0c","SECTION 5.1","5.1","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","NarrativeContent"
"7f5465d4-1686-40e9-ab80-0090a1c3b0b7","SECTION 5.2","5.2","Rationale for Trial Population","<div></div>","NarrativeContent_23","NarrativeContent"
"bfc1abff-f454-4010-a67c-d48cdcc7ecc5","SECTION 5.3","5.3","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","NarrativeContent"
"7ea993ad-3448-4995-8c3d-ad9b78240088","SECTION 5.4","5.4","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","NarrativeContent"
"437b493d-d3d4-44d7-83e4-0b4296f3a34d","SECTION 5.5","5.5","Lifestyle Considerations","<div></div>","NarrativeContent_26","NarrativeContent"
"8c52fd2c-dd07-4cf4-bdc2-99a942ad5c93","SECTION 5.5.1","5.5.1","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27","NarrativeContent"
"3c1c1af1-03f2-4510-9dbf-e39faa637868","SECTION 5.5.2","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28","NarrativeContent"
"d948e3e0-2e10-4d9d-926c-09fd9e8182aa","SECTION 5.5.3","5.5.3","Physical Activity","<div></div>","NarrativeContent_29","NarrativeContent"
"fae2bd8d-c7d1-4de7-b751-bc494a57c7cc","SECTION 5.5.4","5.5.4","Other Activity","<div></div>","NarrativeContent_30","NarrativeContent"
"0e1a6441-a158-4d09-a31c-4c6c83cd6333","SECTION 5.6","5.6","Screen Failures","<div></div>","NarrativeContent_31","NarrativeContent"
"e3f6ad86-62b2-4e27-b4ce-a85b17c7ebcf","SECTION 6","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_32","NarrativeContent"
"3d8859fc-89b7-42ce-b2fb-4dec3ce569e3","SECTION 6.1","6.1","Description of Trial Intervention","<div></div>","NarrativeContent_33","NarrativeContent"
"59e1e8a1-d4aa-4fdd-bab9-950f54110edb","SECTION 6.2","6.2","Rationale for Trial Intervention","<div></div>","NarrativeContent_34","NarrativeContent"
"a3e2e5e0-add3-457c-93f1-0183d0af0f3c","SECTION 6.3","6.3","Dosing and Administration","<div></div>","NarrativeContent_35","NarrativeContent"
"6adbcb6d-03c3-40a0-8bb6-dc6947d46ba2","SECTION 6.3.1","6.3.1","Trial Intervention Dose Modification","<div></div>","NarrativeContent_36","NarrativeContent"
"1b1ec8bc-b212-40a3-a1bb-317edab46d46","SECTION 6.4","6.4","Treatment of Overdose","<div></div>","NarrativeContent_37","NarrativeContent"
"8352e647-daef-479e-aec3-1882d3e20c01","SECTION 6.5","6.5","Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_38","NarrativeContent"
"b48b0007-6d55-4e49-96ee-5d4d2fe77175","SECTION 6.5.1","6.5.1","Preparation of Trial Intervention","<div></div>","NarrativeContent_39","NarrativeContent"
"08fd92c5-eaba-4f2f-9074-740ff9580b0e","SECTION 6.5.2","6.5.2","Handling and Storage of Trial Intervention","<div></div>","NarrativeContent_40","NarrativeContent"
"cfc9d7eb-9e63-44fb-a802-1d1b06da66d7","SECTION 6.5.3","6.5.3","Accountability of Trial Intervention","<div></div>","NarrativeContent_41","NarrativeContent"
"2e3c2b4d-847b-43dc-99ec-2631b63ac67a","SECTION 6.6","6.6","Participant Assignment, Randomisation and Blinding","<div></div>","NarrativeContent_42","NarrativeContent"
"9e42e856-9311-4109-b57f-c9a92b4d7ac5","SECTION 6.6.1","6.6.1","Participant Assignment","<div></div>","NarrativeContent_43","NarrativeContent"
"8f60c088-c0a8-4196-909d-7783f16e1e37","SECTION 6.6.2","6.6.2","Randomisation","<div></div>","NarrativeContent_44","NarrativeContent"
"29213d51-c4fe-4753-a2b2-0d2fe75df279","SECTION 6.6.3","6.6.3","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","NarrativeContent"
"540faf85-8a18-4332-b35e-ac5ebbc65c62","SECTION 6.7","6.7","Trial Intervention Compliance","<div></div>","NarrativeContent_46","NarrativeContent"
"6274503e-7f32-42c1-89ff-dc6a5af79b9e","SECTION 6.8","6.8","Concomitant Therapy","<div></div>","NarrativeContent_47","NarrativeContent"
"a989fc7e-b5db-4b57-80e6-fe87255108fb","SECTION 6.8.1","6.8.1","Prohibited Concomitant Therapy","<div></div>","NarrativeContent_48","NarrativeContent"
"1539316c-2b03-46dc-b607-680cb722480a","SECTION 6.8.2","6.8.2","Permitted Concomitant Therapy","<div></div>","NarrativeContent_49","NarrativeContent"
"753f74f3-c7c2-4f30-9cca-9637e504b832","SECTION 6.8.3","6.8.3","Rescue Therapy","<div></div>","NarrativeContent_50","NarrativeContent"
"9c467020-e26a-4305-b1d8-ef1c79df8abf","SECTION 6.8.4","6.8.4","Other Therapy","<div></div>","NarrativeContent_51","NarrativeContent"
"d0b8f53a-249f-4c79-be49-9bc58d3d4039","SECTION 7","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","NarrativeContent_52","NarrativeContent"
"75f8817e-16ca-494f-8727-81984989880c","SECTION 7.1","7.1","Discontinuation of Trial Intervention","<div></div>","NarrativeContent_53","NarrativeContent"
"c3dca091-c987-47b6-bc92-c0951a5fbb11","SECTION 7.1.1","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","NarrativeContent_54","NarrativeContent"
"90e1dcb6-3b63-4cd1-8c3a-c6b5cf594f00","SECTION 7.1.2","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","NarrativeContent_55","NarrativeContent"
"a76c3e44-c249-4ba2-b200-6f5e6cb91e7e","SECTION 7.1.3","7.1.3","Rechallenge","<div></div>","NarrativeContent_56","NarrativeContent"
"708ba122-f3f9-4099-8147-43664db2ab65","SECTION 7.2","7.2","Participant Withdrawal from the Trial","<div></div>","NarrativeContent_57","NarrativeContent"
"b39bc42c-b18f-489a-be6a-c5d955f59da1","SECTION 7.3","7.3","Lost to Follow-Up","<div></div>","NarrativeContent_58","NarrativeContent"
"734b18dc-0aa1-4dba-b3a4-55607de6f422","SECTION 7.4","7.4","Trial Stopping Rules","<div></div>","NarrativeContent_59","NarrativeContent"
"540da4b9-2b14-40dd-8c54-5ad1f76e1b0e","SECTION 8","8","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","NarrativeContent_60","NarrativeContent"
"11f74285-e321-4745-afd8-5eb15c1331ac","SECTION 8.1","8.1","Screening/Baseline Assessments and Procedures","<div></div>","NarrativeContent_61","NarrativeContent"
"0c37c699-12db-453a-97ba-c3a9ecfafe63","SECTION 8.2","8.2","Efficacy Assessments and Procedures","<div></div>","NarrativeContent_62","NarrativeContent"
"4d6cb572-0ff4-413e-a72d-21f73e799666","SECTION 8.3","8.3","Safety Assessments and Procedures","<div></div>","NarrativeContent_63","NarrativeContent"
"7d993e7a-9238-4d6d-a412-a35c92bf9a99","SECTION 8.3.1","8.3.1","Physical Examination","<div></div>","NarrativeContent_64","NarrativeContent"
"b0c11859-0d80-4719-9c32-62685b826b82","SECTION 8.3.2","8.3.2","Vital Signs","<div></div>","NarrativeContent_65","NarrativeContent"
"62ed5ead-c379-4baa-9564-846972c5f086","SECTION 8.3.3","8.3.3","Electrocardiograms","<div></div>","NarrativeContent_66","NarrativeContent"
"a89a31ed-f9f0-4e61-b893-60a3a8325222","SECTION 8.3.4","8.3.4","Clinical Laboratory Assessments","<div></div>","NarrativeContent_67","NarrativeContent"
"a97c082a-2fa8-42b4-9416-068f50bbfd3f","SECTION 8.3.5","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","NarrativeContent_68","NarrativeContent"
"26bda5ef-33af-4dcd-acdc-b09529aa0d96","SECTION 8.4","8.4","Adverse Events and Serious Adverse Events","<div></div>","NarrativeContent_69","NarrativeContent"
"a3f5cded-23fd-480c-8c92-8e4c915f0782","SECTION 8.4.1","8.4.1","Definitions of AE and SAE","<div></div>","NarrativeContent_70","NarrativeContent"
"1b1b74b9-5ae7-473e-9d55-ed2d631a3673","SECTION 8.4.2","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","NarrativeContent_71","NarrativeContent"
"3d752ca8-8197-4fa0-af5e-dbeb996448be","SECTION 8.4.3","8.4.3","Identifying AEs and SAEs","<div></div>","NarrativeContent_72","NarrativeContent"
"a8cf6198-872d-4ca2-832b-82f5defdd817","SECTION 8.4.4","8.4.4","Recording of AEs and SAEs","<div></div>","NarrativeContent_73","NarrativeContent"
"5c4d06a9-15ff-455e-8356-89bacba70854","SECTION 8.4.5","8.4.5","Follow-up of AEs and SAEs","<div></div>","NarrativeContent_74","NarrativeContent"
"497927d6-ae8c-4fbf-bfb4-82791aab57d6","SECTION 8.4.6","8.4.6","Reporting of SAEs","<div></div>","NarrativeContent_75","NarrativeContent"
