"uuid:ID","name","label","id","description","instanceType"
"7c240e7c-a4a8-43e5-8f00-b4aae854cd2c","E1","Screening 1","Encounter_1","Screening encounter","Encounter"
"a081e73e-4e28-453e-9398-d3edd5a5ac8d","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"ac3cb89f-24e5-448d-9b7f-1a6ca51e8ea9","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"04d266ec-172d-4b11-ba1d-8c6cfebac577","E4","Week 2","Encounter_4","Day 14","Encounter"
"a5f5c5c6-5aa5-40e3-928b-502556f814c5","E5","Week 4","Encounter_5","Day 28","Encounter"
"e1834061-4294-4505-9538-62f417d989e7","E7","Week 6","Encounter_6","Day 42","Encounter"
"60d43b2c-6d31-402f-908f-a9460ca0124d","E8","Week 8","Encounter_7","Day 56","Encounter"
"2c3c8ae9-5d4e-47bd-b6b7-970c29117b77","E9","Week 12","Encounter_8","Day 84","Encounter"
"62718fbe-cf35-4f14-8caa-c91d6bfcb4c2","E10","Week 16","Encounter_9","Day 112","Encounter"
"840b2e7b-8929-45a5-b2fe-2835d2ef8c13","E11","Week 20","Encounter_10","Day 140","Encounter"
"e3b0d99c-c8ef-43ee-995b-f7271bcb995f","E12","Week 24","Encounter_11","Day 168","Encounter"
"c8fc5615-ee30-41c3-bcb7-d0fb4ac6c0bb","E13","Week 26","Encounter_12","Day 182","Encounter"
