"uuid:ID","name","text","id","instanceType"
"b5eb74b3-01c9-4057-8c7c-d82f5d293605","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","TransitionRule"
"20c64b15-0b42-4131-8d83-3d185408fcb4","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","TransitionRule"
"c1fbc22f-42a5-4ee7-9f9a-5693a286e761","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"2a20d26b-cd9f-4e0d-8546-d4a48200cc4e","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"b296835f-3700-481b-afd2-d5d2d580eb94","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","TransitionRule"
"745ef258-1bd8-4cf5-81d6-96ecc3c0aa99","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","TransitionRule"
"69fa2d76-7fa6-483b-b451-c2c49e233417","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","TransitionRule"
"0c9ca7b8-e2b3-428a-889c-a6d5adf43dd7","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"cfae8102-5b7e-4aac-81a0-33af57bc17e4","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","TransitionRule"
"ec5107c5-7442-44d0-bc8e-9cbf00e2e205","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"9dfeb2e1-f54b-423a-8248-7fbc0e5811cf","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"cb45c088-65b1-4353-a285-d45203214151","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","TransitionRule"
"dabda9a3-7738-4b1a-9fd1-24706bab7b0b","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","TransitionRule"
"49f5b6fc-ed8d-4dbd-9e69-930694e23f45","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"43d263a2-b843-4616-8371-b9c78bc68f2b","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
