"uuid:ID","name","label","id","description","instanceType"
"579c4de6-8832-49dc-962f-09a38d9958ce","Informed consent","","Activity_1","","Activity"
"8c0c95ed-3fd5-4cf5-9801-d8b77f0634f6","Inclusion/exclusion criteria","","Activity_2","","Activity"
"33ad742e-95e3-472f-a06b-c7b7b90d3156","Patient number assigned","","Activity_3","","Activity"
"b0579442-e5da-4841-9e2e-358434f4de6e","Demographics","Demographics","Activity_4","","Activity"
"c27d526a-7a3c-4d95-ab3f-7e1431ded202","Hachinski","Hachinski","Activity_5","","Activity"
"2a4801cc-e7fc-424c-85c6-caa26b1d9f97","MMSE","MMSE","Activity_6","","Activity"
"b9c62a1f-8752-4885-bd7a-bce08e91bf46","Physical examination","","Activity_7","","Activity"
"603d7c32-caea-4af8-b4dc-6e0f4b34b8e9","Medical history","","Activity_8","","Activity"
"fa167970-f0aa-45a7-8a0f-42793bfc7f1f","Habits","","Activity_9","","Activity"
"5d8c9440-f4b0-47cd-bf1d-c713689b3110","Chest X-ray","","Activity_10","","Activity"
"472bdeac-d5f7-4fce-a3fd-31b81f02e9ec","Apo E genotyping","","Activity_11","","Activity"
"46763c17-0591-47c3-ada2-3e6f8dc7cddf","Patient randomised","","Activity_12","","Activity"
"cf04da28-adb4-429a-9c8f-f1c4931b0123","Vital signs / Temperature","Vital Signs and Temperature","Activity_13","","Activity"
"9315c68c-cb4c-4b78-b930-f31c15848f6e","Ambulatory ECG placed","","Activity_14","","Activity"
"8f3852d9-a76c-4d5b-9649-4f0d7447b665","Ambulatory ECG removed","","Activity_15","","Activity"
"5fb74262-598f-4143-922a-b0834517e69e","ECG","","Activity_16","","Activity"
"60ea5bbe-e1a2-428e-a4db-38a1db93cf96","Placebo TTS test","","Activity_17","","Activity"
"5e4e8617-0eda-4fa5-be03-94e844a75c33","CT scan","","Activity_18","","Activity"
"1cf729ed-b91c-42c0-9557-7e18b8d305b1","Concomitant medications","","Activity_19","","Activity"
"9a1bbf87-a3a7-4c83-b79b-d3f6d757e828","Hematology","","Activity_20","","Activity"
"bd698c72-d43c-4dad-9ca0-fafb9af51fee","Chemistry","","Activity_21","","Activity"
"fc75ce7c-486e-4d8f-944c-48455c09f095","Uninalysis","","Activity_22","","Activity"
"4c5c243e-385d-485c-8804-b58f4855e159","Plasma Specimen (Xanomeline)","","Activity_23","","Activity"
"6eae6ce0-9504-4ea5-b2bd-b681eed3e24b","Hemoglobin A1C","","Activity_24","","Activity"
"a23b0734-afad-4616-991d-ca84f5cee74a","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","","Activity"
"e71ce54b-6b9c-4045-9ad0-d425bc6d6a6e","TTS Acceptability Survey","","Activity_26","","Activity"
"518c7567-4c80-47c9-9936-3d5f8db6a263","ADAS-Cog","","Activity_27","","Activity"
"705e6691-99c5-4030-a2f6-0ee1661ce9ca","CIBIC+","","Activity_28","","Activity"
"13daf5cd-a21a-436b-b041-c1eda05b4f06","DAD","","Activity_29","","Activity"
"7215d8b5-d9f4-4a08-a02b-9ccdc43d542a","NPI-X","","Activity_30","","Activity"
"38a22d35-08c7-4429-a2f8-eb9fc3f6a3f9","Adverse events","","Activity_31","","Activity"
"89e49e20-23b7-43e7-8458-ab285dfade9f","Check adverse events","","Activity_32","","Activity"
"36517a43-42d4-42f3-8edf-ed99baecbade","Supine","Subject supine","Activity_33","","Activity"
"67ea7edb-bfb6-4740-9867-1099e13a604d","Vital Signs Supine","Vital signs while supine","Activity_34","","Activity"
"b581bdbc-e9b5-4f5a-ac43-5354d2f92be2","Stand","Subject Standing","Activity_35","","Activity"
"1e4a3cd7-700d-417e-850d-366de06cdddd","Vital Signs Standing","Vital signs while standing","Activity_36","","Activity"
