"uuid:ID","windowLower","name","windowUpper","window","value","label","id","description","instanceType"
"bdf344f0-83d5-459f-97c1-bb75277afee7","","TIM1","","","P2W","Screening","Timing_1","Screening timing","Timing"
"cca19655-19c2-4c13-bc2b-bb79e80b12f8","PT4H","TIM2","PT0H","-4..0 hours","P2D","Pre dose","Timing_2","Pre dose timing","Timing"
"cfa987a1-0e4e-4d45-b691-ada13d9a9751","","TIM3","","","P1D","Dosing","Timing_3","Dosing anchor","Timing"
"86a9bccf-9ec4-439c-8afb-ecd930779d93","P3D","TIM4","P3D","-3..3 days","P2W","Week 2","Timing_4","Week 2 timing","Timing"
"aa46ead3-aa4f-421c-bfdb-b2c7e3485b2f","P3D","TIM5","P3D","-3..3 days","P4W","Week 4","Timing_5","Week 4 timing","Timing"
"09b40d7d-3158-4e3b-90ef-288e4c08b69a","P3D","TIM6","P3D","-3..3 days","P6W","Week 6","Timing_6","Week 6 timing","Timing"
"e3a412dc-3139-4669-9c73-d115be6a3316","P3D","TIM7","P3D","-3..3 days","P8W","Week 8","Timing_7","Week 8 timing","Timing"
"f0c9e9a1-229e-4256-8d50-b709862e7e1b","P4D","TIM9","P4D","-4..4 days","P12W","Week 12","Timing_9","Week 12 timing","Timing"
"edafddda-8771-4a15-9979-1b40b8f03131","P4D","TIM11","P4D","-4..4 days","P16W","Week 16","Timing_11","Week 16 timing","Timing"
"e2e18f26-cac4-4522-8894-07f0ac21dc0c","P4D","TIM13","P4D","-4..4 days","P20W","Week 20","Timing_13","Week 20 timing","Timing"
"3936a016-968a-4b9c-a5ea-ef18005a0730","P4D","TIM15","P4D","-4..4 days","P24W","Week 24","Timing_15","Week 24 timing","Timing"
"b900161e-c4a8-4f21-8839-2a2bec5f6539","P3D","TIM16","P3D","-3..3 days","P26W","Week 26","Timing_16","Week 26 timing","Timing"
"d18f08f8-a990-43ad-9027-6de1c506bea4","","TIM8","","","P2W","Week 8 Home","Timing_8","Week 8 at home timing","Timing"
"cc439a68-bca3-42c7-b8d7-22340df4efd6","","TIM10","","","P2W","Week 12 Home","Timing_10","Week 12 at home timing","Timing"
"ebb20a7b-c43f-47b3-9902-6290772c0c21","","TIM12","","","P2W","Week 16 Home","Timing_12","Week 16 at home timing","Timing"
"a6b498bc-c5ab-46d1-94d4-05a04374c056","","TIM14","","","P2W","Week 20 Home","Timing_14","Week 20 at home timing","Timing"
"5f916db5-4117-4e97-af43-07749960185f","","TIM17","","","P1D","Adverse Event","Timing_17","Adverse Event","Timing"
"40224de4-19f7-4e8a-a098-a387c5886984","","TIM18","","","P1D","Early Termination","Timing_18","Early Termination","Timing"
"bc4f7f3d-23b4-4e9e-af3e-079a5596c742","","TIM19","","","PT0M","Supine","Timing_19","Supine","Timing"
"d843b836-0d7c-4286-b986-a60b4d6e6d3e","","TIM20","","","PT5M","VS while supine","Timing_20","VS while supine","Timing"
"2c9994a7-a553-4e70-ad8c-a9998499b74e","","TIM21","","","PT0M","Standing","Timing_21","Standing","Timing"
"1bbcc5f5-dfd4-407b-83cc-7b9227a8e068","","TIM22","","","PT1M","VS while standing","Timing_22","VS while standing","Timing"
"038faf38-fc99-4202-88a6-25f236fcd63f","","TIM23","","","PT0M","Standing","Timing_23","Standing","Timing"
"89cb2961-c8cf-402d-b7ae-06b9744be01c","","TIM24","","","PT2M","VS while standing","Timing_24","VS while standing","Timing"
