"name","text","uuid:ID","instanceType","id"
"ENCOUNTER_START_RULE_1","Subject identifier","6820a2f9-a7e7-490a-ab7f-ab5cfccbb2ad","TransitionRule","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","e7816a15-af00-481b-aa02-cb0262344c62","TransitionRule","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","f7d29988-285d-40e7-ab98-fb32beaa887a","TransitionRule","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","10f3f2e2-09a5-4c67-8510-497ae09c4973","TransitionRule","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","7c9ca5ff-2c5a-49d9-9698-b545b585a780","TransitionRule","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","3a42ab6a-5443-4116-a94a-489a3a55b989","TransitionRule","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","ee7dad9e-51a0-4a95-996f-5d791cae763f","TransitionRule","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","439a9679-d16e-4fee-8c4c-71e0877eddea","TransitionRule","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","9cddbb33-c382-493a-9bda-1ff4ae574ae2","TransitionRule","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","669a3d19-790b-494c-9af6-d0b7c7c5e6f8","TransitionRule","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","b051a6e1-e761-46f9-87d9-7cbe71aa6525","TransitionRule","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","92bd51c7-9635-4ef6-8877-ec5dba4ef0be","TransitionRule","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","0ddcd290-3c0e-4a63-869b-27494a2aab13","TransitionRule","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","f3e9b42d-bec2-4b19-874b-4d0cffe369f8","TransitionRule","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","3e8427f5-fae9-4b4a-b9e6-e75a3199bb9b","TransitionRule","TransitionRule_13"
