"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Interventional Study","61e26165-b374-4497-9364-dc0d9c7d1149","http://www.cdisc.org","Code","2023-12-15","C98388","Code_1"
"Phase II Trial","273bd9f5-9218-4188-9fe0-33f827e51067","http://www.cdisc.org","Code","2023-12-15","C15601","Code_2"
"Sponsor Approval Date","28f17505-94a2-49a6-9615-2ddbd95b4cba","http://www.cdisc.org","Code","2023-12-15","C132352","Code_9"
"Global","8116ab82-8ef1-43d9-a3f8-763cc979c310","http://www.cdisc.org","Code","2023-12-15","C68846","Code_10"
"IRB/IEC Feedback","d321d206-8a7e-4ef8-baf8-3a909144bd11","http://www.cdisc.org","Code","2023-12-15","C99904x3","Code_72"
"Other","caf8f377-ef9d-4354-953a-6dacf902af20","http://www.cdisc.org","Code","2023-12-15","C17649","Code_73"
"Region","8c634967-0d23-4231-812e-125be1c4f1c2","http://www.cdisc.org","Code","2023-12-15","C41129","Code_75"
"Europe","6654d022-99ce-4111-8e1b-378b8462b58c","ISO 3166 1 alpha3","Code","2020-08","150","Code_74"
"Eli Lilly","2fdd1245-6ace-4c59-8f87-d5dc3f1222e4","SPONSOR","Code","12","PHARMA","Code_4"
"Clinical Study Sponsor","34c99dd7-ef71-4edd-af03-0fcbe6a6da63","http://www.cdisc.org","Code","2023-12-15","C70793","Code_76"
"United States of America","448dc4d3-5de4-478e-90ec-588fb5a23ee6","ISO 3166 1 alpha3","Code","2020-08","USA","Code_77"
"Study Registry","51354c45-b08b-4f75-9303-0d256d74f6de","http://www.cdisc.org","Code","2023-12-15","C93453","Code_78"
"United States of America","15a2bb32-8291-49df-8574-17a8df661bd3","ISO 3166 1 alpha3","Code","2020-08","USA","Code_79"
"Treatment Study","0b937067-87a2-4399-a207-f166bb040915","http://www.cdisc.org","Code","2023-12-15","C49656","Code_137"
"Efficacy Study","076094a7-9b45-49fe-83ea-997a3a3ee90c","http://www.cdisc.org","Code","2023-12-15","C49666","Code_138"
"Safety Study","4005695a-3327-461b-aeda-d5e239e48763","http://www.cdisc.org","Code","2023-12-15","C49667","Code_139"
"Pharmacokinetic Study","95858da2-69d5-49bb-8fbd-2dcb5dbf1681","http://www.cdisc.org","Code","2023-12-15","C49663","Code_140"
"Mild to Moderate Alzheimer's Disease","cfe46db4-62bc-419b-bbf2-a5af5261d962","SPONSOR","Code","12","MILD_MOD_ALZ","Code_134"
"Alzheimer's disease","c7b57808-b158-403f-a799-0166b4a5139b","SNOMED","Code","January 31, 2018","26929004","Code_135"
"EXTENSION","95f72650-5659-4af9-bd78-dca22b6bb8dc","http://www.cdisc.org","Code","2023-12-15","C99907x1","Code_143"
"ADAPTIVE","ff48adb6-629d-497d-b0b6-4ef71aa13b80","http://www.cdisc.org","Code","2023-12-15","C98704","Code_144"
"Parallel Study","63fd6633-f214-4adb-8e13-8aa8f0f319ee","http://www.cdisc.org","Code","2023-12-15","C82639","Code_141"
