"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","0ec684ee-e107-4667-8544-b014ac719bb1","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","4744c954-a485-4279-9016-dc08cacc7807","Endpoint","","","Endpoint_2"
"","END3","Adverse events","1fb5d635-3810-4c02-b591-9021fbc4ea49","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","369c8e88-ba87-4cba-8251-4e4ea2cae964","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","ccbd52e6-c02c-4958-9d7e-de9f1df2c60f","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","4d122ff1-4d2b-41ed-b034-9140f159df26","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","61f660aa-80df-4900-8535-fda6eb365bb3","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","49fce627-7812-40eb-a8ac-e3d0355e0758","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","8b10bf5d-b015-406b-8935-a71c8ad188d4","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","b8ae8bc9-80c4-4042-aad2-8da98055e0ff","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","21839af4-4cd4-4639-b77e-d5021fa3bb30","Endpoint","","","Endpoint_11"
