"name","uuid:ID","instanceType","description","label","id"
"SCREEN1","ade08379-2378-4d6c-86d4-fd19f0e22c6d","ScheduledActivityInstance","-","Screen One","ScheduledActivityInstance_9"
"SCREEN2","31cf8a45-78a4-4ea2-afcc-7b2c9dfa9e49","ScheduledActivityInstance","-","Screen Two","ScheduledActivityInstance_10"
"DOSE","ac27cd8a-a58d-4c63-903f-e179fa1d2e62","ScheduledActivityInstance","-","Dose","ScheduledActivityInstance_11"
"WK2","e0be7b60-8cd3-4c50-ab7d-8f5dfd7419c2","ScheduledActivityInstance","-","Week 2","ScheduledActivityInstance_12"
"WK4","4bbcf954-c142-4a74-b0e5-65ac91d08973","ScheduledActivityInstance","-","Week 4","ScheduledActivityInstance_13"
"WK6","c01e8d96-4db5-4c33-9fb8-91f4b7cff112","ScheduledActivityInstance","-","Week 6","ScheduledActivityInstance_14"
"WK8","da918dfd-f143-426e-961e-e0c56255be77","ScheduledActivityInstance","-","Week 8","ScheduledActivityInstance_15"
"WK8N","82fdac06-d8e4-460a-b86d-df16dd4bdaba","ScheduledActivityInstance","-","Week NPI","ScheduledActivityInstance_16"
"WK12","f252b547-ff7e-48fa-94a6-3bf1ffe2fa57","ScheduledActivityInstance","-","Week 12","ScheduledActivityInstance_17"
"WK12N","251b0591-3d6b-4170-b563-4fcb2c08d213","ScheduledActivityInstance","-","Week 12 NPI","ScheduledActivityInstance_18"
"WK16","51c9fd54-1b41-4706-a796-cff14f5beeeb","ScheduledActivityInstance","-","Week 16","ScheduledActivityInstance_19"
"WK16N","4d778e6a-bd97-4e95-a2d6-50a5d8a5776e","ScheduledActivityInstance","-","Week 16 NPI","ScheduledActivityInstance_20"
"WK20","8fb76043-4d6f-468b-8221-e47d5d3ff607","ScheduledActivityInstance","-","Week 20","ScheduledActivityInstance_21"
"WK20N","a3d0a81d-3132-48b4-997f-11b159ba46d9","ScheduledActivityInstance","-","Week 20 NPI","ScheduledActivityInstance_22"
"WK24","5a7d667b-3038-4a5e-a28c-ff55a1effb4b","ScheduledActivityInstance","-","Week 24","ScheduledActivityInstance_23"
"WK26","321d0df9-8e6c-48ed-b772-d176b3f3914b","ScheduledActivityInstance","-","Week 26","ScheduledActivityInstance_24"
"AE","ae4ccf72-d1d9-4557-81bd-e8567872f41b","ScheduledActivityInstance","-","Adevers Event","ScheduledActivityInstance_1"
"ET","564ed040-3c11-4f45-88ce-99f05ff5e58f","ScheduledActivityInstance","-","Early Termination","ScheduledActivityInstance_2"
"VS_5MIN","7d9363fb-29f8-41b5-aa54-08ceb8d0d81b","ScheduledActivityInstance","","5 minute supine","ScheduledActivityInstance_3"
"VS_SUPINE","3a3cdecf-d508-48a1-89d3-30a4b6cddca4","ScheduledActivityInstance","","Vital signs supine","ScheduledActivityInstance_4"
"VS_1MIN","c7d43680-2113-41b4-8c50-a043867fb013","ScheduledActivityInstance","","1 minute standing","ScheduledActivityInstance_5"
"VS_STAND1","2cd4e8b8-d904-4cd8-8e05-b2bf4ec8389d","ScheduledActivityInstance","","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"VS_2MIN","016c00c6-c7e3-4354-86d4-dce8f4b6d4aa","ScheduledActivityInstance","","2 minute standing","ScheduledActivityInstance_7"
"VS_STAND3","3a17c74a-cd26-4252-a299-665208611cf7","ScheduledActivityInstance","","Vital signs after 3 min standing","ScheduledActivityInstance_8"
