"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","42b095e5-ccdf-4cc4-bb9d-230ee489cb95","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","c64da07f-1f92-4cea-8545-295d3362e93f","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","14a727b3-d7e5-40c9-bcda-97860f9cce68","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","1906ceb4-4b59-4843-abad-2e33904a455c","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","b5a51f7c-27db-4603-a7bd-9e7b464e8da7","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","d5c0fbf0-c779-4855-b0f3-6ee9e04df7b2","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","6c6e009f-3a54-46fc-8303-a7ca8bbbf854","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","4d4e885f-cb6e-4480-8cc6-9676f360e189","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","c74264fd-15db-475c-b59e-9bdab89ccff3","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","1a4dafee-ef3e-4573-8866-2d881712dfb6","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","67e9ed9d-635d-46ea-8a92-767967a4223f","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","486b7061-5384-4d0e-8735-8e54a5e15b24","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","70e15129-af3a-4e7f-be1a-c11b9a1a35bf","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","dba87f04-4682-4047-a340-8fb85af3e4be","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","d6095ce4-d34b-4bb1-b2c2-b784cd410412","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","475b5fb9-d6d9-42e8-8def-327327423c73","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","f0856f41-f05b-494b-a358-81198884cefb","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","9d503a5b-88fa-4343-a786-8eab7a216162","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","cf90b657-5dca-40a7-b344-d91da774dc25","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","2f60d875-bffb-4e68-92b0-05d72d33c24c","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","1affefc5-09e7-4c09-8345-0194ba6393f5","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","22f5bd71-108c-4060-9ae2-db2c2615cbca","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","043ffaf0-f756-44b8-83f6-6ceaf56cc86e","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","4b3c96d9-0a32-4adc-ab49-934e05335e5e","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
