"name","uuid:ID","instanceType","description","label","id"
"Informed consent","a135400b-d43d-4f1f-b378-b099004349e6","Activity","","Informed consent","Activity_1"
"Inclusion/exclusion criteria","fa63a5cf-8bde-4c8f-b623-ce0f71ef6a56","Activity","","Inclusion and exclusion criteria","Activity_2"
"Patient number assigned","34e5545d-93ad-45e9-b1e0-6bdddd0f635d","Activity","","Patient number assigned","Activity_3"
"Demographics","d30ed75c-b331-4045-bda1-6301a59a1eab","Activity","","Demographics","Activity_4"
"Hachinski","ee8779ba-e917-487d-baba-701bbcf974c4","Activity","","Hachinski Ischemic Scale","Activity_5"
"MMSE","a17372f5-bfcd-49c0-966f-d5719fa3c245","Activity","","MMSE","Activity_6"
"Physical examination","3b927f92-9571-4442-bda5-fc34ee85cfe4","Activity","","Physical examination","Activity_7"
"Medical history","5dca6676-be3f-4b34-aae7-3ca53dd773b6","Activity","","Medical history","Activity_8"
"Habits","a5526d6e-8bd3-4791-b9fe-7802a0a2b8d2","Activity","","Habits","Activity_9"
"Chest X-ray","d24db663-431a-43df-951d-01c00ddf119f","Activity","","Chest X-ray","Activity_10"
"Apo E genotyping","396ce364-141e-4055-bd14-69a0ec4c7f5e","Activity","","Apo E genotyping","Activity_11"
"Patient randomised","473c03c0-71ed-4814-8ad9-d80947facbb4","Activity","","Patient randomised","Activity_12"
"Vital signs / Temperature","687485f5-d046-4177-89a0-93242fdd4ad0","Activity","","Vital Signs and Temperature","Activity_13"
"Ambulatory ECG placed","7ce5e725-f4b7-4980-9ed7-3cffbd112f6a","Activity","","Ambulatory ECG placed","Activity_14"
"Ambulatory ECG removed","a610094e-c9b1-4ae1-ba67-20eb744a5a01","Activity","","Ambulatory ECG removed","Activity_15"
"ECG","8c911db6-d786-42bf-941c-aeb3fe0476cb","Activity","","ECG","Activity_16"
"Placebo TTS test","54a7ed45-305c-47b3-ade2-0315e73244ec","Activity","","Placebo TTS test","Activity_17"
"CT scan","4b2a01d2-dcf2-4735-b35f-323d765c670a","Activity","","CT scan","Activity_18"
"Concomitant medications","8da4ba90-6b2c-4d81-a11a-b42ffdde876c","Activity","","Concomitant medications","Activity_19"
"Hematology","3c70fd49-b260-411e-a648-6c3a8077ecc5","Activity","","Hematology","Activity_20"
"Chemistry","6c3b3105-7ab4-4885-b13c-1a0cf98f7477","Activity","","Chemistry","Activity_21"
"Uninalysis","c79d3c65-ea55-420c-8a59-2a9100e5752d","Activity","","Uninalysis","Activity_22"
"Plasma Specimen (Xanomeline)","4577df91-1357-4638-84f7-0713503c1ad3","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"Hemoglobin A1C","92e46c96-6625-424d-bbb3-1b35a757457b","Activity","","Hemoglobin A1C","Activity_24"
"Study drug","214226d7-49d5-4739-9d5e-3e5c2bb966d4","Activity","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"TTS Acceptability Survey","486ee6a3-9ded-4723-a326-97e7b18aa9d7","Activity","","TTS Acceptability Survey","Activity_26"
"ADAS-Cog","bf05b56d-b7e3-45be-b75a-23fcacffd204","Activity","","ADAS-Cog","Activity_27"
"CIBIC+","6a862cb9-14c5-484e-8571-d3aff8f4d227","Activity","","CIBIC+","Activity_28"
"DAD","6267eff4-0ae3-4d3a-8209-b3f535066f5c","Activity","","DAD","Activity_29"
"NPI-X","cca4bea0-0c99-4e41-8998-6dff19fb6b19","Activity","","NPI-X","Activity_30"
"Adverse events","1308306e-9ba6-4b81-b292-f26c1c114cb3","Activity","","Adverse events","Activity_31"
"Check adverse events","77c16712-ae2e-4c4b-bfcf-183450eace84","Activity","","Check adverse events","Activity_32"
"Supine","fca4e26b-9296-4df5-a5b2-91302c6d2453","Activity","","Subject supine","Activity_33"
"Vital Signs Supine","d135e8a4-8672-4bfc-a535-2cc9f3108d7f","Activity","","Vital signs while supine","Activity_34"
"Stand","20bd1803-e0df-48c9-85a4-8d0f8de06116","Activity","","Subject Standing","Activity_35"
"Vital Signs Standing","015f4499-9414-4ee8-a073-779c1d50b71f","Activity","","Vital signs while standing","Activity_36"
