"name","instanceType","label","id","uuid:ID","description"
"E1","Encounter","Screening 1","Encounter_1","03d92f9c-999c-4784-ba32-ca22c37f4eda","Screening encounter"
"E2","Encounter","Screening 2","Encounter_2","418f3ee6-989f-4b7d-a13f-48648ab3cb13","Screening encounter - Ambulatory ECG Placement"
"E3","Encounter","Baseline","Encounter_3","788cdc10-a002-4750-89a5-38e3394f3821","Baseline encounter - Ambulatory ECG Removal"
"E4","Encounter","Week 2","Encounter_4","a8477f35-4a8f-41bb-8c8c-72227240b82b","Day 14"
"E5","Encounter","Week 4","Encounter_5","2ed740ad-a227-4157-a66d-54ae2dbdaeb9","Day 28"
"E7","Encounter","Week 6","Encounter_6","d5a9243f-431d-463d-a798-cffe66007523","Day 42"
"E8","Encounter","Week 8","Encounter_7","a2a2ef9f-4ac0-434d-bf69-a683f3865f63","Day 56"
"E9","Encounter","Week 12","Encounter_8","675feeb5-62d3-4d01-98ea-e350bf26470c","Day 84"
"E10","Encounter","Week 16","Encounter_9","b5ce4180-dd0c-4ade-893d-17b396369646","Day 112"
"E11","Encounter","Week 20","Encounter_10","56aaacd3-9c83-4d0a-b34a-63d629da8b0d","Day 140"
"E12","Encounter","Week 24","Encounter_11","0a56717c-aacc-48f3-818d-b24dd587d9d7","Day 168"
"E13","Encounter","Week 26","Encounter_12","8eccab8a-0baf-4065-a67d-ae25051156c6","Day 182"
