"name","instanceType","label","id","uuid:ID","synonyms","reference"
"Sex","BiomedicalConcept","Sex","BiomedicalConcept_20","91c05c2b-f688-4eeb-b0bd-19134553b979","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","BiomedicalConcept","Race","BiomedicalConcept_21","b254ca56-909e-4ede-a750-a2c28eeb7df5","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Body Temperature","BiomedicalConcept","Body Temperature","BiomedicalConcept_22","bd0d0c26-df1b-4fe8-88e3-48682ed33321","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept","Body Weight","BiomedicalConcept_23","a2009bbf-4f52-48bc-880a-bbf3ed8db725","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept","Body Height","BiomedicalConcept_24","a9875c64-517a-4cd6-bd8c-27d32747dce4","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","BiomedicalConcept_25","994e4da0-b2ae-4568-97e5-303d4f7d5104","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","BiomedicalConcept_26","2342d868-ba76-480b-99fa-fc2b44e94ee1","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","BiomedicalConcept_27","60e12c5b-aee1-4162-864a-2d03fb609793","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","BiomedicalConcept_28","99881c8f-a51a-411f-9c46-9588418719fa","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","BiomedicalConcept_29","cb1e0e09-52fa-44ca-817f-e9986f55fd76","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","BiomedicalConcept_30","e20e9f79-c9f0-401c-a617-d9d3051e8ee9","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","BiomedicalConcept_31","eb654894-1718-4d54-ba67-6e82c14e3021","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Adverse Event","BiomedicalConcept","Adverse Event","BiomedicalConcept_1","66cc9c6c-18f9-462a-b219-568040946473","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","8c7b952c-ce76-4682-8039-5afd2358eae3","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","d742c9ef-fa7a-468d-b7e6-1a4984d55138","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"Body Temperature","BiomedicalConcept","Body Temperature","BiomedicalConcept_4","7dff4630-6255-438d-a386-1ec556a815b4","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept","Body Weight","BiomedicalConcept_5","6df17bb2-77fc-4775-8ea0-442416125ecc","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept","Body Height","BiomedicalConcept_6","e2181bb2-fdbf-4e21-b0b7-04afaab3ad5d","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","BiomedicalConcept_7","1c3b0f71-d849-42ed-a9f7-6496cbd7c3c4","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","BiomedicalConcept_8","9070020f-9d48-4b65-90ad-0c77227a64ec","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","BiomedicalConcept_9","321e5af3-2020-4d90-b50f-5c22cb8fa2fb","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
