"instanceType","decode","id","codeSystemVersion","codeSystem","code","uuid:ID"
"Code","Interventional Study","Code_1","2023-09-29","http://www.cdisc.org","C98388","3cc5cbef-9822-4186-b5d2-77a660df7496"
"Code","Phase II Trial","Code_2","2023-09-29","http://www.cdisc.org","C15601","370e8bcb-dbde-4b14-8e27-6dadac650b71"
"Code","Sponsor Approval Date","Code_9","2023-09-29","http://www.cdisc.org","C132352","ab7aa1a7-8197-4f7f-a1dd-008329db012e"
"Code","Global","Code_10","2023-09-29","http://www.cdisc.org","C68846","d80d486b-29e9-4161-9831-7a2013dfe4e1"
"Code","IRB/IEC Feedback","Code_72","2023-09-29","http://www.cdisc.org","C99904x3","fdeea23f-e469-44d9-a82a-618191206691"
"Code","Other","Code_73","2023-09-29","http://www.cdisc.org","C17649","252241f9-37ee-415d-972e-937abbd852c1"
"Code","Region","Code_75","2023-09-29","http://www.cdisc.org","C41129","a238439d-89ef-4fb9-8fc1-1974ab6ff8b7"
"Code","Europe","Code_74","2020-08","ISO 3166 1 alpha3","150","f2c1baaf-cdff-4dc2-abae-1524818e3890"
"Code","Eli Lilly","Code_4","12","SPONSOR","PHARMA","4795b4c9-adca-438b-973e-e72ec4a6761c"
"Code","Clinical Study Sponsor","Code_76","2023-09-29","http://www.cdisc.org","C70793","e26bb848-3c42-4b18-b8e3-f2d54ec97853"
"Code","United States of America","Code_77","2020-08","ISO 3166 1 alpha3","USA","52fcedb8-1e99-4000-b88b-c2df3a5d8da5"
"Code","Study Registry","Code_78","2023-09-29","http://www.cdisc.org","C93453","2bc2b8bc-6a55-48a1-a236-9dcdbab4efec"
"Code","United States of America","Code_79","2020-08","ISO 3166 1 alpha3","USA","435247e5-c86a-4af2-952a-bbfb99248c4d"
"Code","Treatment Study","Code_137","2023-09-29","http://www.cdisc.org","C49656","dee8fc3f-8f00-480c-9dcf-1bb5d7a08489"
"Code","Efficacy Study","Code_138","2023-09-29","http://www.cdisc.org","C49666","7aa01511-e535-4bf5-b011-49f1e24d6446"
"Code","Safety Study","Code_139","2023-09-29","http://www.cdisc.org","C49667","884e7d69-1070-4c0a-b9d8-f52e5f137f2b"
"Code","Pharmacokinetic Study","Code_140","2023-09-29","http://www.cdisc.org","C49663","354825a8-a368-4f94-9546-c55cc1b2fef9"
"Code","Mild to Moderate Alzheimer's Disease","Code_134","12","SPONSOR","MILD_MOD_ALZ","ae6a5004-e7b3-4f4f-98b3-d7f07d9c3f24"
"Code","Alzheimer's disease","Code_135","January 31, 2018","SNOMED","26929004","10e9285c-9fb0-4b21-99e2-bc98aa235837"
"Code","EXTENSION","Code_143","2023-09-29","http://www.cdisc.org","C99907x1","9da8fef5-0fc3-40c6-ba2d-5779e467bc0c"
"Code","ADAPTIVE","Code_144","2023-09-29","http://www.cdisc.org","C98704","9d71070d-670f-471e-ac48-0c06afcfab4f"
"Code","Parallel Study","Code_141","2023-09-29","http://www.cdisc.org","C82639","481ac59d-ef1d-4103-a46f-2ef70b2aa7d9"
"Code","Visit","Code_83","2023-09-29","http://www.cdisc.org","C25716","35b55be4-21ab-4307-a4de-a9222d250229"
"Code","Clinic","Code_84","2023-09-29","http://www.cdisc.org","C51282","352a1414-b6fd-4415-b916-632cedb1214f"
