"isEnabled","name","instanceType","label","id","datatype","uuid:ID","isRequired"
"True","Sex","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_89","string","61da5891-a369-4396-89e1-833866270997","True"
"True","Race","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_90","string","5f138ddc-b9b4-4333-ba86-a3852e7d2a23","True"
"True","Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_91","decimal","7011362d-9af5-4f3d-b339-abe1d14f1192","True"
"True","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","BiomedicalConceptProperty_92","string","30ed2c8b-df61-4e04-af30-5c54eebc0ecb","True"
"True","Anatomic Site","BiomedicalConceptProperty","Anatomic Site","BiomedicalConceptProperty_93","string","f82d8428-809f-4868-bde7-65afa850b700","True"
"True","Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_94","decimal","3b0d287d-46e9-4955-a270-82e1542b0d8f","True"
"True","Unit of Weight","BiomedicalConceptProperty","Unit of Weight","BiomedicalConceptProperty_95","string","10d5612a-dc43-4658-88b6-d24c721d0626","True"
"True","Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_96","decimal","7cf483ec-1ba1-49fc-8f5c-5da47f982c96","True"
"True","Unit of Height","BiomedicalConceptProperty","Unit of Height","BiomedicalConceptProperty_97","string","cbfd807d-2256-4555-8c59-4d93b20445f9","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_98","decimal","17668b37-5ead-4654-8edb-c2ca34ef1d00","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_99","boolean","4c822288-4e8e-4a52-9248-83645fef592b","True"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_100","string","70f885a2-9e52-47e9-89c3-6d6c300bd685","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_101","string","3c4e372b-9a50-4552-ba91-513da929efac","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_102","string","8b377051-2c94-413b-bcec-4585fd6804fd","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_103","boolean","5e692896-84ae-4f62-a932-d965109dc285","True"
"True","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_104","string","effe18e4-cebd-4b42-b792-962f1a6fd18d","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_105","string","f8e2c84d-bf9d-4d15-9cee-1a561791edfe","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_106","decimal","d7209184-7284-4f3b-afe3-103ec8360108","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_107","boolean","f3b27a76-14aa-4b44-adfa-2810152cc6d4","True"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_108","string","0f76cac7-4116-4db4-9ed3-d0cf4a90efd2","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_109","string","7cc8556e-4ea7-4107-945f-c7e4e3f6722c","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_110","decimal","ba726c37-39b4-4113-bf27-a15e7587ce1f","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_111","boolean","10e0b068-2938-439a-bf1d-c6994de38057","True"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_112","string","90bebf1b-5e64-4d10-ba58-562eab0df855","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_113","string","59c9fd1c-0590-4f9b-9ad8-1e8ad0b5d8c6","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_114","string","743b0b35-d1dd-4a6a-974d-5b62c7755ae7","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_115","boolean","be4769c4-9d25-457c-b7cf-71eba7ae21f9","True"
"True","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_116","string","60570634-bd25-41b1-a405-8aee4ebb99aa","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_117","string","529c707f-2098-4f8a-bfc4-6ebfe44da618","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_118","decimal","4f8abd33-e940-4873-bbfd-5459b4651602","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_119","boolean","a1bfe498-9f4a-4a3a-9bbf-dd22035ce7b2","True"
"True","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_120","string","4af14be5-a744-4f37-8084-360b63431caa","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_121","string","b7b3f22b-f10e-43be-b993-376cecf1d353","True"
"True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_122","decimal","9829420d-5760-49d6-a1ae-d2fbbfec2163","True"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_123","boolean","7da0ecc0-e27a-492e-856d-e4e002231a81","True"
"True","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_124","string","4e426120-29dd-46cc-ba93-7e712a0aabfc","True"
"True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_125","string","7ae10108-7602-4eb5-bce9-6f8aa9696ce4","True"
"True","Reported Event Term","BiomedicalConceptProperty","Reported Event Term","BiomedicalConceptProperty_1","string","54bc3f46-755b-415b-9c3b-d423737adfde","True"
"True","Dictionary-derived Term","BiomedicalConceptProperty","Dictionary-derived Term","BiomedicalConceptProperty_2","string","f89e6a46-6e31-40c1-85a6-83d25b94a4b6","True"
"True","Category","BiomedicalConceptProperty","Category","BiomedicalConceptProperty_3","string","3e9046d0-3aa1-43b0-8795-fc4e9a43821e","True"
"True","Subcategory","BiomedicalConceptProperty","Subcategory","BiomedicalConceptProperty_4","string","574b43e5-8a6c-4522-8881-254a0329d3e3","True"
"True","Observation Start Date Time","BiomedicalConceptProperty","Observation Start Date Time","BiomedicalConceptProperty_5","datetime","1efa8c4f-a473-45c5-92e7-a8a7701e58f0","True"
"True","Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_6","decimal","0e25daf3-23e5-4805-a49d-f13e25c7c5a8","True"
"True","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_7","string","1d0559a7-ff07-43a9-8780-aa33d13e55fa","True"
"True","Anatomic Site","BiomedicalConceptProperty","Anatomic Site","BiomedicalConceptProperty_8","string","72013e7b-955e-4dd4-86e3-8ac021b74e5e","True"
"True","Laterality","BiomedicalConceptProperty","Laterality","BiomedicalConceptProperty_9","string","cdd764c7-0ab8-4e4d-8535-5adc8421edcb","True"
"True","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_10","string","12e58294-867f-459f-b8bc-17afb49be667","True"
"True","Body Position","BiomedicalConceptProperty","Body Position","BiomedicalConceptProperty_11","string","86cdb561-9a4d-458d-8355-a7a4ed557995","True"
