"text","name","instanceType","id","uuid:ID"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","530fb6c7-c157-44e1-b531-270cb6a1c1b1"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","944da4f0-d0c8-43f3-b853-ac25361d6e16"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","d5f944fb-7ac1-4803-b994-9255bfa387dd"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","ef2c90dc-c9ec-4b2e-9c68-3c730b982eeb"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","eb833966-62ae-48da-b3f8-09f69c1df632"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","c50ad0e3-1203-414d-9f1d-868649407f1c"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","d2cb84bb-e173-4dfa-a9a3-c11f52831e4b"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","b6d310de-8f91-46ef-aa11-a8b17423ab5b"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","4607488b-6cdf-46a6-96d6-58e727c746d2"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","abc1346e-7635-4c4a-a669-c856772089e5"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","bf1bc885-e4b5-45f1-8278-2d16feab30f6"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","b7ee2017-c568-43f7-a4fb-a5c15073a455"
"Randomized","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","ad6f3e08-01d1-4b40-add6-0c9f2a02df03"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","f6e3aa2b-9de3-4d04-b9eb-455cce4553f6"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","6e010361-f681-4b58-96c2-4b03f6ed9e51"
