"text","name","instanceType","label","id","purpose","uuid:ID","description"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","Endpoint","","Endpoint_1","","b7209e38-dbf2-4631-9bb3-2e9b3835d21a",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","Endpoint","","Endpoint_2","","905719f0-4a62-4cd3-8b6b-525ac4c33ebf",""
"Adverse events","END3","Endpoint","","Endpoint_3","","ec2ee0d5-4b25-4dc3-8f5a-0da2f105a04b",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","END4","Endpoint","","Endpoint_4","","85325ae4-70b3-4165-8784-266f52478bdf",""
"Laboratory evaluations (Change from Baseline)","END5","Endpoint","","Endpoint_5","","a89b9631-a4a9-4d6a-856d-46596da46815","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","Endpoint","","Endpoint_6","","9e8e6c7e-1d27-460d-a668-6e057488ec0d",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","Endpoint","","Endpoint_7","","067f3868-0440-468e-b82d-1d8b9a81570a",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","Endpoint","","Endpoint_8","","d121922e-5281-4109-884a-a235340e7122",""
"*** To be determined from protocol ***","END9","Endpoint","","Endpoint_9","","e3943168-75cf-45f5-a88f-fae362fd1ce8",""
"*** To be determined from protocol ***","END10","Endpoint","","Endpoint_10","","aaea8220-8663-425b-b495-5a5a47852ed8",""
"*** To be determined from protocol ***","END11","Endpoint","","Endpoint_11","","3a8429fd-5faa-4998-9a77-edf2dae0b920",""
