"name","instanceType","label","id","windowLower","uuid:ID","window","windowUpper","description","value"
"TIM1","Timing","Screening","Timing_1","","0def903f-f812-4dba-8faa-64f1dbd1086c","","","Screening timing","P2W"
"TIM2","Timing","Pre dose","Timing_2","PT4H","cd0b21f0-61e1-4aaa-85ec-f9f51d4210ad","-4..0 hours","PT0H","Pre dose timing","P2D"
"TIM3","Timing","Dosing","Timing_3","","87e25789-cb4c-4845-9b94-41acf82e3094","","","Dosing anchor","P1D"
"TIM4","Timing","Week 2","Timing_4","P3D","8ffb34d0-a32b-4a79-8fc3-da4abcf60a47","-3..3 days","P3D","Week 2 timing","P2W"
"TIM5","Timing","Week 4","Timing_5","P3D","5da789ad-44b1-462d-802a-31d3666b80fc","-3..3 days","P3D","Week 4 timing","P4W"
"TIM6","Timing","Week 6","Timing_6","P3D","fcd48bfd-5c49-4e86-b5f8-02efce4d8cee","-3..3 days","P3D","Week 6 timing","P6W"
"TIM7","Timing","Week 8","Timing_7","P3D","9fe2888b-7ee2-4afc-961b-e76240c8857c","-3..3 days","P3D","Week 8 timing","P8W"
"TIM9","Timing","Week 12","Timing_9","P4D","402881ef-7a67-49c6-8920-79b3d9fdba29","-4..4 days","P4D","Week 12 timing","P12W"
"TIM11","Timing","Week 16","Timing_11","P4D","1e1dab31-4455-43b2-86cc-d44fe4209d89","-4..4 days","P4D","Week 16 timing","P16W"
"TIM13","Timing","Week 20","Timing_13","P4D","e6a1ebbb-994d-4231-a491-0b94a42b33f9","-4..4 days","P4D","Week 20 timing","P20W"
"TIM15","Timing","Week 24","Timing_15","P4D","d6707f08-f5e8-42d1-84ee-b196e1df5d2d","-4..4 days","P4D","Week 24 timing","P24W"
"TIM16","Timing","Week 26","Timing_16","P3D","b9824622-2b27-4a01-b07a-b81f79f3cb4a","-3..3 days","P3D","Week 26 timing","P26W"
"TIM8","Timing","Week 8 Home","Timing_8","","8229e3e8-4cbd-42d2-bbe4-ed1c18883dc1","","","Week 8 at home timing","P2W"
"TIM10","Timing","Week 12 Home","Timing_10","","f74d3086-e1cd-410f-8399-416a2df2f608","","","Week 12 at home timing","P2W"
"TIM12","Timing","Week 16 Home","Timing_12","","5e0f35b8-8af4-4e0b-8976-47d8ca64f59b","","","Week 16 at home timing","P2W"
"TIM14","Timing","Week 20 Home","Timing_14","","e558d729-fb16-4e02-8474-199a6ae75759","","","Week 20 at home timing","P2W"
"TIM17","Timing","Adverse Event","Timing_17","","00aa75e4-45ae-41f7-97b3-b8384715aaee","","","Adverse Event","P1D"
"TIM18","Timing","Early Termination","Timing_18","","adfa4b46-13e4-47ea-a846-388f9255dbdd","","","Early Termination","P1D"
"TIM19","Timing","Supine","Timing_19","","d6862d30-1129-4145-8aba-6c0b303917eb","","","Supine","PT0M"
"TIM20","Timing","VS while supine","Timing_20","","7bf05de1-c271-468a-a1ef-0251e103c30a","","","VS while supine","PT5M"
"TIM21","Timing","Standing","Timing_21","","15f3e708-08bd-46b8-bfbe-75c3e1f71cd1","","","Standing","PT0M"
"TIM22","Timing","VS while standing","Timing_22","","796c3e8c-c205-49bf-bcd5-6661188d68be","","","VS while standing","PT1M"
"TIM23","Timing","Standing","Timing_23","","b4bcc65c-7875-4c3c-b66b-7b7d657d190d","","","Standing","PT0M"
"TIM24","Timing","VS while standing","Timing_24","","13bde144-44b9-4208-895f-00806efd7a8f","","","VS while standing","PT2M"
