"text","uuid:ID","sectionTitle","sectionNumber","id","name","instanceType"
"","37d3d025-0d10-47fe-8aa4-d0e310fe4d88","Root","0","NarrativeContent_1","ROOT","NarrativeContent"
"<div><usdm:section name=""M11-title-page""></div>","86ff141e-71b8-4586-aa95-30342b36b7df","TITLE PAGE","0","NarrativeContent_2","SECTION 0","NarrativeContent"
"<div></div>","de7d4698-738a-4a9b-8118-5fded4947d77","PROTOCOL SUMMARY","1","NarrativeContent_3","SECTION 1","NarrativeContent"
"<div></div>","2b578c35-b688-434e-ad46-bce757d64902","Protocol Synopsis","1.1","NarrativeContent_4","SECTION 1.1","NarrativeContent"
"<div></div>","0bf02483-d224-423e-8541-0cfad05b00ef","Trial Schema","1.2","NarrativeContent_5","SECTION 1.2","NarrativeContent"
"<div></div>","1934c5b3-d96a-4aba-91db-0d7c2a435244","Schedule of Activities","1.3","NarrativeContent_6","SECTION 1.3","NarrativeContent"
"<div></div>","f9527774-c299-436e-8e7c-e8779d11fa28","INTRODUCTION","2","NarrativeContent_7","SECTION 2","NarrativeContent"
"<div></div>","d3b79bbe-ad52-4288-8f98-aa4bafaa0e24","Purpose of Trial","2.1","NarrativeContent_8","SECTION 2.1","NarrativeContent"
"<div></div>","f03f627d-dfb7-4b36-bc0d-b73f2574461e","Summary of Benefits and Risks","2.2","NarrativeContent_9","SECTION 2.2","NarrativeContent"
"<div></div>","0ddf8a33-7f7d-43bd-aa2a-d120d1281072","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","NarrativeContent_10","SECTION 3","NarrativeContent"
"<div><usdm:section name=""M11-objective-endpoints""></div>","9761e569-f1bd-4c0c-bb12-21f7150e229a","Primary Objectives","3.1","NarrativeContent_11","SECTION 3.1","NarrativeContent"
"<div></div>","5c5d66c3-23d0-45c4-8574-68689065ab2e","TRIAL DESIGN","4","NarrativeContent_12","SECTION 4","NarrativeContent"
"<div></div>","fe142d3a-104d-4d2b-9763-65a77b14279e","Description of Trial Design","4.1","NarrativeContent_13","SECTION 4.1","NarrativeContent"
"<div></div>","f5a22900-972e-4141-8e87-bfdea6c6ec0e","Participant Input into Design","4.1.1","NarrativeContent_14","SECTION 4.1.1","NarrativeContent"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","e7dcb0e1-4ead-47e3-91d3-4182dd15b6fb","Rationale for Trial Design","4.2","NarrativeContent_15","SECTION 4.2","NarrativeContent"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","6392e263-20c8-4d02-a803-1e7c914ee611","Rationale for Comparator","4.2.1","NarrativeContent_16","SECTION 4.2.1","NarrativeContent"
"<div></div>","40d17a66-39e4-446d-936d-806955df4b7b","Rationale for Adaptive or Novel Trial Design","4.2.2","NarrativeContent_17","SECTION 4.2.2","NarrativeContent"
"<div></div>","9bac0bc2-c741-41df-876e-2dc408567557","Other Trial Design Considerations","4.2.3","NarrativeContent_18","SECTION 4.2.3","NarrativeContent"
"<div></div>","ddeaaaf4-7b74-4a89-9ade-512928bfa247","Access to Trial Intervention After End of Trial","4.3","NarrativeContent_19","SECTION 4.3","NarrativeContent"
"<div></div>","e0ed0c00-4e61-4a4d-b337-c16867dd4aae","Start of Trial and End of Trial","4.4","NarrativeContent_20","SECTION 4.4","NarrativeContent"
"<div></div>","658dca86-0978-48c8-8dae-6f071e6949ce","TRIAL POPULATION","5","NarrativeContent_21","SECTION 5","NarrativeContent"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","805abf70-721f-4c3d-9d3a-ff37daaf06fa","Selection of Trial Population","5.1","NarrativeContent_22","SECTION 5.1","NarrativeContent"
