"label","description","value","window","uuid:ID","windowUpper","windowLower","id","name","instanceType"
"Screening","Screening timing","P2W","","d4bd4074-eb7e-44c9-8fe3-235e11dd77fa","","","Timing_1","TIM1","Timing"
"Pre dose","Pre dose timing","P2D","-4..0 hours","8787d7fe-fca8-4a43-87e9-5d069550eb96","PT0H","PT4H","Timing_2","TIM2","Timing"
"Dosing","Dosing anchor","P1D","","817976e4-603d-4fef-868f-91a2ebd97618","","","Timing_3","TIM3","Timing"
"Week 2","Week 2 timing","P2W","-3..3 days","245f68fc-22ae-4f6e-ae4a-141d83a449b8","P3D","P3D","Timing_4","TIM4","Timing"
"Week 4","Week 4 timing","P4W","-3..3 days","97ac7eeb-6bd2-4c61-b107-c180cb559501","P3D","P3D","Timing_5","TIM5","Timing"
"Week 6","Week 6 timing","P6W","-3..3 days","60586f43-8e12-4247-a2f5-4afa6ee0b177","P3D","P3D","Timing_6","TIM6","Timing"
"Week 8","Week 8 timing","P8W","-3..3 days","562df896-9343-4ed0-a7ce-137bb76873a7","P3D","P3D","Timing_7","TIM7","Timing"
"Week 12","Week 12 timing","P12W","-4..4 days","1899c2fa-f9d0-481f-92e0-7c33b55c8b4e","P4D","P4D","Timing_9","TIM9","Timing"
"Week 16","Week 16 timing","P16W","-4..4 days","a5cd1556-c5dd-4dad-b872-95a0bea44613","P4D","P4D","Timing_11","TIM11","Timing"
"Week 20","Week 20 timing","P20W","-4..4 days","ca7c7d78-0367-40c4-9116-789dd84f2cb4","P4D","P4D","Timing_13","TIM13","Timing"
"Week 24","Week 24 timing","P24W","-4..4 days","b9143cd0-badb-4eae-b3f1-dd09531c45ae","P4D","P4D","Timing_15","TIM15","Timing"
"Week 26","Week 26 timing","P26W","-3..3 days","dfb3a3ad-ed90-45af-bc1a-73be5b9976e5","P3D","P3D","Timing_16","TIM16","Timing"
"Week 8 Home","Week 8 at home timing","P2W","","91a6c391-2bd9-4891-8aff-9bdd9d2245d4","","","Timing_8","TIM8","Timing"
"Week 12 Home","Week 12 at home timing","P2W","","fa1a0c91-cb65-44f8-838e-d85705de6806","","","Timing_10","TIM10","Timing"
"Week 16 Home","Week 16 at home timing","P2W","","138f7fff-e866-4193-aed4-f3afd3274afd","","","Timing_12","TIM12","Timing"
"Week 20 Home","Week 20 at home timing","P2W","","f7fc2b42-d052-4999-9abc-f0f4b72d9851","","","Timing_14","TIM14","Timing"
"Adverse Event","Adverse Event","P1D","","c5c206a6-7b62-4468-82a6-a3a4bc00cebd","","","Timing_17","TIM17","Timing"
"Early Termination","Early Termination","P1D","","c53ed0a6-135a-4104-ba94-5e6f8e02661c","","","Timing_18","TIM18","Timing"
"Supine","Supine","PT0M","","fd36c07e-53c5-4ed0-96f0-08f77331363d","","","Timing_19","TIM19","Timing"
"VS while supine","VS while supine","PT5M","","9ea2e5e7-8779-4d6f-9c5f-0e42de0932c1","","","Timing_20","TIM20","Timing"
"Standing","Standing","PT0M","","b970e043-c19c-4853-9a61-8884c0ec8203","","","Timing_21","TIM21","Timing"
"VS while standing","VS while standing","PT1M","","1e24564f-222f-4779-95d3-cec549b1f519","","","Timing_22","TIM22","Timing"
"Standing","Standing","PT0M","","2809c1c7-8fac-4446-8a87-1f14d19d9588","","","Timing_23","TIM23","Timing"
"VS while standing","VS while standing","PT2M","","96568338-3068-49cf-90c0-0fcf5a1d2a0e","","","Timing_24","TIM24","Timing"
