"label","synonyms","uuid:ID","id","reference","name","instanceType"
"Body Temperature","['Temperature']","e5e9d964-9e3e-4060-b346-15144f07cc4d","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept"
"Body Weight","['Weight']","487e303c-99d4-456b-be1d-79f4fcdfe589","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept"
"Body Height","['Height']","55c53a18-a84b-4511-a6e7-b873eaab9cc7","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","20208be6-2fba-4856-b9da-9e0a76e56321","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept"
"Albumin Measurement","['Albumin']","e2fbbcb0-e30f-47c3-9317-f5046212ad4a","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","7de0f8db-8111-4844-ba7b-a40f7052cad1","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","2f85c3aa-544c-4cc2-b646-10e9922509d9","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"Creatinine Measurement","['Creatinine']","b31545a9-297c-40ec-b7df-89ea3590ee36","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept"
"Potassium Measurement","['Potassium', 'K']","26e38d56-fc24-444a-97fb-029494ad07c0","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept"
"Sodium Measurement","['Sodium', 'NA']","b76830a2-4bcc-4099-a608-d22284bf86f4","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","2f8cdd1e-bc36-4708-947c-1548c4a26b88","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","af85111b-4135-4b1d-abd4-b54f0bc3bfb7","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","2f8091d0-e5be-4a31-a300-5a68dbed3ead","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept"
"Body Temperature","['Temperature']","7cfd1de9-fb8f-4eb2-a8d1-c8e35386c729","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept"
"Body Weight","['Weight']","7bac3c6e-6cca-4188-921c-dca1d0175823","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept"
"Body Height","['Height']","6e2bf41c-dc54-41bd-ab93-434ac7f75056","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","3ac7c7ee-33a7-433c-a5ce-c68c7d6c581d","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept"
"Albumin Measurement","['Albumin']","300cb8b2-d1c6-4741-8f39-3a691472bf9b","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","04389199-1e61-43af-81e3-f5b541a063b1","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","c8d65395-a7ad-4365-9659-252281f11c09","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"Creatinine Measurement","['Creatinine']","287a14c8-acd6-4b65-af4f-80b1dbe57ca8","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept"
"Potassium Measurement","['Potassium', 'K']","4dab41ea-6b78-4150-8dde-e69041b1f434","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept"
"Sodium Measurement","['Sodium', 'NA']","aeaaee12-0214-46aa-871e-de8cd06a5b37","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","162f8f6d-9d5a-408b-8a5a-dfdbd3b3a5f4","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","c7132c58-8db6-4dfd-8646-64b1cd08f26b","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept"
"Heart Rate","","a8467b81-dc5e-4699-9deb-84123adb1e1f","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","0e332b62-1293-4b71-87ca-b650f1d39dfc","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","4ad1cbca-a1ce-40e0-8079-ad343956e742","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept"
"Heart Rate","","7bb16efa-65cb-4ce2-a0ed-af056adddac5","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept"
