"isRequired","label","isEnabled","uuid:ID","id","name","instanceType","datatype"
"True","Vital Signs Result","True","312824ac-8db6-4aae-a958-9c87fc81428c","BiomedicalConceptProperty_98","Vital Signs Result","BiomedicalConceptProperty","decimal"
"True","Unit of Temperature","True","56cb24ff-3ba5-48bf-8736-26e57b451afd","BiomedicalConceptProperty_99","Unit of Temperature","BiomedicalConceptProperty","string"
"True","Vital Signs Location","True","40b50b60-3fc9-438c-b348-f9d047755327","BiomedicalConceptProperty_100","Vital Signs Location","BiomedicalConceptProperty","string"
"True","Vital Signs Result","True","6f9d7bb5-16d6-4722-8553-8d54c4f16d13","BiomedicalConceptProperty_101","Vital Signs Result","BiomedicalConceptProperty","decimal"
"True","Unit of Weight","True","39c737ed-c6b8-4526-aaae-1af3e55441af","BiomedicalConceptProperty_102","Unit of Weight","BiomedicalConceptProperty","string"
"True","Vital Signs Result","True","0c942f46-6664-4f66-bd24-6dbddad89b53","BiomedicalConceptProperty_103","Vital Signs Result","BiomedicalConceptProperty","decimal"
"True","Unit of Height","True","e216db79-03ed-4084-97ae-10ba5bd3e568","BiomedicalConceptProperty_104","Unit of Height","BiomedicalConceptProperty","string"
"True","Laboratory Test Result","True","ce10524d-4ca2-467a-92cd-579c09ed5d5d","BiomedicalConceptProperty_105","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","Laboratory Test Fasting Status","True","6c9c167c-2e7a-4b83-b9f5-1d10784af938","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","Unit of Catalytic Activity Concentration","True","71a8910c-3b3b-434a-a197-ca98852cdb8b","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string"
"True","Biospecimen Type","True","547b08fa-a400-41de-ab45-a9fb7fcc7571","BiomedicalConceptProperty_108","Biospecimen Type","BiomedicalConceptProperty","string"
"True","Laboratory Test Result","True","c6ea3e39-0d4b-4be2-9424-adc1f8afe7c2","BiomedicalConceptProperty_109","Laboratory Test Result","BiomedicalConceptProperty","string"
"True","Laboratory Test Fasting Status","True","c9b617f3-d0b3-4bae-a26b-9f17f4d086d8","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
